"source","target","gene_A","gene_B","type_gene_A","type_gene_B","MeanLR"
"Megakaryocyte","Megakaryocyte","E2F4","LGALS1","Transcription Factor","Ligand",0.382600441052988
"Fibroblast","Fibroblast","ITGB1","ARNT","Receptor","Transcription Factor",0.330930744102279
"Fibroblast","Fibroblast","ITGB1","CEBPD","Receptor","Transcription Factor",0.440131842800159
"Fibroblast","Fibroblast","ITGB1","EPAS1","Receptor","Transcription Factor",0.431164341454962
"Fibroblast","Fibroblast","ITGB1","FOS","Receptor","Transcription Factor",0.00922210515510262
"Fibroblast","Fibroblast","ITGB1","LEF1","Receptor","Transcription Factor",0.430558351169311
"Fibroblast","Fibroblast","ITGB1","MAX","Receptor","Transcription Factor",0.354120465883404
"Fibroblast","Fibroblast","ITGB1","MYB","Receptor","Transcription Factor",0.474557254966183
"Fibroblast","Fibroblast","ITGB1","SMAD3","Receptor","Transcription Factor",0.227613010253368
"Fibroblast","Fibroblast","ITGB1","SOX2","Receptor","Transcription Factor",0.0795268885544389
"Fibroblast","Fibroblast","ITGB1","SP3","Receptor","Transcription Factor",0.482480555819315
"Fibroblast","Fibroblast","ITGB1","SPIB","Receptor","Transcription Factor",0.0853074858383573
"Fibroblast","Fibroblast","ITGB1","SRF","Receptor","Transcription Factor",0.472163072106311
"Fibroblast","Fibroblast","ITGB1","TCF4","Receptor","Transcription Factor",0.75763616265834
"Fibroblast","Fibroblast","ITGB1","TCF7","Receptor","Transcription Factor",0.367178018166888
"Fibroblast","Fibroblast","ITGB1","TP63","Receptor","Transcription Factor",0.0259487750795574
"MSC","MSC","ITGB1","TFAP2A","Receptor","Transcription Factor",0.974408951365181
"MSC","MSC","ITGB1","USF1","Receptor","Transcription Factor",0.768145121162204
"MSC","MSC","ITGA1_ITGB1","TFAP2A","Receptor","Transcription Factor",0.974408951365181
"MSC","MSC","ITGA1_ITGB1","USF1","Receptor","Transcription Factor",0.768145121162204
"Megakaryocyte","Megakaryocyte","HLA-B","CD3D","Ligand","Receptor",1.89826783242937
"Megakaryocyte","Megakaryocyte","HLA-A","CD3D","Ligand","Receptor",1.15612715850606
