"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"ZNF274",1.0340586782665e-26,4.38851327279828,0.929,0.305,3.71227065497674e-24,"Neural","ZNF274"
"FOXK1",2.31793530720199e-26,4.46947452424626,0.982,0.74,8.32138775285514e-24,"Neural","FOXK1"
"IRF9",2.12755213826385e-22,4.32175044595404,0.964,0.802,7.63791217636721e-20,"Neural","IRF9"
"NFE2",1.51171219260777e-21,4.04171752560334,0.875,0.321,5.42704677146188e-19,"Neural","NFE2"
"GATA1",1.98490058491093e-20,3.23847204287082,0.893,0.42,7.12579309983023e-18,"Neural","GATA1"
"FOXO3",2.05132768182255e-19,2.77147007420326,0.964,0.725,7.36426637774295e-17,"Neural","FOXO3"
"FOXK2",2.12096491309525e-19,3.48702140823426,0.884,0.397,7.61426403801195e-17,"Neural","FOXK2"
"KLF1",3.7959853720124e-19,2.36424310951651,0.982,0.817,1.36275874855245e-16,"Neural","KLF1"
"ZEB2",4.40598537790767e-19,4.01824078113672,0.786,0.267,1.58174875066885e-16,"Neural","ZEB2"
"STAT2",2.49755855819792e-18,6.51768045719846,0.991,0.954,8.96623522393055e-16,"Neural","STAT2"
"IRF2",4.25391571348272e-18,2.73369133042664,0.991,0.771,1.5271557411403e-15,"Neural","IRF2"
"STAT4",5.95864478478673e-18,5.25654466920713,0.839,0.504,2.13915347773844e-15,"Neural","STAT4"
"NFE2L1",3.91326685339091e-17,4.33386692418233,0.812,0.382,1.40486280036734e-14,"Neural","NFE2L1"
"IRF1",9.62845365757736e-17,3.22435260173709,0.982,0.779,3.45661486307027e-14,"Neural","IRF1"
"GFI1B",6.07780092793534e-16,2.32589976343672,0.92,0.588,2.18193053312879e-13,"Neural","GFI1B"
"HMBOX1",1.24553159365091e-15,8.27006217608301,0.652,0.275,4.47145842120677e-13,"Neural","HMBOX1"
"ATF1",2.97744752511818e-15,1.62289686953164,0.955,0.58,1.06890366151743e-12,"Neural","ATF1"
"NFE2L2",1.86904479269218e-14,1.67211858958542,0.946,0.748,6.70987080576494e-12,"Neural","NFE2L2"
"NR5A1",4.43184220716642e-14,7.74385061567565,0.616,0.29,1.59103135237275e-11,"Neural","NR5A1"
"SOX6",5.3187017559029e-14,1.97632746286449,0.83,0.405,1.90941393036914e-11,"Neural","SOX6"
"IKZF1",5.71507496245097e-13,3.07938357239594,0.723,0.366,2.0517119115199e-10,"Neural","IKZF1"
"ATF7",8.31566459965403e-13,1.92051880682267,0.821,0.359,2.9853235912758e-10,"Neural","ATF7"
"CREB3",1.1909488456581e-12,2.72332665862394,0.929,0.733,4.27550635591257e-10,"Neural","CREB3"
"ZNF197",1.74696204170272e-12,4.39003669926031,0.75,0.351,6.27159372971277e-10,"Neural","ZNF197"
