"","gene","tag","cluster","z_score"
"Neural.ADNP","ADNP","***","Neural",0.33778112719094
"Neural.AHR","AHR","***","Neural",-0.249856622406545
"Neural.ARNT","ARNT","***","Neural",-0.054877529648083
"Neural.ASCL1","ASCL1","***","Neural",0.190339550349184
"Neural.ATF1","ATF1","***","Neural",0.523724693304253
"Neural.ATF7","ATF7","***","Neural",0.485058303832451
"Neural.BATF","BATF","***","Neural",-0.14515532047745
"Neural.BHLHE40","BHLHE40","***","Neural",0.290262124940275
"Neural.BMAL1","BMAL1","***","Neural",-0.00367129681696925
"Neural.CBX2","CBX2","***","Neural",-0.30661561214102
"Neural.CDX2","CDX2","***","Neural",-0.40939139486858
"Neural.CEBPA","CEBPA","***","Neural",0.118458943086872
"Neural.CEBPD","CEBPD","***","Neural",0.319643047457005
"Neural.CEBPG","CEBPG","***","Neural",-0.179053153709545
"Neural.CLOCK","CLOCK","***","Neural",0.109039052636729
"Neural.CREB3","CREB3","***","Neural",0.458791523881572
"Neural.CREB3L1","CREB3L1","***","Neural",0.17223955666733
"Neural.CTCF","CTCF","***","Neural",0.163025087889078
"Neural.DDIT3","DDIT3","***","Neural",0.107687057726354
"Neural.DEAF1","DEAF1","***","Neural",0.369390740141897
"Neural.DUX4","DUX4","***","Neural",-0.246282163197073
"Neural.E2F1","E2F1","***","Neural",0.120845758610287
"Neural.E2F4","E2F4","***","Neural",-0.151248799228349
"Neural.E2F5","E2F5","***","Neural",0.466030023851771
"Neural.EBF1","EBF1","***","Neural",-0.190307793709109
"Neural.EGR1","EGR1","***","Neural",0.166034959171267
"Neural.EGR2","EGR2","***","Neural",0.277572473515774
"Neural.ELK1","ELK1","***","Neural",-0.226131514703378
"Neural.EOMES","EOMES","***","Neural",-0.121902825019241
"Neural.EPAS1","EPAS1","***","Neural",0.384679864222992
"Neural.ERG","ERG","***","Neural",-0.109076382900109
"Neural.ESR1","ESR1","***","Neural",-0.0877766926871738
"Neural.ETS2","ETS2","***","Neural",-0.333817601276083
"Neural.FOSL2","FOSL2","***","Neural",-0.25892174604369
"Neural.FOXA2","FOXA2","***","Neural",-0.151593143868974
"Neural.FOXJ2","FOXJ2","***","Neural",0.307051298947301
"Neural.FOXK1","FOXK1","***","Neural",0.715932085577939
"Neural.FOXK2","FOXK2","***","Neural",0.61980099121386
"Neural.FOXO1","FOXO1","***","Neural",0.019405835269256
"Neural.FOXO3","FOXO3","***","Neural",0.610711685787089
"Neural.FOXO4","FOXO4","***","Neural",0.220931391400725
"Neural.GABPA","GABPA","***","Neural",-0.154002194057033
"Neural.GATA1","GATA1","***","Neural",0.630064491046396
"Neural.GATA2","GATA2","***","Neural",0.174742700075772
"Neural.GATA3","GATA3","***","Neural",0.142496402208884
"Neural.GATA4","GATA4","***","Neural",-0.127514106180019
"Neural.GFI1B","GFI1B","***","Neural",0.550932329457485
"Neural.GLI3","GLI3","***","Neural",-0.219508754219947
"Neural.GTF2B","GTF2B","***","Neural",-0.165978034201223
"Neural.HBP1","HBP1","***","Neural",0.457367394555279
"Neural.HHEX","HHEX","***","Neural",0.394798400525475
"Neural.HIF1A","HIF1A","***","Neural",0.193365891976828
"Neural.HINFP","HINFP","***","Neural",0.242436439312397
"Neural.HIVEP2","HIVEP2","***","Neural",0.0235252570760187
"Neural.HMGA1","HMGA1","***","Neural",-0.0826225349568021
"Neural.HNF1B","HNF1B","***","Neural",-0.39506142219681
"Neural.HNF4A","HNF4A","***","Neural",0.214947988370587
"Neural.HNF4G","HNF4G","***","Neural",-0.131817233819036
"Neural.HOXA1","HOXA1","***","Neural",0.204402995119245
"Neural.HOXA10","HOXA10","***","Neural",0.396661038042173
"Neural.HOXB13","HOXB13","***","Neural",0.105839257405012
"Neural.HSF1","HSF1","***","Neural",0.219332337755777
"Neural.IKZF1","IKZF1","***","Neural",0.505998370103666
"Neural.IRF1","IRF1","***","Neural",0.54621612320464
"Neural.IRF2","IRF2","***","Neural",0.582765966662885
"Neural.IRF4","IRF4","***","Neural",-0.191879077192393
"Neural.IRF9","IRF9","***","Neural",0.643527568027932
"Neural.KDM5B","KDM5B","***","Neural",-0.306969946796461
"Neural.KLF1","KLF1","***","Neural",0.601863829807483
"Neural.KLF10","KLF10","***","Neural",-0.104890575687057
"Neural.KLF13","KLF13","***","Neural",0.240376708385774
"Neural.KLF4","KLF4","***","Neural",-0.235383925602828
"Neural.KLF9","KLF9","***","Neural",-0.234326968302969
"Neural.MAFB","MAFB","***","Neural",-0.0838322849990965
"Neural.MAFF","MAFF","***","Neural",0.0306237634767768
"Neural.MAFG","MAFG","***","Neural",0.0788008686184567
"Neural.MAFK","MAFK","***","Neural",-0.13159827464187
"Neural.MBD3","MBD3","***","Neural",-0.376789436857399
"Neural.MEF2A","MEF2A","***","Neural",-0.38904345699959
"Neural.MEF2D","MEF2D","***","Neural",-0.403540927739059
"Neural.MEIS1","MEIS1","***","Neural",-0.0180650786353385
"Neural.MSX2","MSX2","***","Neural",0.401145561755763
"Neural.MTF1","MTF1","***","Neural",0.455471791226372
"Neural.MXI1","MXI1","***","Neural",0.361473723119375
"Neural.MYCN","MYCN","***","Neural",0.324532748291295
"Neural.MYNN","MYNN","***","Neural",0.337488912693046
"Neural.MYOD1","MYOD1","***","Neural",-0.12325219628194
"Neural.NCOA2","NCOA2","***","Neural",-0.053631923614325
"Neural.NCOA3","NCOA3","***","Neural",-0.104703010842272
"Neural.NEUROD1","NEUROD1","***","Neural",0.397408341820031
"Neural.NFE2","NFE2","***","Neural",0.645889668458459
"Neural.NFE2L1","NFE2L1","***","Neural",0.579507207947721
"Neural.NFE2L2","NFE2L2","***","Neural",0.498887753245666
"Neural.NFIC","NFIC","***","Neural",-0.453655706184627
"Neural.NFKB2","NFKB2","***","Neural",0.0058595001488423
"Neural.NME2","NME2","***","Neural",-0.164681705791797
"Neural.NR2F1","NR2F1","***","Neural",0.04272854011897
"Neural.NR4A1","NR4A1","***","Neural",-0.178506226275429
"Neural.NR5A1","NR5A1","***","Neural",0.507427356668008
"Neural.NR5A2","NR5A2","***","Neural",0.0768686136577182
"Neural.ONECUT1","ONECUT1","***","Neural",-0.097331117427702
"Neural.OTX2","OTX2","***","Neural",-0.141838540522089
"Neural.PAX3","PAX3","***","Neural",0.367280327353281
"Neural.PAX5","PAX5","***","Neural",-0.483678005139974
"Neural.PAX8","PAX8","***","Neural",0.0234740398469225
"Neural.PBX3","PBX3","***","Neural",-0.485574648023529
"Neural.PDX1","PDX1","***","Neural",-0.117647894538581
"Neural.PGR","PGR","***","Neural",-0.264451502464529
"Neural.PITX1","PITX1","***","Neural",0.364206692987665
"Neural.POU2F2","POU2F2","***","Neural",-0.281581411781613
"Neural.POU4F2","POU4F2","***","Neural",-0.10787682748381
"Neural.POU5F1","POU5F1","***","Neural",-0.155059886554782
"Neural.PPARD","PPARD","***","Neural",-0.0253803294730565
"Neural.PPARG","PPARG","***","Neural",-0.184378248317964
"Neural.PRDM14","PRDM14","***","Neural",-0.0410461044945246
"Neural.PROX1","PROX1","***","Neural",-0.521087111729536
"Neural.RARA","RARA","***","Neural",-0.232372611681683
"Neural.REST","REST","***","Neural",-0.204652474729282
"Neural.RUNX1","RUNX1","***","Neural",-0.0360560540827132
"Neural.RUNX3","RUNX3","***","Neural",-0.22293709748411
"Neural.SATB1","SATB1","***","Neural",-0.130763940716251
"Neural.SETDB1","SETDB1","***","Neural",0.286408356506053
"Neural.SIX2","SIX2","***","Neural",-0.179860781425526
"Neural.SIX5","SIX5","***","Neural",-0.202286568391826
"Neural.SMAD1","SMAD1","***","Neural",0.0296673946809736
"Neural.SMAD5","SMAD5","***","Neural",-0.388902183133723
"Neural.SNAI2","SNAI2","***","Neural",-0.28565378765983
"Neural.SNAPC4","SNAPC4","***","Neural",-0.123294150385639
"Neural.SOX10","SOX10","***","Neural",0.121700812058351
"Neural.SOX11","SOX11","***","Neural",-0.13684912671827
"Neural.SOX13","SOX13","***","Neural",0.234749674459972
"Neural.SOX2","SOX2","***","Neural",0.0170912675741666
"Neural.SOX6","SOX6","***","Neural",0.516841648860658
"Neural.SP1","SP1","***","Neural",-0.104134406561178
"Neural.SPIB","SPIB","***","Neural",-0.0115251306372396
"Neural.SREBF1","SREBF1","***","Neural",0.10936622626752
"Neural.SRF","SRF","***","Neural",-0.571307832255861
"Neural.STAT2","STAT2","***","Neural",0.571102540630797
"Neural.STAT4","STAT4","***","Neural",0.597126604291479
"Neural.STAT5A","STAT5A","***","Neural",0.328500543571754
"Neural.STAT5B","STAT5B","***","Neural",0.292955264080121
"Neural.TAL1","TAL1","***","Neural",0.077806304341641
"Neural.TBP","TBP","***","Neural",0.140890326370986
"Neural.TBX21","TBX21","***","Neural",-0.117571418579832
"Neural.TCF12","TCF12","***","Neural",-0.212288521844998
"Neural.TEAD1","TEAD1","***","Neural",-0.296182402546717
"Neural.TEAD2","TEAD2","***","Neural",-0.287343829049584
"Neural.TEAD4","TEAD4","***","Neural",-0.187517872093582
"Neural.TERF1","TERF1","***","Neural",-0.162647945973708
"Neural.TERF2","TERF2","***","Neural",-0.0204737541689373
"Neural.TFAP2A","TFAP2A","***","Neural",-0.150431222237447
"Neural.TFAP4","TFAP4","***","Neural",-0.0323780512607243
"Neural.THAP1","THAP1","***","Neural",0.356365592432454
"Neural.TP63","TP63","***","Neural",-0.129247570290418
"Neural.TWIST1","TWIST1","***","Neural",-0.234244645745581
"Neural.USF1","USF1","***","Neural",-0.0310025086694826
"Neural.USF2","USF2","***","Neural",0.132294435068554
"Neural.VDR","VDR","***","Neural",-0.0446033033872904
"Neural.XBP1","XBP1","***","Neural",-0.0461314697395461
"Neural.ZBED1","ZBED1","***","Neural",-0.263046520140004
"Neural.ZBTB16","ZBTB16","***","Neural",0.0186042343134181
"Neural.ZBTB33","ZBTB33","***","Neural",-0.167521541596697
"Neural.ZEB1","ZEB1","***","Neural",-0.285008351723778
"Neural.ZEB2","ZEB2","***","Neural",0.60450540948262
"Neural.ZNF143","ZNF143","***","Neural",0.0918147506651101
"Neural.ZNF197","ZNF197","***","Neural",0.497016729269172
"Neural.ZNF24","ZNF24","***","Neural",0.254456463475921
"Neural.ZNF263","ZNF263","***","Neural",-0.232298082121037
"Neural.ZNF274","ZNF274","***","Neural",0.721754049438322
"Neural.ZNF318","ZNF318","***","Neural",0.375832205456568
"Neural.ZNF382","ZNF382","***","Neural",0.39184319299866
"Neural.ZNF584","ZNF584","***","Neural",0.255117569373725
"Neural.ZNF589","ZNF589","***","Neural",0.207264151013482
"Neural.ZNF644","ZNF644","***","Neural",0.455461695128832
"Neural.ZNF740","ZNF740","***","Neural",0.0780087102708346
"Neural.ZNF750","ZNF750","***","Neural",-0.180149730648213
"Neural.ZNF83","ZNF83","***","Neural",0.331368275610363
"Neural.ZNF92","ZNF92","***","Neural",-0.0616652745475685
"MSC.GATA1","GATA1","**","MSC",-0.566744079630614
"MSC.HES1","HES1","***","MSC",0.0914946604604717
"MSC.HSF1","HSF1","*","MSC",0.37256808050774
"MSC.KLF3","KLF3","**","MSC",1.01681920980482
"MSC.PKNOX1","PKNOX1","***","MSC",0.166872296040284
"MSC.ZNF274","ZNF274","***","MSC",-0.623887012065454
"Fibroblast.ARNT","ARNT","**","Fibroblast",-0.0794276926429442
"Fibroblast.ATF3","ATF3","*","Fibroblast",-0.453402319677926
"Fibroblast.BMAL1","BMAL1","*","Fibroblast",-0.0941255904341717
"Fibroblast.CBX2","CBX2","**","Fibroblast",-0.0917744041041462
"Fibroblast.CDX2","CDX2","*","Fibroblast",-0.268013928574724
"Fibroblast.CEBPA","CEBPA","**","Fibroblast",-1.02034261167209
"Fibroblast.CEBPE","CEBPE","*","Fibroblast",-0.343108227586473
"Fibroblast.CEBPG","CEBPG","*","Fibroblast",-0.248800614636079
"Fibroblast.CLOCK","CLOCK","*","Fibroblast",-0.298925039865344
"Fibroblast.CREM","CREM","*","Fibroblast",-0.270976660519179
"Fibroblast.CTCF","CTCF","***","Fibroblast",-0.614758327079714
"Fibroblast.DUX4","DUX4","*","Fibroblast",-0.207212342501058
