"","Fibroblast","Megakaryocyte","MSC","Myeloid","Neural"
"ADNP",-0.302479930933532,-0.390324689223691,-0.0667473814173316,-0.612139386180559,0.33778112719094
"AHR",-0.12889195544569,-0.708117513281605,1.33481635028111,-0.5408985803421,-0.249856622406545
"AR",-0.368046791244098,-0.43432440282008,0.639958679121836,-0.486657699103157,0.0315914360096779
"ARID2",-0.540063559737443,-0.341148583216937,0.457911522775921,-0.975439024396889,0.231194050660735
"ARID3A",-0.646130106136671,-0.216787914255632,0.697850391569233,-0.919887669102052,0.108965693822207
"ARNT",-0.0794276926429442,-0.330595700626252,0.425951034656642,-0.10887144661553,-0.054877529648083
"ASCL1",-0.378957620321642,-0.655981790775382,0.315441297282085,-0.265453412753987,0.190339550349184
"ATF1",-0.583254273175544,-0.45662639385391,0.0501782782761993,-1.32620589338704,0.523724693304253
"ATF2",0.0856334516684807,-0.11360885954115,1.29297649095132,-0.613146766165014,-0.431505149526526
"ATF3",-0.453402319677926,0.147391876056098,0.671913563778079,-0.811710618284165,-0.0493527626394035
"ATF4",-0.103824813826366,-0.852917112873305,0.254137161280794,-0.347702453113152,0.215561325946494
"ATF5",-0.121178752078217,0.318654277470334,0.6233953898836,-0.182409567872195,-0.289253558545336
"ATF6",-0.119909372341413,0.0897518425658045,0.395644200179462,-0.209788778231754,-0.123005423111933
"ATF7",-0.800255765721578,-0.431157297889425,0.0157838255978366,-0.82425223221391,0.485058303832451
"BACH1",-0.449689109063635,0.0501979050333618,0.0642743010908228,-0.882889876847283,0.256179227016801
"BACH2",-0.407953824644275,0.497002357220955,-0.321428163087796,-0.613750372068836,0.239168113811969
"BATF",-0.196386564174457,-0.20944799736642,0.757063299482393,-0.385219804309174,-0.14515532047745
"BCL11A",-0.438419778201264,0.696670000528102,0.522384161647358,-0.651245476505026,-0.167893789367066
"BCL6",-0.234723609509617,0.675652955175813,0.458743426325632,-0.421972219272099,-0.234247060948153
"BHLHE22",-0.257425553519173,-0.0729826168298379,0.136843178076586,-0.156144092895431,0.0584001604267265
"BHLHE40",-0.522924367520731,-0.282789894393748,0.193228565131623,-0.796915399775942,0.290262124940275
"BMAL1",-0.0941255904341717,-0.167367007519588,0.0568725268684148,0.233699294570732,-0.00367129681696925
"BRF2",0.106247252421004,-0.360069159935742,-0.125241665212068,-0.423957279094104,0.210792531182311
"CBX2",-0.0917744041041462,0.0509505488879827,0.634656791300145,0.190248132107299,-0.30661561214102
"CDX1",-0.0903061387511255,-0.00543689720497959,-0.0745613838955744,-0.109372382770695,0.0799201567369745
"CDX2",-0.268013928574724,-0.0122528601522735,1.18636411551527,-0.180000682683996,-0.40939139486858
"CEBPA",-1.02034261167209,-0.799729580792368,0.732546333541449,0.192158747521777,0.118458943086872
"CEBPB",-0.549900807030115,-0.744641067789253,1.01042534197516,0.308676640487316,-0.163607580807502
"CEBPD",-0.592834554666592,0.0896114190764143,-0.0213846803352686,-0.880361411552941,0.319643047457005
"CEBPE",-0.343108227586473,-0.0514033991808399,-0.0424005908751684,1.58229366852141,-0.203775757568537
"CEBPG",-0.248800614636079,-0.390012909478446,1.02862907577827,-0.497098538646376,-0.179053153709545
"CEBPZ",0.115024047927911,-0.0186425733396301,-0.348568510732066,-0.18334183263036,0.165359812380795
"CLOCK",-0.298925039865344,-0.384083181273447,0.231395359847119,-0.146061953631483,0.109039052636729
"CREB1",-0.167920859632099,-0.0488804339418688,0.87843029935935,-1.15103825345832,-0.0913668472453569
"CREB3",-0.860514867360805,0.191350059196869,-0.459378475491491,-0.420029391221552,0.458791523881572
"CREB3L1",-0.547187253231513,0.241162944345361,0.132353979008343,-0.745331882817247,0.17223955666733
"CREB5",-0.227928919485691,0.631067839865033,-0.359176349476377,-0.0605194700903936,0.0595490393353176
"CREM",-0.270976660519179,0.914017396630758,-0.339344214611901,-0.182054922234043,0.0111868837812465
"CTCF",-0.614758327079714,-0.517986763865094,0.780072828344164,-1.00499061005114,0.163025087889078
"CTCFL",-0.369132178972037,-0.317972893393471,0.327092792758814,-0.494637816805624,0.139224490476256
"CUX1",-0.339950899308565,-0.188243311786095,0.848123356163778,-0.78574676978158,-0.0712499402992637
"CXXC4",-0.330261682153057,-0.101068202273103,0.447121539476407,-0.860987448416946,0.0937802743739067
"DDIT3",-0.450315988938368,-0.319299274263371,0.261761651244814,-0.0977882377927731,0.107687057726354
"DEAF1",-0.164345272549005,-0.189048571550303,-0.390776492507599,-0.512445422286513,0.369390740141897
"DNMT1",0.282162145728891,0.989882627254806,-0.604244844833739,0.775292642751624,-0.233061735984073
"DUX4",-0.207212342501058,-0.65802204873474,1.22281651955638,-0.286286425461631,-0.246282163197073
"E2F1",-0.066921321972263,-0.855004044947398,0.564835620556506,-0.592210029826231,0.120845758610287
"E2F2",0.337273754028958,0.16669659279409,0.188755839288695,-0.0240387561400875,-0.209624833790951
"E2F3",0.353403757855102,0.125681187066163,-0.295494347021479,0.011057902207034,0.00183702378132024
"E2F4",0.847646596805376,0.00354335745002311,0.156225913700169,-0.669706795156079,-0.151248799228349
"E2F5",-0.0201956836355189,-0.349899749086708,-0.614371976925707,-0.478629065391625,0.466030023851771
"E2F6",-0.375947137383964,-0.283337338296513,0.418552703406573,-0.753244491108514,0.144804713942894
"E2F7",-0.428136242673683,0.156211117704477,1.33428929933872,-0.645761475216373,-0.38212539492159
"EBF1",-0.222301762297987,0.108111690611748,0.462479983284011,0.0807110479475139,-0.190307793709109
"EGR1",-0.600486717038984,-0.414735232871762,0.880043000766543,-1.38529785584604,0.166034959171267
"EGR2",-0.586871693210316,-0.641374574288974,0.295835345556956,-0.405370984099529,0.277572473515774
"EHF",-0.093295472391067,0.17247919183972,0.468522993281406,-0.231887420464668,-0.179401991571002
"ELF1",-0.48279985472998,0.464056143984383,0.472992056471699,-0.473385663513903,-0.109010973559424
"ELF3",-0.330216763487182,-0.184310725088035,1.10748782318457,-0.533687791199584,-0.240057823613251
"ELF5",0.421839420544007,0.278518647833758,-0.289095168592848,0.656622378403958,-0.192192447080628
"ELK1",-0.110080528136669,-0.032508906205303,0.902350728499717,-0.640037110764579,-0.226131514703378
"ELK4",-0.178237856659299,0.156206546679276,1.03974951253294,-0.577153991022902,-0.332057882837912
"EOMES",-0.285336708860348,-0.582390622712611,0.928137346944047,-0.264310015642387,-0.121902825019241
"EPAS1",-0.676738783930957,-0.409481521302677,0.255979599222094,-1.03118586007738,0.384679864222992
"ERG",-0.153109034115732,-0.617983620777023,0.990104551543444,-0.5790825012239,-0.109076382900109
"ESR1",-0.574977129715441,-0.565262742596024,1.25386677156837,-0.781576660272101,-0.0877766926871738
"ESR2",-0.564644266329742,0.598882751779548,0.964308884859229,-0.278557607098967,-0.378893832362946
"ESRRA",-0.444116662805061,-0.613087035255183,0.534060291061958,-0.480869444111266,0.144312832424334
"ETS1",0.0240366278342934,0.981368897884708,0.0290035259067854,-1.07749256833696,-0.0605086860840916
"ETS2",0.128430310099999,-0.583378995483337,1.33011870504883,-0.609189318820487,-0.333817601276083
"ETV1",-0.53694676549587,-0.261650667045599,1.09037998044324,-0.814724598651148,-0.100615866624949
