"","Top","p.value","FDR","summary.logFC","logFC","r","tf","CellType","tag"
"Neural.ADNP",139,8.2217896500208e-08,2.12346941320681e-07,0.606384493156103,0.606384493156103,0.343,"ADNP","Neural","***"
"Neural.AHR",117,5.07441987040817e-10,1.55702284912524e-09,-0.746414271402842,-0.746414271402842,-0.445,"AHR","Neural","***"
"Neural.AR",352,0.871196882983231,0.888521820997102,0.0195831862995292,0.0195831862995292,0.0145,"AR","Neural","ns"
"Neural.ARID2",242,0.00744613808858557,0.0110461304702571,0.323110326776271,0.323110326776271,0.201,"ARID2","Neural","*"
"Neural.ARID3A",340,0.703185710601455,0.742481382664477,-0.0428976965533765,-0.0428976965533765,-0.0244,"ARID3A","Neural","ns"
"Neural.ARNT",183,9.4711580413351e-06,1.85800313488486e-05,-0.515394381231016,-0.515394381231016,-0.292,"ARNT","Neural","***"
"Neural.ASCL1",153,3.3135197940009e-07,7.77486017023741e-07,-0.622326997659761,-0.622326997659761,-0.336,"ASCL1","Neural","***"
"Neural.ATF1",161,8.74440144798299e-07,1.94983858374279e-06,0.54581782578576,0.54581782578576,0.347,"ATF1","Neural","***"
"Neural.ATF2",304,0.232579414821308,0.274657927371215,-0.123817158233311,-0.123817158233311,-0.0397,"ATF2","Neural","ns"
"Neural.ATF3",359,0.996265876354507,0.996265876354507,0.000570709540890897,0.000570709540890897,-0.0134,"ATF3","Neural","ns"
"Neural.ATF4",227,0.00121246549605096,0.00191751151137575,0.375358149972207,0.375358149972207,0.18,"ATF4","Neural","**"
"Neural.ATF5",277,0.0651182546695789,0.0843951387233893,-0.185327543343301,-0.185327543343301,-0.733,"ATF5","Neural","ns"
"Neural.ATF6",273,0.0448711580524057,0.059006394654995,-0.29569174288305,-0.29569174288305,-0.332,"ATF6","Neural","ns"
"Neural.ATF7",74,1.54698001845731e-14,7.50494360305638e-14,0.947070653257409,0.947070653257409,0.504,"ATF7","Neural","***"
"Neural.BACH1",200,0.000103523118385951,0.000185823997502783,0.462534875198948,0.462534875198948,0.272,"BACH1","Neural","***"
"Neural.BACH2",238,0.00527977128256569,0.00796402474975245,0.398889963661993,0.398889963661993,0.201,"BACH2","Neural","**"
"Neural.BATF",123,1.69209455054194e-09,4.93871498898014e-09,-0.672085712172992,-0.672085712172992,-0.399,"BATF","Neural","***"
"Neural.BCL11A",343,0.748913289754786,0.78384802047221,-0.041210074060156,-0.041210074060156,-0.00244,"BCL11A","Neural","ns"
"Neural.BCL6",211,0.000241352318197198,0.000410642095890019,-0.46259860419443,-0.46259860419443,-0.25,"BCL6","Neural","***"
"Neural.BHLHE22",261,0.0215123650018092,0.0295898047342893,0.254753483990797,0.254753483990797,0.13,"BHLHE22","Neural","*"
"Neural.BHLHE40",191,4.06153958020307e-05,7.63399324237123e-05,0.56480581886463,0.56480581886463,0.286,"BHLHE40","Neural","***"
"Neural.BMAL1",48,2.77899223762595e-18,2.07845461105774e-17,-1.18409242944383,-1.18409242944383,-0.582,"BMAL1","Neural","***"
"Neural.BRF2",326,0.407574761281108,0.448832329140852,0.123349306846722,0.123349306846722,0.0904,"BRF2","Neural","ns"
"Neural.CBX2",59,1.75773480788307e-16,1.06953694242377e-15,-1.0265931748291,-1.0265931748291,-0.575,"CBX2","Neural","***"
"Neural.CDX1",339,0.702272109190584,0.742481382664477,0.0337783976906805,0.0337783976906805,-0.515,"CDX1","Neural","ns"
"Neural.CDX2",62,5.04891989016955e-16,2.92348748479172e-15,-0.905415152802735,-0.905415152802735,-0.544,"CDX2","Neural","***"
"Neural.CEBPA",135,2.71202765467754e-08,7.21198465206843e-08,-0.537988321857708,-0.537988321857708,-0.367,"CEBPA","Neural","***"
"Neural.CEBPB",334,0.598433590883198,0.643226524332539,-0.0524699097646821,-0.0524699097646821,-0.0029,"CEBPB","Neural","ns"
"Neural.CEBPD",33,3.1884532124784e-21,3.46865061599924e-20,1.22124204516847,1.22124204516847,0.598,"CEBPD","Neural","***"
"Neural.CEBPE",239,0.00564685142480502,0.00848134970271886,-0.311923522826045,-0.311923522826045,-0.45,"CEBPE","Neural","**"
"Neural.CEBPG",31,1.75671172667115e-21,2.03438551572562e-20,-0.979301479484956,-0.979301479484956,-0.608,"CEBPG","Neural","***"
"Neural.CEBPZ",309,0.259735964387965,0.301764437589901,-0.166261303388044,-0.166261303388044,-0.052,"CEBPZ","Neural","ns"
"Neural.CLOCK",114,2.15246777723443e-10,6.77838536865931e-10,-0.750199357327964,-0.750199357327964,-0.443,"CLOCK","Neural","***"
"Neural.CREB1",267,0.0299299985252077,0.0402429568185377,-0.274942284613314,-0.274942284613314,-0.157,"CREB1","Neural","*"
