"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"HMGA1",1.10321334849588e-36,7.97179470849508,0.842,0.136,3.9605359211002e-34,"Neural","HMGA1"
"SPDEF",1.7618379682187e-28,4.98051014035185,0.01,0.091,6.32499830590514e-26,"Neural","SPDEF"
"HSF1",8.24028068992946e-25,2.63117016233056,0.891,0.318,2.95826076768467e-22,"Neural","HSF1"
"MITF",1.13920673132727e-24,7.29539193024803,0.851,0.266,4.0897521654649e-22,"Neural","MITF"
"IRF8",1.14813270051478e-23,5.24941724478152,0.01,0.123,4.12179639484806e-21,"Neural","IRF8"
"PIN1",1.7185905903618e-22,3.56130922981179,0.03,0.136,6.16974021939886e-20,"Neural","PIN1"
"SOX10",2.68768256773697e-21,10.1467516299295,0.703,0.227,9.64878041817573e-19,"Neural","SOX10"
"PAX3",1.3736881804462e-20,5.16200115989554,0.05,0.156,4.93154056780185e-18,"Neural","PAX3"
"FOSB",3.59777923901582e-16,4.12450661487444,0.218,0.247,1.29160274680668e-13,"Neural","FOSB"
"NR5A1",4.72363426735813e-16,0.613320837316937,0.01,0.201,1.69578470198157e-13,"Neural","NR5A1"
"MYBL1",9.35227199772123e-16,7.96972556625566,0.069,0.195,3.35746564718192e-13,"Neural","MYBL1"
"POU4F2",4.672271609678e-15,7.97125354974453,0.703,0.208,1.6773455078744e-12,"Neural","POU4F2"
"MTF1",7.77449761155908e-15,1.39606179883805,0.01,0.214,2.79104464254971e-12,"Neural","MTF1"
"THAP11",1.00820092831726e-14,5.14118638418417,0.733,0.377,3.61944133265897e-12,"Neural","THAP11"
"ATF5",1.2036745991563e-14,1.65004929242671,0.03,0.221,4.32119181097112e-12,"Neural","ATF5"
"MEF2D",1.45595405671935e-14,0.759048639332143,0.208,0.266,5.22687506362246e-12,"Neural","MEF2D"
"HSF2",1.57938089720092e-14,0.635865638685065,0.99,1,5.66997742095131e-12,"Neural","HSF2"
"ATF1",1.10691286632286e-13,1.9911548630476,0.911,0.455,3.97381719009906e-11,"Neural","ATF1"
"ZNF740",9.86667844775745e-13,3.00358142526412,0.772,0.494,3.54213756274493e-10,"Neural","ZNF740"
"FOXL2",2.31093236002881e-12,1.56029623337773,0.218,0.299,8.29624717250343e-10,"Neural","FOXL2"
"FOXO4",9.96598905565028e-11,0.0539405884443547,0.04,0.24,3.57779007097845e-08,"Neural","FOXO4"
"NFYC",5.28034472231982e-10,2.54266311235588,0.248,0.357,1.89564375531281e-07,"Neural","NFYC"
"KMT2A",1.78662351152836e-09,2.43457380801434,0.515,0.221,6.41397840638682e-07,"Neural","KMT2A"
"EGR1",5.30540661305236e-09,1.73214934317959,0.634,0.312,1.9046409740858e-06,"Neural","EGR1"
"FOXK2",5.995933186477e-08,3.50764180594872,0.584,0.26,2.15254001394524e-05,"Neural","FOXK2"
"FOXK1",1.69786745911239e-07,2.52599087206641,0.743,0.597,6.09534417821346e-05,"Neural","FOXK1"
"GABPA",1.89997783951826e-07,3.56941861639388,0.634,0.325,6.82092044387056e-05,"Neural","GABPA"
"DUX4",2.35427374583495e-07,3.29701322160804,0.505,0.24,8.45184274754749e-05,"Neural","DUX4"
