,source,target,gene_A,gene_B,type_gene_A,type_gene_B,MeanLR
2,Neural,Neural,ITGB1,ASCL1,Receptor,Transcription Factor,0.542877108844046
3,Neural,Neural,PTPRF,ASCL1,Receptor,Transcription Factor,0.542877108844046
4,Neural,Neural,INSR,ATF1,Receptor,Transcription Factor,0.540961538454781
5,Neural,Neural,ITGB1,ATF1,Receptor,Transcription Factor,0.540961538454781
6,Neural,Neural,MYLK,ATF1,Receptor,Transcription Factor,0.540961538454781
7,Neural,Neural,PTPRF,ATF1,Receptor,Transcription Factor,0.540961538454781
8,Neural,Neural,TGFBR1,ATF1,Receptor,Transcription Factor,0.540961538454781
9,Neural,Neural,TGFBR1,CEBPA,Receptor,Transcription Factor,0.322022095368268
17,Neural,Neural,INSR,E2F1,Receptor,Transcription Factor,0.685095546228522
18,Neural,Neural,ITGB1,E2F1,Receptor,Transcription Factor,0.685095546228522
19,Neural,Neural,PTPRF,E2F1,Receptor,Transcription Factor,0.685095546228522
20,Neural,Neural,TGFBR1,E2F1,Receptor,Transcription Factor,0.685095546228522
21,Neural,Neural,ITGB1,EGR1,Receptor,Transcription Factor,0.44280483555598
22,Neural,Neural,PTPRF,EGR1,Receptor,Transcription Factor,0.44280483555598
40,Neural,Neural,INSR,FOXA2,Receptor,Transcription Factor,0.308429466108188
41,Neural,Neural,ITGB1,FOXA2,Receptor,Transcription Factor,0.308429466108188
42,Neural,Neural,MET,FOXA2,Receptor,Transcription Factor,0.308429466108188
43,Neural,Neural,NTRK2,FOXA2,Receptor,Transcription Factor,0.308429466108188
44,Neural,Neural,PDGFRB,FOXA2,Receptor,Transcription Factor,0.308429466108188
45,Neural,Neural,PTPRF,FOXA2,Receptor,Transcription Factor,0.308429466108188
46,Neural,Neural,TGFBR1,FOXA2,Receptor,Transcription Factor,0.308429466108188
47,Neural,Neural,FZD5,FOXO1,Receptor,Transcription Factor,0.193875421221669
48,Neural,Neural,INSR,FOXO1,Receptor,Transcription Factor,0.193875421221669
49,Neural,Neural,ITGB1,FOXO1,Receptor,Transcription Factor,0.193875421221669
