,source,target,gene_A,gene_B,type_gene_A,type_gene_B,MeanLR
2,Neural,Neural,ITGB1,ASCL1,Receptor,Transcription Factor,0.190339550349184
3,Neural,Neural,PTPRF,ASCL1,Receptor,Transcription Factor,0.190339550349184
4,Neural,Neural,INSR,ATF1,Receptor,Transcription Factor,0.523724693304253
5,Neural,Neural,ITGB1,ATF1,Receptor,Transcription Factor,0.523724693304253
6,Neural,Neural,MYLK,ATF1,Receptor,Transcription Factor,0.523724693304253
7,Neural,Neural,PTPRF,ATF1,Receptor,Transcription Factor,0.523724693304253
8,Neural,Neural,TGFBR2,CEBPA,Receptor,Transcription Factor,0.118458943086872
9,Neural,Neural,ITGB1,CEBPD,Receptor,Transcription Factor,0.319643047457005
10,Neural,Neural,PTPRF,CEBPD,Receptor,Transcription Factor,0.319643047457005
11,Neural,Neural,TGFBR2,CEBPD,Receptor,Transcription Factor,0.319643047457005
12,Neural,Neural,ITGB1,CREB3,Receptor,Transcription Factor,0.458791523881572
13,Neural,Neural,PTPRF,CREB3,Receptor,Transcription Factor,0.458791523881572
14,Neural,Neural,ITGB1,DDIT3,Receptor,Transcription Factor,0.107687057726354
15,Neural,Neural,PTPRF,DDIT3,Receptor,Transcription Factor,0.107687057726354
16,Neural,Neural,BMPR2,E2F1,Receptor,Transcription Factor,0.120845758610287
17,Neural,Neural,INSR,E2F1,Receptor,Transcription Factor,0.120845758610287
18,Neural,Neural,ITGB1,E2F1,Receptor,Transcription Factor,0.120845758610287
19,Neural,Neural,PTPRF,E2F1,Receptor,Transcription Factor,0.120845758610287
20,Neural,Neural,TGFBR2,E2F1,Receptor,Transcription Factor,0.120845758610287
21,Neural,Neural,ITGB1,EGR1,Receptor,Transcription Factor,0.166034959171267
22,Neural,Neural,PTPRF,EGR1,Receptor,Transcription Factor,0.166034959171267
36,Neural,Neural,ITGB1,EPAS1,Receptor,Transcription Factor,0.384679864222992
37,Neural,Neural,PTPRF,EPAS1,Receptor,Transcription Factor,0.384679864222992
45,Neural,Neural,ERBB2,FOXO1,Receptor,Transcription Factor,0.019405835269256
46,Neural,Neural,FZD5,FOXO1,Receptor,Transcription Factor,0.019405835269256
47,Neural,Neural,INSR,FOXO1,Receptor,Transcription Factor,0.019405835269256
48,Neural,Neural,ITGB1,FOXO1,Receptor,Transcription Factor,0.019405835269256
49,Neural,Neural,NTRK2,FOXO1,Receptor,Transcription Factor,0.019405835269256
50,Neural,Neural,PDGFRB,FOXO1,Receptor,Transcription Factor,0.019405835269256
51,Neural,Neural,PTPRF,FOXO1,Receptor,Transcription Factor,0.019405835269256
52,Neural,Neural,TGFBR2,FOXO1,Receptor,Transcription Factor,0.019405835269256
53,Neural,Neural,ERBB2,FOXO3,Receptor,Transcription Factor,0.610711685787089
54,Neural,Neural,FCGR2A,FOXO3,Receptor,Transcription Factor,0.610711685787089
55,Neural,Neural,FGFR1,FOXO3,Receptor,Transcription Factor,0.610711685787089
56,Neural,Neural,INSR,FOXO3,Receptor,Transcription Factor,0.610711685787089
57,Neural,Neural,ITGA1,FOXO3,Receptor,Transcription Factor,0.610711685787089
58,Neural,Neural,ITGA5,FOXO3,Receptor,Transcription Factor,0.610711685787089
59,Neural,Neural,ITGB1,FOXO3,Receptor,Transcription Factor,0.610711685787089
60,Neural,Neural,LPP,FOXO3,Receptor,Transcription Factor,0.610711685787089
61,Neural,Neural,LRP1,FOXO3,Receptor,Transcription Factor,0.610711685787089
62,Neural,Neural,NGFR,FOXO3,Receptor,Transcription Factor,0.610711685787089
63,Neural,Neural,NTRK2,FOXO3,Receptor,Transcription Factor,0.610711685787089
