"","Neural","MSC","Fibroblast","Megakaryocyte","Myeloid"
"FO538757.2",0.642955037475439,2.67701300954152,0.937268383132093,2.67027771121912,1.21447656060238
"RP11-206L10.9",0,0.134618491195951,0,0,0
"SAMD11",0,0,0,0,0
"NOC2L",0,0.331859301915609,0,0,0
"HES4",0,2.46319741476941,0,0.0629405840886204,0
"ISG15",39.8228888691703,13.8158998892191,6.86579009782179,5.31131568377876,8.59156468864337
"TNFRSF18",0,0,0,1.05058387069951,0
"TNFRSF4",0,0,0,0.886804123996666,0
"SDF4",0,0.472982327151704,1.23137942692329,0,0
"B3GALT6",0,0,0,0,0
"UBE2J2",0.393500146334301,0.0745639870855174,0.71706856600449,0.492860359928108,0.514535631592488
"ACAP3",0,0,0,0,0
"CPSF3L",0.109284840006994,0.366394313560253,1.15172979413108,0.259384249398164,0
"CPTP",0.09478313618441,0,0,0.361863636838687,0
"MXRA8",0,3.01344925724513,0,0,0
"AURKAIP1",2.15673134560305,2.3169292467255,3.41324392929381,3.30196507064175,0.86095566078347
"CCNL2",1.08513838758275,2.77917864686364,0.381024957134692,0,0
"MRPL20",1.06243389064972,0.508779046118789,0.811267495292283,0.837835007606961,0
"ATAD3A",0,0,0,0,1.21447656060238
"SSU72",1.32685421798328,0.371936765498993,0.255013581489745,0.491770190807741,0.823451910408432
"MIB2",0.09478313618441,0.407805163842671,0,0.525200795208839,0
"CDK11B",0.220477475568834,1.41510238180485,1.72752519064903,0.476287481427709,0
"CDK11A",1.13026590953849,0,0,0,0
"NADK",0,0,0,0,0
"GNB1",0.155821490900025,0.350571964306433,0.0536362709918956,0.519524425126575,0
"FAAP20",0,0.0745639870855174,0,2.12859329068151,0
"RER1",0.77464677254173,0.779478458049887,1.69302564950221,1.42466919119044,2.8765097880337
"PEX10",0,0,0.630397780999811,0.1941370607649,0
"TNFRSF14",0,1.14313880169567,0.164442050621361,0.466295200344863,0
"SMIM1",2.41842672725858,0.354308390022676,3.24137637984428,1.15983444519212,0.823451910408432
"LRRC47",0,0.397045977924244,0.716897268621407,0,0.605546808768318
"C1orf174",0.198412698412698,0.734106592277199,0.417960217011181,0.238562786435067,0
"RPL22",3.71459622248861,7.70413675481553,18.8336346576198,13.3947732464692,9.88997582270646
"ICMT",0,0.163396022940802,0,0,0
"ACOT7",0,0,0,0,0
"TNFRSF25",0,0.146190281270101,0.0369352598764885,0,0
"CAMTA1",0.377410108132262,0.875125287445432,1.69424661565317,6.05907720498985,1.87409703495522
"VAMP3",0.351735221248032,0,0.14420780186028,0.479236930235834,0
"PER3",0,0,0,0,0
"PARK7",0.919398227589898,2.09993367201194,2.12245631618716,4.83846636974563,0
"ERRFI1",0,2.89336447926504,0,0,0
"RERE",0,0,0,0,0.77639751552795
"ENO1",0.803725812238757,0.0938881916821321,1.21251621338292,3.32682739376126,3.640624412466
