"","Megakaryocyte","Fibroblast","MSC","Myeloid","Neural"
"FO538757.2",0,1.83898745020251,0,0,0
"RP11-206L10.9",0,0,0.386757425742574,0,0
"SAMD11",0,0,0,0,0
"NOC2L",0,0.197923521967632,2.13407687377526,0.780152909970354,0.561324726354196
"HES4",0,0.545435459821294,0,1.19075970469159,0
"ISG15",0,4.79257015464223,0,3.82341552159187,0
"TNFRSF18",0,0,0,2.82230627328983,0
"TNFRSF4",0,0,0,1.60738802881539,0
"SDF4",0,1.36328185256442,2.20642140817218,2.82534398922373,1.20098480754218
"B3GALT6",0,0.531654379543228,0,0,0
"UBE2J2",0,0.47637574838657,0.448994252873563,0,0
"ACAP3",0,0.253203018179977,0,0,0
"CPSF3L",0,0.146799908748427,0,0,2.76854928017719
"CPTP",0,0,0,0,0
"MXRA8",0,4.16630430315873,1.12270088461366,0,0
"AURKAIP1",4.17299937624641,0.667309186377782,6.90918247756557,3.20375584827059,1.15767538782126
"CCNL2",0,0.1860361282161,0,0,0
"MRPL20",6.86569777216706,1.22040831707946,5.46783790137219,1.08530497069677,0
"ATAD3A",0,0.0422354372212461,0,0,0
"SSU72",4.13416031429446,1.31467190354883,5.33439424807414,0.698616738857063,0.561324726354196
"MIB2",1.57158573000157,0.156504319519219,0,0,0.600492403771092
"CDK11B",0.798466943468541,0.0956782150272204,0,0,1.16181713012529
"CDK11A",0,0,0.550176056338028,1.40726146918097,0.561324726354196
"NADK",0,0.553064112740317,0.544425087108014,0,0
"GNB1",2.70250350097045,0.253203018179977,0,0,0
"FAAP20",0,0.6589557673149,6.32240953042822,2.08477293242311,0.600492403771092
"RER1",1.83351668500183,1.90232661656444,4.28717410753868,1.17178345441762,0
"PEX10",0,0.412566593864339,0,0,0
"TNFRSF14",0,0.708256083704947,0.318228105906314,3.62246879786592,2.76854928017719
"SMIM1",0,0,0,0,0
"LRRC47",0,0.140920946241102,0,0,0
"C1orf174",0,0.234405044546908,0,0,0
"RPL22",3.71721382664582,6.75808505669794,11.757044747542,26.5793917652496,6.56034086763235
"ICMT",0,0.906988117954556,0.707013574660633,0,0
"ACOT7",0.961261174661156,0.0383612091453123,0.375600961538462,0.315238635647185,0
