"","RNA.Neural","RNA.MSC","RNA.Fibroblast","RNA.Megakaryocyte","RNA.Myeloid"
"FO538757.2",0.338079644118541,2.25800022987201,0.292266485062696,1.25169267713396,0.931098696461825
"RP11-206L10.9",0,0.0673092455979753,0.266155647822847,0,0
"SAMD11",0,0,0,0,0
"NOC2L",0,0.264891411941621,1.46861204216792,0.414456233421751,0.130975769482646
"HES4",0,1.50431643729535,0,0.66209449190895,0
"ISG15",20.9397349922398,9.30423502193066,2.14094529932077,4.52086872261698,6.58686626129326
"TNFRSF18",0,0,0,1.99181139707562,0
"TNFRSF4",0,0,0,1.26961432343161,0
"SDF4",0,0.918132089858064,1.90237605918059,1.50096399427511,0.28022978842651
"B3GALT6",0,0.265827189771614,0,0,0
"UBE2J2",0.206910875067801,0.275469867736044,0.532587318258476,0.231028293716301,0.394477317554241
"ACAP3",0,0.126601509089988,0,0,0
"CPSF3L",0.0574643290177622,0.25659711115434,0.35914154870754,0.121586366905389,0.645994832041344
"CPTP",0.0498390199655114,0,0,0.169623579768134,0
"MXRA8",0,3.58987678020193,0.772611361454561,0,0
"AURKAIP1",3.11280210191751,1.49211921655164,5.81905110229803,3.24979142125707,0.930190263758953
"CCNL2",0.570589199104546,1.48260738753987,0.118814233945227,0,0
"MRPL20",3.8142162945617,0.864593681599125,4.0157890650677,0.96930342549842,0
"ATAD3A",0,0.0211177186106231,0,0,0.931098696461825
"SSU72",2.65801814158623,0.84330433452391,3.75050135204245,0.601657419458943,0.762288900795777
"MIB2",0.795051032783158,0.282154741680945,0,0.246187872754143,0.140114894213255
"CDK11B",0.494547598845221,0.755390298416036,0.538690650847546,0.223259756919239,0.271090663695901
"CDK11A",0.594318224733854,0,0.37861578070574,0.747607655502392,0.130975769482646
"NADK",0,0.276532056370158,0.374658124461429,0,0
"GNB1",1.363403101309,0.301887491243205,0.0167252888039244,0.243527074278082,0
"FAAP20",0,0.366759877200209,4.35090548330544,2.10531372535673,0.140114894213255
"RER1",1.27674001741718,1.34090253730716,3.47824609374236,1.29032364352988,2.20532417082584
"PEX10",0,0.20628329693217,0.196575652139726,0.0910017472335469,0
"TNFRSF14",0,0.925697442700311,0.270273314473371,2.14301242402793,0.645994832041344
"SMIM1",1.27166100212658,0.177154195011338,1.01075177436004,0.543672396183806,0.631313131313131
"LRRC47",0,0.268983462082673,0.223548610645385,0,0.464252553389044
"C1orf174",0.104329681794471,0.484255818412053,0.130331680573379,0.111826306141438,0
"RPL22",3.71583743384954,7.23111090575674,13.9637233216523,20.3991018345713,9.11306099985583
"ICMT",0,0.535192070447679,0.486546976110543,0,0
"ACOT7",0.455809289393318,0.0191806045726561,0.258478081058726,0.167470525187567,0
"TNFRSF25",0,0.263378249187148,0.0115174466281523,0.150096061479347,0
"CAMTA1",0.658728393413558,1.18072430956646,1.04776699567638,4.09587334344707,1.57692262101226
"VAMP3",0.184949975491923,0.473113421193492,0.993003763095172,0.224642311048047,0
"PER3",0,0.443659129136012,0.266155647822847,0,0
"PARK7",0.483439443615345,2.54368952226361,5.30800433965704,6.2227452049359,0.130975769482646
"ERRFI1",1.98786607729963,2.73458862053847,0,0,0
"RERE",0.838363514419852,0.174440616603599,0.911845308688909,0,1.57563025210084
"ENO1",0.422616389533994,0.779886777325532,5.0509160520197,5.33682557256163,4.64359462382631
"SLC25A33",0,0.216249896334509,0.0115174466281523,0.122646969041724,0
"PIK3CD",0,0,0.488758553274682,0,0.719942404607631
"CLSTN1",0,1.66689521504841,0.243273488055272,0.167470525187567,0.453514739229025
"CTNNBIP1",2.45676519289157,0.0973460434174228,1.53444809662084,0.418058741974483,0
"LZIC",0,0.235691026671832,0.588965849679621,0.126008064516129,0
"UBE4B",0.255893937656645,0.292328792317578,0.113067173207603,0,0
"KIF1B",15.3887397655027,0,0,0,0.130975769482646
"PGD",0.0944634945825186,0.21389380616096,0.208093098767878,0.884626619158115,3.49191279204165
"APITD1",0.140986056479014,0.19325912183055,0.0167252888039244,0,0
"DFFA",0,0.481368289022372,0.302130640467153,0,0
"PEX14",0.0396858468364427,0,0,0.0858988455195162,0
"TARDBP",0.797473398276303,0.330561828990852,2.15728966788466,0.622877214409382,1.2062189216772
"SRM",0.112814128468081,0.594148611914428,2.35843161044337,1.52065392681428,0.130975769482646
"EXOSC10",0,0,0,0.467814371257485,0
"MAD2L2",0.255154113084303,0.266767465582475,0,0.282872769498624,0
"AGTRAP",0,0.554351262969126,0.0115174466281523,1.57750569896038,2.64931558000668
"MTHFR",0,0,0.929112087216992,0,0
"KIAA2013",0,0.0255613267351029,0,1.09894760498283,0
"PLOD1",0,0.435282212198109,0.243273488055272,0,0.140114894213255
"MFN2",0,0.106403353833713,0,0,0
