"","RNA.Neural","RNA.MSC","RNA.Fibroblast","RNA.Megakaryocyte","RNA.Myeloid"
"FO538757.2",0.0451912958632278,0.365837722777376,0.0433116224896746,0.308894412361362,0.112166048686105
"RP11-206L10.9",0,0.0206904294441811,0.0349304381570687,0,0
"SAMD11",0,0,0,0,0
"NOC2L",0,0.0787285602227528,0.123823621803235,0.0517984673462073,0.0531730509938633
"HES4",0,0.252494109698459,0,0.074781116560095,0
"ISG15",1.21679950999081,0.926319960478636,0.254106464180022,0.748965351998963,1.05456672822868
"TNFRSF18",0,0,0,0.236491968508806,0
"TNFRSF4",0,0,0,0.158067930420237,0
"SDF4",0,0.182017570696111,0.223903968353832,0.163902190694387,0.0747147595937399
"B3GALT6",0,0.0522865631812664,0,0,0
"UBE2J2",0.0384531339926396,0.0672387134401844,0.076900245043505,0.074456245855973,0.08507075986346
"ACAP3",0,0.0264874803254835,0,0,0
"CPSF3L",0.0121278645763863,0.0596158638346088,0.0772757797980105,0.0533413227593108,0.10048488067894
"CPTP",0.0115134206574996,0,0,0.0693399827106694,0
"MXRA8",0,0.577900635824928,0.103430313248385,0,0
"AURKAIP1",0.214999718703688,0.288482782369877,0.652744256792771,0.513021950320481,0.17479107175436
"CCNL2",0.0813747343761851,0.236329402736465,0.0267638896229656,0,0
"MRPL20",0.180032096238485,0.215059174763057,0.419464197848253,0.201287939694028,0
"ATAD3A",0,0.0114441484509284,0,0,0.112166048686105
"SSU72",0.174426586868633,0.200760391171478,0.384170149644381,0.145924863620956,0.152929629989158
"MIB2",0.035332603209339,0.0706200140373941,0,0.0531890189130036,0.0549773752409617
"CDK11B",0.0446796214292663,0.0906150795367223,0.102990823337859,0.0710128218583861,0.108150426234825
"CDK11A",0.0736372425444655,0,0.0385953798948879,0.0607607923625657,0.0531730509938633
"NADK",0,0.069612696035929,0.0384855271545313,0,0
"GNB1",0.0590696661040367,0.0698550239137147,0.0100884845243511,0.100105556905535,0
"FAAP20",0,0.0736822838472873,0.397801777803963,0.360108064627725,0.0549773752409617
"RER1",0.091306901744806,0.248026316844479,0.352202592984435,0.242674129520898,0.379192591632092
"PEX10",0,0.0486315214268846,0.0318187950091896,0.0300072218245419,0
"TNFRSF14",0,0.15193686368449,0.0584765612239462,0.298192174949727,0.10048488067894
"SMIM1",0.228699743345098,0.0296962745040365,0.163609326195357,0.194785680863378,0.0997565789952946
