"","source","target","gene_A","gene_B","type_gene_A","type_gene_B","MeanLR"
"1","Megakaryocyte","Megakaryocyte","PRKCA","BATF","Receptor","Transcription Factor",0.304121795600249
"2","Megakaryocyte","Megakaryocyte","BATF","LAMC1","Transcription Factor","Ligand",0.304121795600249
"3","Megakaryocyte","Megakaryocyte","ATM","HOXA9","Receptor","Transcription Factor",0.126962287245898
"4","Megakaryocyte","Megakaryocyte","PRMT5","HOXA9","Receptor","Transcription Factor",0.126962287245898
"5","Megakaryocyte","Megakaryocyte","ABL1","MYB","Receptor","Transcription Factor",0.299743775826145
"6","Megakaryocyte","Megakaryocyte","ACVR1","MYB","Receptor","Transcription Factor",0.299743775826145
"7","Megakaryocyte","Megakaryocyte","ATM","MYB","Receptor","Transcription Factor",0.299743775826145
"8","Megakaryocyte","Megakaryocyte","AURKA","MYB","Receptor","Transcription Factor",0.299743775826145
"9","Megakaryocyte","Megakaryocyte","BIRC2","MYB","Receptor","Transcription Factor",0.299743775826145
"10","Megakaryocyte","Megakaryocyte","BIRC3","MYB","Receptor","Transcription Factor",0.299743775826145
"11","Megakaryocyte","Megakaryocyte","BMPR1B","MYB","Receptor","Transcription Factor",0.299743775826145
"12","Megakaryocyte","Megakaryocyte","BTK","MYB","Receptor","Transcription Factor",0.299743775826145
"13","Megakaryocyte","Megakaryocyte","CAMK2A","MYB","Receptor","Transcription Factor",0.299743775826145
"14","Megakaryocyte","Megakaryocyte","CAMK2B","MYB","Receptor","Transcription Factor",0.299743775826145
"15","Megakaryocyte","Megakaryocyte","CAMKK1","MYB","Receptor","Transcription Factor",0.299743775826145
"16","Megakaryocyte","Megakaryocyte","CASP1","MYB","Receptor","Transcription Factor",0.299743775826145
"17","Megakaryocyte","Megakaryocyte","CASP3","MYB","Receptor","Transcription Factor",0.299743775826145
"18","Megakaryocyte","Megakaryocyte","CDK1","MYB","Receptor","Transcription Factor",0.299743775826145
"19","Megakaryocyte","Megakaryocyte","CDK2","MYB","Receptor","Transcription Factor",0.299743775826145
"20","Megakaryocyte","Megakaryocyte","CDK4","MYB","Receptor","Transcription Factor",0.299743775826145
"21","Megakaryocyte","Megakaryocyte","CDK5","MYB","Receptor","Transcription Factor",0.299743775826145
"22","Megakaryocyte","Megakaryocyte","CHUK","MYB","Receptor","Transcription Factor",0.299743775826145
"23","Megakaryocyte","Megakaryocyte","CSF1R","MYB","Receptor","Transcription Factor",0.299743775826145
"24","Megakaryocyte","Megakaryocyte","CSNK1A1","MYB","Receptor","Transcription Factor",0.299743775826145
"25","Megakaryocyte","Megakaryocyte","CSNK1G2","MYB","Receptor","Transcription Factor",0.299743775826145
"26","Megakaryocyte","Megakaryocyte","CSNK2A2","MYB","Receptor","Transcription Factor",0.299743775826145
"27","Megakaryocyte","Megakaryocyte","EGFR","MYB","Receptor","Transcription Factor",0.299743775826145
"28","Megakaryocyte","Megakaryocyte","EIF2AK2","MYB","Receptor","Transcription Factor",0.299743775826145
"29","Megakaryocyte","Megakaryocyte","FGR","MYB","Receptor","Transcription Factor",0.299743775826145
"30","Megakaryocyte","Megakaryocyte","FZD1","MYB","Receptor","Transcription Factor",0.299743775826145
"31","Megakaryocyte","Megakaryocyte","FZD2","MYB","Receptor","Transcription Factor",0.299743775826145
"32","Megakaryocyte","Megakaryocyte","FZD4","MYB","Receptor","Transcription Factor",0.299743775826145
"33","Megakaryocyte","Megakaryocyte","FZD5","MYB","Receptor","Transcription Factor",0.299743775826145
"34","Megakaryocyte","Megakaryocyte","GSK3A","MYB","Receptor","Transcription Factor",0.299743775826145
"35","Megakaryocyte","Megakaryocyte","GSK3B","MYB","Receptor","Transcription Factor",0.299743775826145
"36","Megakaryocyte","Megakaryocyte","HIPK2","MYB","Receptor","Transcription Factor",0.299743775826145
"37","Megakaryocyte","Megakaryocyte","HSP90AA1","MYB","Receptor","Transcription Factor",0.299743775826145
"38","Megakaryocyte","Megakaryocyte","HSP90AB1","MYB","Receptor","Transcription Factor",0.299743775826145
"39","Megakaryocyte","Megakaryocyte","IGF1R","MYB","Receptor","Transcription Factor",0.299743775826145
"40","Megakaryocyte","Megakaryocyte","IKBKB","MYB","Receptor","Transcription Factor",0.299743775826145
"41","Megakaryocyte","Megakaryocyte","IKBKE","MYB","Receptor","Transcription Factor",0.299743775826145
"42","Megakaryocyte","Megakaryocyte","IL1R1","MYB","Receptor","Transcription Factor",0.299743775826145
"43","Megakaryocyte","Megakaryocyte","IL2RB","MYB","Receptor","Transcription Factor",0.299743775826145
"44","Megakaryocyte","Megakaryocyte","ILK","MYB","Receptor","Transcription Factor",0.299743775826145
"45","Megakaryocyte","Megakaryocyte","INPP5D","MYB","Receptor","Transcription Factor",0.299743775826145
"46","Megakaryocyte","Megakaryocyte","INSR","MYB","Receptor","Transcription Factor",0.299743775826145
"47","Megakaryocyte","Megakaryocyte","IRAK1","MYB","Receptor","Transcription Factor",0.299743775826145
"48","Megakaryocyte","Megakaryocyte","IRAK2","MYB","Receptor","Transcription Factor",0.299743775826145
"49","Megakaryocyte","Megakaryocyte","IRAK3","MYB","Receptor","Transcription Factor",0.299743775826145
"50","Megakaryocyte","Megakaryocyte","ITGB1","MYB","Receptor","Transcription Factor",0.299743775826145
"51","Megakaryocyte","Megakaryocyte","JAK1","MYB","Receptor","Transcription Factor",0.299743775826145
"52","Megakaryocyte","Megakaryocyte","JAK2","MYB","Receptor","Transcription Factor",0.299743775826145
"53","Megakaryocyte","Megakaryocyte","JAK3","MYB","Receptor","Transcription Factor",0.299743775826145
"54","Megakaryocyte","Megakaryocyte","LCK","MYB","Receptor","Transcription Factor",0.299743775826145
"55","Megakaryocyte","Megakaryocyte","LMTK2","MYB","Receptor","Transcription Factor",0.299743775826145
"56","Megakaryocyte","Megakaryocyte","LYN","MYB","Receptor","Transcription Factor",0.299743775826145
"57","Megakaryocyte","Megakaryocyte","MAP2K1","MYB","Receptor","Transcription Factor",0.299743775826145
"58","Megakaryocyte","Megakaryocyte","MAP2K5","MYB","Receptor","Transcription Factor",0.299743775826145
"59","Megakaryocyte","Megakaryocyte","MAP2K6","MYB","Receptor","Transcription Factor",0.299743775826145
