"V1"
"Fibroblast,HIC1,VEGFA"
"MSC,INSR,MITF"
"MSC,ITGB1,MITF"
"MSC,NTRK2,MITF"
"MSC,PDGFRB,MITF"
"MSC,PTPRF,MITF"
"MSC,TGFBR1,MITF"
"MSC,AXL,NFKB1"
"MSC,DIP2A,NFKB1"
"MSC,INSR,NFKB1"
"MSC,ITGA5,NFKB1"
"MSC,ITGB1,NFKB1"
"MSC,NTRK2,NFKB1"
"MSC,PDGFRB,NFKB1"
"MSC,PTPRF,NFKB1"
"MSC,TGFBR1,NFKB1"
"MSC,ITGB1,TFAP2A"
"MSC,PTPRF,TFAP2A"
"MSC,ARID3A,VCL"
"MSC,ETS2,SPP1"
"MSC,ETS2,TNC"
"MSC,ETV4,CP"
"MSC,ETV4,GRN"
"MSC,ETV4,IGF2"
"MSC,ETV4,SPP1"
"MSC,ETV4,VEGFA"
"MSC,FLI1,TNC"
"MSC,FOXF2,CXCL12"
"MSC,HIVEP2,HLA-A"
"MSC,HIVEP2,HLA-B"
"MSC,HIVEP2,HLA-C"
"MSC,HIVEP2,HLA-E"
"MSC,KLF10,TGFB1"
"MSC,MBD3,BMP4"
"MSC,MBD3,LAMB1"
"MSC,MBD3,LTBP3"
"MSC,MITF,ADM"
"MSC,MITF,APOD"
"MSC,MITF,CALR"
"MSC,MITF,CD59"
"MSC,MITF,CLEC2D"
"MSC,MITF,CP"
"MSC,MITF,CSF1"
"MSC,MITF,FBLN1"
"MSC,MITF,FSTL1"
"MSC,MITF,GAS6"
"MSC,MITF,GRN"
"MSC,MITF,HLA-DMA"
"MSC,MITF,LAMC1"
"MSC,MITF,LGALS3"
"MSC,MITF,LGALS3BP"
"MSC,MITF,LTBP3"
"MSC,MITF,MFGE8"
"MSC,MITF,MIF"
"MSC,MITF,SEMA7A"
"MSC,MITF,SOCS2"
"MSC,MITF,SPARC"
"MSC,MITF,SPON2"
"MSC,MITF,SPP1"
"MSC,MITF,TF"
"MSC,MITF,VEGFB"
"MSC,MITF,VEGFC"
"MSC,NFIC,LAMC1"
"MSC,NFIC,TF"
"MSC,NFIC,TNC"
"MSC,NFIC,VCL"
"MSC,NFKB1,APOE"
"MSC,NFKB1,CSF1"
"MSC,NFKB1,CXCL12"
"MSC,NFKB1,FGF7"
"MSC,NFKB1,LGALS1"
"MSC,NFKB1,MIF"
"MSC,NFKB1,TF"
"MSC,NFKB1,TGFB1"
