"V1"
"Fibroblast,PPARD,VEGFA"
"MSC,INSR,ATF1"
"MSC,ITGB1,ATF1"
"MSC,BMPR2,E2F1"
"MSC,INSR,E2F1"
"MSC,ITGB1,E2F1"
"MSC,TGFBR2,E2F1"
"MSC,ITGB1,EPAS1"
"MSC,TGFBR2,FOXP3"
"MSC,ERBB2,MITF"
"MSC,INSR,MITF"
"MSC,ITGB1,MITF"
"MSC,NTRK2,MITF"
"MSC,PDGFRB,MITF"
"MSC,TGFBR2,MITF"
"MSC,DIP2A,NFKB1"
"MSC,INSR,NFKB1"
"MSC,ITGA5,NFKB1"
"MSC,ITGB1,NFKB1"
"MSC,NTRK2,NFKB1"
"MSC,PDGFRB,NFKB1"
"MSC,TGFBR2,NFKB1"
"MSC,ERBB2,TAL1"
"MSC,INSR,TAL1"
"MSC,ITGB1,TAL1"
"MSC,NTRK2,TAL1"
"MSC,PDGFRB,TAL1"
"MSC,TGFBR2,TAL1"
"MSC,ITGB1,TFAP2A"
"MSC,ERBB2,TP73"
"MSC,INSR,TP73"
"MSC,ITGB1,TP73"
"MSC,PDGFRB,TP73"
"MSC,TGFBR2,TP73"
"MSC,ARID3A,VCL"
"MSC,ATF1,ANGPT1"
"MSC,ATF1,ANXA1"
"MSC,E2F1,APOE"
"MSC,E2F1,BMP1"
"MSC,E2F1,CALR"
"MSC,E2F1,CLEC11A"
"MSC,E2F1,COL16A1"
"MSC,E2F1,COL6A3"
"MSC,E2F1,FST"
"MSC,E2F1,HLA-DMA"
"MSC,E2F1,HLA-DPB1"
"MSC,E2F1,LAMA4"
"MSC,E2F1,LGALS3BP"
"MSC,E2F1,LTBP3"
"MSC,E2F1,MXRA5"
"MSC,E2F1,SERPINF1"
"MSC,E2F1,THBS1"
"MSC,E2F1,VCAM1"
"MSC,E2F1,VCAN"
"MSC,E2F1,VEGFA"
"MSC,E2F1,VWF"
"MSC,EPAS1,ANGPTL4"
"MSC,EPAS1,CP"
"MSC,EPAS1,PGF"
"MSC,EPAS1,VEGFA"
"MSC,ETS2,CD34"
"MSC,ETS2,SPP1"
"MSC,ETS2,TNC"
"MSC,ETS2,VWF"
"MSC,FOXF2,CXCL12"
"MSC,MBD3,LAMB1"
"MSC,MBD3,LTBP3"
"MSC,MITF,ADM"
"MSC,MITF,CALR"
"MSC,MITF,CLEC2D"
"MSC,MITF,COL21A1"
"MSC,MITF,CP"
"MSC,MITF,CSF1"
"MSC,MITF,FBLN1"
"MSC,MITF,FST"
"MSC,MITF,FSTL1"
"MSC,MITF,GRN"
"MSC,MITF,HLA-DMA"
"MSC,MITF,LGALS3BP"
"MSC,MITF,LTBP3"
"MSC,MITF,MFGE8"
"MSC,MITF,MIF"
"MSC,MITF,MYL9"
"MSC,MITF,RARRES1"
"MSC,MITF,SERPINF1"
"MSC,MITF,SPARC"
"MSC,MITF,SPON2"
"MSC,MITF,SPP1"
"MSC,MITF,TF"
"MSC,MITF,THBS2"
"MSC,MITF,TXLNA"
"MSC,MITF,VEGFB"
"MSC,MITF,VWF"
"MSC,NCOA1,ANGPT1"
"MSC,NFIC,ANXA1"
"MSC,NFIC,CCL2"
"MSC,NFIC,COL21A1"
"MSC,NFIC,HGF"
"MSC,NFIC,PDGFC"
"MSC,NFIC,TF"
"MSC,NFIC,TNC"
"MSC,NFIC,VCL"
"MSC,NFIC,VWF"
"MSC,NFKB1,APOE"
"MSC,NFKB1,CCL2"
"MSC,NFKB1,CSF1"
"MSC,NFKB1,CXCL12"
"MSC,NFKB1,CXCL2"
"MSC,NFKB1,FGF7"
"MSC,NFKB1,LGALS1"
"MSC,NFKB1,MIF"
"MSC,NFKB1,TF"
"MSC,NFKB1,TFF3"
"MSC,NFKB1,TGFB1"
"MSC,NFKB1,TNC"
"MSC,NFKB1,TNFSF13B"
"MSC,NFKB1,VCAM1"
"MSC,NFKB1,VEGFA"
"MSC,NFKB1,VWF"
"MSC,NR1H3,APOE"
"MSC,NR1H3,LAMB1"
"MSC,SETDB1,COL21A1"
"MSC,TAL1,ANGPT1"
"MSC,TAL1,ANXA1"
"MSC,TAL1,CALR"
"MSC,TAL1,CD34"
"MSC,TAL1,COL21A1"
"MSC,TAL1,COL6A3"
"MSC,TAL1,CXCL2"
"MSC,TAL1,HGF"
"MSC,TAL1,HLA-B"
"MSC,TAL1,HLA-DRB1"
"MSC,TAL1,LUM"
"MSC,TAL1,SPARC"
"MSC,TAL1,THBS1"
"MSC,TAL1,TNC"
"MSC,TAL1,TNFSF13B"
"MSC,TAL1,VCAM1"
"MSC,TAL1,VCL"
"MSC,TAL1,VWF"
"MSC,TFAP2A,ADM"
"MSC,TFAP2A,APOE"
"MSC,TFAP2A,FBLN1"
"MSC,TFAP2A,HGF"
"MSC,TFAP2A,IGF2"
"MSC,TFAP2A,LAMB1"
"MSC,TFAP2A,LTBP3"
"MSC,TFAP2A,NID1"
"MSC,TFAP2A,VEGFA"
"MSC,TFAP2A,VEGFB"
"MSC,TP73,COL21A1"
"MSC,TP73,PDGFC"
"MSC,TP73,THBS1"
