"V1"
"Fibroblast,ITGB1,EPAS1"
"MSC,FGFR1,ELK1"
"MSC,ITGB2,ELK1"
"MSC,LRP1,ELK1"
"MSC,PDGFRB,ELK1"
"MSC,FGFR1,CEBPB"
"MSC,PDGFRB,CEBPB"
"MSC,ITGB1,MITF"
"MSC,PDGFRB,MITF"
"MSC,ITGB1,EGR1"
"MSC,ITGB1,TCF7"
"MSC,FGFR1,FOXO3"
"MSC,ITGB1,FOXO3"
"MSC,LRP1,FOXO3"
"MSC,PDGFRB,FOXO3"
"MSC,ITGA1_ITGB1,MITF"
"MSC,ITGA1_ITGB1,EGR1"
"MSC,ITGA1_ITGB1,TCF7"
"MSC,ITGA1_ITGB1,FOXO3"
"MSC,CEBPB,HP"
"MSC,CEBPA,HP"
"MSC,CEBPA,CSF1"
"MSC,ETS1,TNC"
"MSC,ETS1,PGF"
"MSC,EGR1,ANGPTL4"
"MSC,ERG,ICAM2"
"Myeloid,CEBPA,S100A9"
