"V1"
"Fibroblast,ITGB1,MYC"
"MSC,ITGB1,TEAD1"
"MSC,PDGFRB,TEAD1"
"MSC,TGFBR2,TEAD1"
"MSC,ITGB1,TEAD4"
"MSC,PDGFRB,TEAD4"
"MSC,TGFBR2,TEAD4"
"MSC,ITGB1,ETV1"
"MSC,ITGB1,POU5F1"
"MSC,PDGFRB,POU5F1"
"MSC,TGFBR2,POU5F1"
"MSC,ITGB1,MEF2D"
"MSC,ITGB1,FOXA2"
"MSC,PDGFRB,FOXA2"
"MSC,TGFBR2,FOXA2"
"MSC,ITGB1,RUNX2"
"MSC,PDGFRB,RUNX2"
"MSC,TGFBR2,RUNX2"
"MSC,ITGB1,TFAP2A"
"MSC,PDGFRB,XBP1"
"MSC,PDGFRB,MYOD1"
"MSC,TGFBR2,MYOD1"
"MSC,ITGB1,MAZ"
"MSC,ITGB1,SOX2"
"MSC,PDGFRB,SOX2"
"MSC,TGFBR2,SOX2"
"MSC,ITGB1,GATA2"
"MSC,PDGFRB,GATA2"
"MSC,TGFBR2,GATA2"
"MSC,TGFBR2,CUX1"
"MSC,ITGB1,PDX1"
"MSC,ITGB1,ZHX1"
"MSC,ITGB1,TP63"
"MSC,ITGB1,TCF7L2"
"MSC,ITGB1,SNAI1"
"MSC,ITGB1,TP73"
"MSC,PDGFRB,TP73"
"MSC,TGFBR2,TP73"
"MSC,PDGFRB,PAX8"
"MSC,FGFR1,RELA"
"MSC,ITGB1,RELA"
"MSC,PDGFRB,RELA"
"MSC,TGFBR2,RELA"
"MSC,ITGB1,TERF1"
"MSC,PDGFRB,TERF1"
"MSC,TGFBR2,TERF1"
"MSC,ITGB1,LEF1"
"MSC,ITGB1,MYB"
"MSC,TGFBR2,MYB"
"MSC,ITGB1,FOXO1"
"MSC,PDGFRB,FOXO1"
"MSC,TGFBR2,FOXO1"
"MSC,ITGB1,SPIB"
"MSC,FGFR1,RBPJ"
"MSC,ITGB1,RBPJ"
"MSC,ITGB1,MITF"
"MSC,PDGFRB,MITF"
"MSC,TGFBR2,MITF"
"MSC,ITGB1,NFKB2"
"MSC,ITGB1,FOSB"
"MSC,ITGB1,E2F1"
"MSC,TGFBR2,E2F1"
"MSC,ITGB1,YY1"
"MSC,ITGB1,TAL1"
"MSC,PDGFRB,TAL1"
"MSC,TGFBR2,TAL1"
"MSC,ITGB1,GLI1"
"MSC,PDGFRB,GLI1"
"MSC,FGFR1,ELF1"
"MSC,ITGB1,ELF1"
"MSC,TGFBR2,ELF1"
"MSC,ITGB1,HIF1A"
"MSC,TGFBR2,HIF1A"
"MSC,ITGB1,USF1"
"MSC,ITGB1,ZC3H8"
"MSC,ITGB1,NR4A1"
"MSC,PDGFRB,NR4A1"
"MSC,TGFBR2,NR4A1"
"MSC,ITGB1,HSF1"
"MSC,ITGB1,HOXB7"
"MSC,ITGB1,FOS"
"MSC,FGFR1,SMAD1"
"MSC,ITGB1,SMAD1"
"MSC,PDGFRB,SMAD1"
"MSC,TGFBR2,SMAD1"
"MSC,ITGB1,ATF5"
"MSC,ITGB1,DDIT3"
"MSC,ITGB1,EPAS1"
"MSC,ITGB1,TEAD2"
"MSC,PDGFRB,TEAD2"
"MSC,TGFBR2,TEAD2"
"MSC,PDGFRB,ETV6"
"MSC,ITGB1,ATF4"
"MSC,FGFR1,STAT5A"
"MSC,LRP1,STAT5A"
"MSC,PDGFRB,STAT5A"
"MSC,TGFBR2,STAT5A"
"MSC,FGFR1,FOXO3"
"MSC,ITGB1,FOXO3"
"MSC,LRP1,FOXO3"
"MSC,PDGFRB,FOXO3"
"MSC,TGFBR2,FOXO3"
"MSC,ITGB1,KLF1"
"MSC,ITGB1,CREB3"
"MSC,ITGA11_ITGB1,TEAD1"
"MSC,ITGA11_ITGB1,TEAD4"
"MSC,ITGA11_ITGB1,ETV1"
"MSC,ITGA11_ITGB1,POU5F1"
"MSC,ITGA11_ITGB1,MEF2D"
"MSC,ITGA11_ITGB1,FOXA2"
"MSC,ITGA11_ITGB1,RUNX2"
"MSC,ITGA11_ITGB1,TFAP2A"
"MSC,ITGA11_ITGB1,MAZ"
"MSC,ITGA11_ITGB1,SOX2"
"MSC,ITGA11_ITGB1,GATA2"
"MSC,ITGA11_ITGB1,PDX1"
"MSC,ITGA11_ITGB1,ZHX1"
"MSC,ITGA11_ITGB1,TP63"
"MSC,ITGA11_ITGB1,TCF7L2"
"MSC,ITGA11_ITGB1,SNAI1"
"MSC,ITGA11_ITGB1,TP73"
"MSC,ITGA11_ITGB1,RELA"
"MSC,ITGA11_ITGB1,TERF1"
"MSC,ITGA11_ITGB1,LEF1"
"MSC,ITGA11_ITGB1,MYB"
"MSC,ITGA11_ITGB1,FOXO1"
"MSC,ITGA11_ITGB1,SPIB"
"MSC,ITGA11_ITGB1,RBPJ"
"MSC,ITGA11_ITGB1,MITF"
"MSC,ITGA11_ITGB1,NFKB2"
"MSC,ITGA11_ITGB1,FOSB"
"MSC,ITGA11_ITGB1,E2F1"
"MSC,ITGA11_ITGB1,YY1"
"MSC,ITGA11_ITGB1,TAL1"
"MSC,ITGA11_ITGB1,GLI1"
"MSC,ITGA11_ITGB1,ELF1"
"MSC,ITGA11_ITGB1,HIF1A"
"MSC,ITGA11_ITGB1,USF1"
"MSC,ITGA11_ITGB1,ZC3H8"
"MSC,ITGA11_ITGB1,NR4A1"
"MSC,ITGA11_ITGB1,HSF1"
"MSC,ITGA11_ITGB1,HOXB7"
"MSC,ITGA11_ITGB1,FOS"
"MSC,ITGA11_ITGB1,SMAD1"
"MSC,ITGA11_ITGB1,ATF5"
"MSC,ITGA11_ITGB1,DDIT3"
"MSC,ITGA11_ITGB1,EPAS1"
"MSC,ITGA11_ITGB1,TEAD2"
"MSC,ITGA11_ITGB1,ATF4"
"MSC,ITGA11_ITGB1,FOXO3"
"MSC,ITGA11_ITGB1,KLF1"
"MSC,ITGA11_ITGB1,CREB3"
"MSC,ITGAV_ITGB1,TEAD1"
"MSC,ITGAV_ITGB1,TEAD4"
"MSC,ITGAV_ITGB1,ETV1"
"MSC,ITGAV_ITGB1,POU5F1"
"MSC,ITGAV_ITGB1,MEF2D"
"MSC,ITGAV_ITGB1,FOXA2"
"MSC,ITGAV_ITGB1,RUNX2"
"MSC,ITGAV_ITGB1,TFAP2A"
"MSC,ITGAV_ITGB1,MAZ"
"MSC,ITGAV_ITGB1,SOX2"
"MSC,ITGAV_ITGB1,GATA2"
"MSC,ITGAV_ITGB1,PDX1"
"MSC,ITGAV_ITGB1,ZHX1"
"MSC,ITGAV_ITGB1,TP63"
"MSC,ITGAV_ITGB1,TCF7L2"
"MSC,ITGAV_ITGB1,SNAI1"
"MSC,ITGAV_ITGB1,TP73"
"MSC,ITGAV_ITGB1,RELA"
"MSC,ITGAV_ITGB1,TERF1"
"MSC,ITGAV_ITGB1,LEF1"
"MSC,ITGAV_ITGB1,MYB"
"MSC,ITGAV_ITGB1,FOXO1"
"MSC,ITGAV_ITGB1,SPIB"
"MSC,ITGAV_ITGB1,RBPJ"
"MSC,ITGAV_ITGB1,MITF"
"MSC,ITGAV_ITGB1,NFKB2"
"MSC,ITGAV_ITGB1,FOSB"
"MSC,ITGAV_ITGB1,E2F1"
"MSC,ITGAV_ITGB1,YY1"
"MSC,ITGAV_ITGB1,TAL1"
"MSC,ITGAV_ITGB1,GLI1"
"MSC,ITGAV_ITGB1,ELF1"
"MSC,ITGAV_ITGB1,HIF1A"
"MSC,ITGAV_ITGB1,USF1"
"MSC,ITGAV_ITGB1,ZC3H8"
"MSC,ITGAV_ITGB1,NR4A1"
"MSC,ITGAV_ITGB1,HSF1"
"MSC,ITGAV_ITGB1,HOXB7"
"MSC,ITGAV_ITGB1,FOS"
"MSC,ITGAV_ITGB1,SMAD1"
"MSC,ITGAV_ITGB1,ATF5"
"MSC,ITGAV_ITGB1,DDIT3"
"MSC,ITGAV_ITGB1,EPAS1"
"MSC,ITGAV_ITGB1,TEAD2"
"MSC,ITGAV_ITGB1,ATF4"
"MSC,ITGAV_ITGB1,FOXO3"
"MSC,ITGAV_ITGB1,KLF1"
"MSC,ITGAV_ITGB1,CREB3"
"MSC,ESR1,CXCL12"
"MSC,ESR1,SPARC"
"MSC,PRDM14,CXCL12"
"MSC,NR2F2,TF"
"MSC,TFAP2A,HGF"
"MSC,NR1H3,APOE"
"MSC,CTCF,COL16A1"
"MSC,ZNF263,COL16A1"
"MSC,SNAI1,THBS1"
"MSC,RELA,CCL2"
"MSC,MITF,SERPINF1"
"MSC,WT1,THBS1"
"MSC,E2F1,THBS1"
"MSC,HIF1A,CCL2"
"MSC,HIF1A,CP"
"MSC,HIF1A,CXCL12"
"MSC,HIF1A,LGALS1"
"MSC,HIF1A,MIF"
"MSC,HIF1A,TF"
"MSC,FOS,CCL2"
"MSC,REL,CCL2"
"Megakaryocyte,MYLK,NFATC1"
"Megakaryocyte,TNFRSF14,SMAD5"
"Megakaryocyte,ITGB1,CREM"
"Megakaryocyte,MYLK,CREM"
"Megakaryocyte,ITGB1,SRF"
"Megakaryocyte,ITGB1,TEAD2"
"Megakaryocyte,ITGB1,SPI1"
"Megakaryocyte,ITGB1,MYC"
"Megakaryocyte,FCGR2A,STAT5A"
"Megakaryocyte,ITGB1,SMAD1"
"Megakaryocyte,TNFRSF14,SMAD1"
"Megakaryocyte,ITGB1,NR4A1"
"Megakaryocyte,ITGB1,ATF5"
"Megakaryocyte,ITGB1,ELF1"
"Megakaryocyte,FCGR2A,FOXO3"
"Megakaryocyte,ITGB1,FOXO3"
"Megakaryocyte,CXCR4,STAT2"
"Megakaryocyte,CD74_CXCR4,STAT2"
"Megakaryocyte,REL,CCL5"
"Megakaryocyte,SRF,MYL9"
"Megakaryocyte,SPI1,CCL5"
"Megakaryocyte,SPI1,PPBP"
"Megakaryocyte,MYC,LTB"
"Megakaryocyte,MYC,TGFB1"
"Neural,HNF4A,GDF15"
"Neural,STAT1,LGALS3"
