,Neural,MSC,Fibroblast,Megakaryocyte,Myeloid
FO538757.2,0.0451912958632278,0.3658377227773756,0.043311622489674566,0.3088944123613623,0.11216604868610454
RP11-206L10.9,0.0,0.020690429444181115,0.034930438157068734,0.0,0.0
SAMD11,0.0,0.0,0.0,0.0,0.0
NOC2L,0.0,0.07872856022275279,0.12382362180323458,0.05179846734620731,0.05317305099386332
HES4,0.0,0.25249410969845915,0.0,0.07478111656009498,0.0
ISG15,1.216799509990807,0.9263199604786362,0.25410646418002153,0.7489653519989632,1.0545667282286844
TNFRSF18,0.0,0.0,0.0,0.2364919685088058,0.0
TNFRSF4,0.0,0.0,0.0,0.1580679304202373,0.0
SDF4,0.0,0.18201757069611066,0.22390396835383164,0.16390219069438722,0.0747147595937399
B3GALT6,0.0,0.05228656318126644,0.0,0.0,0.0
UBE2J2,0.038453133992639554,0.06723871344018446,0.07690024504350498,0.07445624585597296,0.08507075986346004
ACAP3,0.0,0.026487480325483502,0.0,0.0,0.0
CPSF3L,0.012127864576386321,0.059615863834608825,0.07727577979801045,0.05334132275931079,0.10048488067894029
CPTP,0.011513420657499569,0.0,0.0,0.06933998271066939,0.0
MXRA8,0.0,0.5779006358249286,0.10343031324838516,0.0,0.0
AURKAIP1,0.21499971870368786,0.2884827823698768,0.652744256792771,0.5130219503204814,0.17479107175435954
CCNL2,0.08137473437618513,0.2363294027364647,0.026763889622965626,0.0,0.0
MRPL20,0.1800320962384846,0.21505917476305678,0.41946419784825306,0.20128793969402778,0.0
ATAD3A,0.0,0.011444148450928424,0.0,0.0,0.11216604868610454
SSU72,0.17442658686863327,0.20076039117147806,0.3841701496443804,0.14592486362095564,0.15292962998915788
MIB2,0.03533260320933901,0.07062001403739405,0.0,0.05318901891300355,0.05497737524096175
CDK11B,0.04467962142926628,0.09061507953672235,0.10299082333785863,0.07101282185838609,0.10815042623482508
CDK11A,0.07363724254446553,0.0,0.03859537989488789,0.060760792362565694,0.05317305099386332
NADK,0.0,0.06961269603592898,0.03848552715453128,0.0,0.0
GNB1,0.05906966610403672,0.06985502391371472,0.010088484524351076,0.10010555690553469,0.0
FAAP20,0.0,0.07368228384728734,0.39780177780396286,0.3601080646277254,0.05497737524096175
RER1,0.09130690174480603,0.24802631684447868,0.3522025929844351,0.24267412952089815,0.3791925916320919
PEX10,0.0,0.048631521426884594,0.031818795009189604,0.030007221824541876,0.0
TNFRSF14,0.0,0.15193686368449036,0.05847656122394622,0.2981921749497273,0.10048488067894029
SMIM1,0.22869974334509752,0.029696274504036495,0.163609326195357,0.19478568086337758,0.09975657899529457
LRRC47,0.0,0.060242261518018834,0.03313389358133781,0.0,0.0901070093668857
C1orf174,0.014765773120322028,0.07172713818004692,0.034592822401642256,0.05531534275965437,0.0
RPL22,0.329665412349403,1.197615990808748,1.3133155168150672,2.0639070933839303,1.2735325103151962
ICMT,0.0,0.0723397647460439,0.04122620435280993,0.0,0.0
ACOT7,0.021529853052573225,0.01079271286692747,0.03462809789448481,0.03845524713417408,0.0
TNFRSF25,0.0,0.06692933555016578,0.007828932778676634,0.03689740354412763,0.0
CAMTA1,0.04982960793778368,0.2918946361736596,0.15095474448257645,0.637540426894215,0.2620342071489829
VAMP3,0.03712246536866012,0.11483278007187939,0.10492586298599464,0.07760924904857108,0.0
PER3,0.0,0.07156080740380028,0.034930438157068734,0.0,0.0
PARK7,0.0888915319380958,0.5465309076176936,0.5239642048413004,0.9452079026682223,0.05317305099386332
ERRFI1,0.06949805535891893,0.394448938935283,0.0,0.0,0.0
RERE,0.024368887603450393,0.044226251484468425,0.10770063060770856,0.0,0.211724043466109
ENO1,0.06746599138966099,0.18262177566853727,0.5046148048861441,0.7100911649858018,0.6259111046848567
SLC25A33,0.0,0.06313477968110778,0.007828932778676634,0.05936281996819931,0.0
PIK3CD,0.0,0.0,0.0412739173914552,0.0,0.10392911497649378
CLSTN1,0.0,0.16543015542933417,0.03400302722465376,0.03845524713417408,0.08937980703666816
