,group,names,scores,logfoldchanges,pvals,pvals_adj,Unnamed: 0,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
0,Neural,HMGA1,12.651964,9.731596,1.0911224990394889e-36,3.917129771551765e-34,HMGA1,1.10321334849588e-36,7.97179470849508,0.842,0.136,3.9605359211002e-34,Neural,HMGA1
1,Neural,GFI1,8.990742,0.15918322,2.4556832981567187e-19,8.815903040382621e-17,SPDEF,1.7618379682186999e-28,4.98051014035185,0.01,0.091,6.32499830590514e-26,Neural,SPDEF
2,Neural,MYBL1,8.035942,0.6419919,9.286294298754909e-16,3.333779653253013e-13,HSF1,8.2402806899294605e-25,2.63117016233056,0.891,0.318,2.95826076768467e-22,Neural,HSF1
3,Neural,MEF2D,7.6922135,1.7190094,1.4461077133325464e-14,5.191526690863842e-12,MITF,1.13920673132727e-24,7.29539193024803,0.851,0.266,4.0897521654649e-22,Neural,MITF
4,Neural,ATF1,7.428342,4.8874946,1.099674862537744e-13,3.9478327565105004e-11,IRF8,1.1481327005147801e-23,5.24941724478152,0.01,0.123,4.12179639484806e-21,Neural,IRF8
5,Neural,ZNF740,7.133222,4.9632473,9.804629662114121e-13,3.519862048698969e-10,PIN1,1.7185905903618001e-22,3.56130922981179,0.03,0.136,6.16974021939886e-20,Neural,PIN1
6,Neural,FOXL2,7.015174,1.4523941,2.296630648280224e-12,8.244904027326004e-10,SOX10,2.68768256773697e-21,10.1467516299295,0.703,0.227,9.648780418175731e-19,Neural,SOX10
7,Neural,HNF1A,7.0134377,1.2257234,2.325321412151579e-12,8.347903869624169e-10,PAX3,1.3736881804462e-20,5.16200115989554,0.05,0.156,4.93154056780185e-18,Neural,PAX3
8,Neural,FOXO4,6.468334,0.7817032,9.90892261231434e-11,3.557303217820848e-08,FOSB,3.5977792390158197e-16,4.12450661487444,0.218,0.247,1.29160274680668e-13,Neural,FOSB
9,Neural,NFYC,6.211406,1.6317778,5.251254292897112e-10,1.8852002911500642e-07,NR5A1,4.72363426735813e-16,0.613320837316937,0.01,0.201,1.69578470198157e-13,Neural,NR5A1
10,Neural,FOXK1,5.2305665,2.560358,1.6899140672538596e-07,6.066791501441356e-05,MYBL1,9.35227199772123e-16,7.96972556625566,0.069,0.195,3.35746564718192e-13,Neural,MYBL1
11,Neural,KLF4,4.4788785,3.244023,7.503616180462506e-06,0.002693798208786,POU4F2,4.672271609678e-15,7.97125354974453,0.703,0.208,1.6773455078744e-12,Neural,POU4F2
