Neural_n,Neural_l,Neural_p,MSC_n,MSC_l,MSC_p,Fibroblast_n,Fibroblast_l,Fibroblast_p,Megakaryocyte_n,Megakaryocyte_l,Megakaryocyte_p,Myeloid_n,Myeloid_l,Myeloid_p
UBB,3.9611368,8.134898510817445e-34,MALAT1,4.2190256,8.050793234818408e-38,RPS2,4.0227695,3.172433011464062e-20,TMSB4X,4.415762,3.628844679767878e-25,DEFA3,12.268929,4.82447643810474e-12
CRYAB,6.846148,5.2792578585113e-21,MT-ND2,4.308749,2.6147875390820005e-26,MT-CO2,3.327324,1.4755102215209885e-18,B2M,3.3830993,3.0584149794554557e-21,S100A9,9.599492,1.2339484630354814e-10
TMCC2,5.6409616,3.798604283248917e-19,CXCL12,8.275976,2.7975510805766154e-19,RPS19,2.8134866,4.2772867539771974e-17,EEF1A1,2.9161563,6.382962225869763e-12,LYZ,9.544614,2.974617015436134e-09
PIM1,4.117144,2.154253259945624e-15,APOE,6.536003,2.5563923609450476e-18,MT-CO3,3.3477945,2.536959883851984e-15,RPL10,2.5372834,2.1018117816852847e-11,S100A8,9.64831,5.591303952974275e-09
FTH1,2.2001662,4.74879820837565e-16,CFD,8.097685,1.1802231755098922e-17,TMSB10,3.518949,4.333051425723021e-14,PFN1,3.509383,1.4353046919346684e-10,DEFA1B,34.110016,3.8630030651438526e-08
PLP1,31.743969,1.6606498203042262e-14,IFITM3,4.01267,4.355410171926996e-19,LGALS1,4.181358,8.64151771858403e-13,RPL26,3.1830041,2.7961770105007606e-10,DEFA4,10.88406,8.022163661847084e-08
NUDT4,3.387924,6.157680151640258e-12,ZFP36L1,6.8254795,2.96776791246227e-17,MT-CO1,3.0916955,2.6502734169601286e-13,TPT1,2.4544618,7.139809529829443e-11,SRGN,5.8901367,1.862637297785041e-07
SLC2A1,3.639519,2.189828616498036e-11,JUNB,4.8265204,1.2721871343977421e-17,RPS12,2.4414382,2.6502734169601286e-13,MYL12A,4.450109,1.3330967684968165e-08,CYBA,4.9508424,2.3268356567660042e-07
GLRX5,3.483569,2.822176029801205e-11,IGFBP7,6.01511,4.754541449703464e-16,RPL13A,2.6301162,6.720684752716298e-13,ACTB,3.0485775,5.298340694814709e-09,RPL39,3.4677596,4.3233644150739754e-07
HMBS,2.9231594,3.555452390577765e-11,SOCS3,8.620657,6.594617857902776e-15,RPS18,2.7325358,2.5613266425576736e-11,GAPDH,3.373599,1.0116997699955519e-08,RPLP2,2.5040045,1.6714299293391216e-07
SLC25A37,2.7283103,3.942107125454542e-11,FOS,4.40319,6.360406926784629e-16,RPLP1,2.2727647,1.1561407269314895e-11,ARHGDIB,4.9377317,6.224992352307625e-08,RPLP1,2.725966,3.45378824927871e-06
TRIM58,4.005355,1.1219438704342742e-10,ZFP36,6.016536,9.999456138925276e-15,RPS5,2.8011963,9.874274551909895e-10,HLA-B,2.6697063,1.837139508695868e-08,NKG7,6.227148,1.6742715182708604e-05
STMN1,3.7259145,3.2131219079481343e-10,B2M,2.8671985,1.2721871343977421e-17,RPL11,2.4386048,6.727276639554237e-10,S100A4,4.3367476,7.111334981718213e-08,TSPO,4.3850846,1.5378971389554312e-05
SEC11C,4.7847276,1.0047099304144057e-09,JUN,4.7458453,5.226188247187891e-15,RPS16,2.8629355,4.015905750734475e-09,FCER1G,6.036548,2.3707843578472493e-07,S100P,10.522043,2.1996118221450205e-05
LPIN2,4.332257,1.0031146141501115e-09,MT-ND1,3.214786,5.226188247187891e-15,RPL29,2.716154,4.015905750734475e-09,SH3BGRL3,3.4825373,1.1348209276307405e-06,RPS28,2.892073,1.1143600973957361e-05
ALAS2,2.364438,6.796687923160105e-10,FOSB,5.473858,3.038097985779029e-13,RPSA,3.0713522,1.8796276188826742e-08,H3F3A,2.7373211,1.0494428143160807e-06,RPL41,2.31379,6.83655082380526e-06
NARF,3.4583719,1.653154790488543e-09,VIM,3.9765408,2.2668111115738796e-13,MT2A,3.1500592,4.3428003565900615e-08,RPL28,2.2879663,1.280367484268148e-06,RETN,9.8388405,2.689364629214828e-05
MOBP,30.653284,2.9298061620776805e-09,LEPR,32.01654,1.1546964255727714e-12,RPL13,2.19121,8.864034702520031e-08,CFL1,3.0828846,2.0910363930344863e-06,DEFA1,32.738136,5.300856971796045e-05
BSG,2.3529606,1.8428034876673882e-09,VCAN,7.3467646,1.2359294186566278e-12,MT-ATP6,2.60304,2.892108691501681e-07,RPLP1,2.1134393,1.2292010832592245e-06,MYL6,2.4599323,4.368769378806455e-05
XPO7,4.014546,3.841721775417569e-09,MT-ND4,2.9141185,5.921174642019015e-14,RPS15,2.2021403,2.892108691501681e-07,RPL15,2.354234,1.8741203875552887e-06,AZU1,7.499357,0.00019656863773905478
SLC4A1,2.7316294,3.998205659988162e-09,CALD1,4.1529245,3.5551830809922676e-12,RPL12,2.385992,5.10513542449443e-07,RGS10,4.603901,4.2594141826374205e-06,CD24,8.586687,0.0002059011237649149
BNIP3L,2.5719092,5.587849334721008e-09,PCOLCE,7.0810285,2.00801889188123e-11,S100A6,2.488872,1.7722332476165417e-06,ARPC1B,4.5433135,5.380002247148764e-06,MT-CO1,2.05218,0.0001769776433073385
ADIPOR1,2.9582803,1.994341097409919e-08,EGR1,5.3535266,2.0568271590744877e-11,RPL10A,2.4860563,1.9181369311334455e-06,TAGLN2,4.298929,8.8185182621139e-06,PGLYRP1,31.92488,0.0003850290009360531
IFIT1B,4.6857553,3.573094776005712e-08,MDK,6.0384307,2.6990207749790982e-11,RPL28,2.0432193,3.453032505481904e-06,NDUFA4,3.1820152,7.728741163665625e-06,TMSB4X,2.2120776,0.0003779341165014381
HBQ1,2.7218914,2.98969500143161e-08,VCAM1,7.3750925,3.591401157220467e-11,RPS17,2.1842363,4.230971884651492e-06,CORO1A,5.6387324,1.0667832266414373e-05,BPI,8.989471,0.0013950805450544457
MAP2K3,2.8009977,3.3129651902673493e-08,IFITM2,4.0189843,2.5201037963979676e-11,FTL,1.8920182,1.0296754878651254e-05,NACA,2.5559542,9.53849996345458e-06,ATP5E,2.3803458,0.0012401449596103995
UBE2B,2.8235748,3.573094776005712e-08,CD63,3.3605964,4.0121126605732003e-11,RPLP0,2.2549694,1.5229836350008064e-05,PPIA,2.884685,1.4656353961900082e-05,SLPI,4.2232885,0.0015593957556867806
HIST1H1C,2.6783845,3.573094776005712e-08,CTGF,5.89702,2.925414015140693e-10,MT-CYB,2.3550913,2.069520477448239e-05,RPS27,2.1558204,1.085064645907963e-05,TYROBP,4.80281,0.0017564358497349861
SLC40A1,3.1388865,7.775759964811941e-08,HLA-B,2.5987575,4.0121126605732003e-11,RPL10,1.8299083,1.589602264662108e-05,CCL5,7.8949103,2.4535322676219963e-05,LCN2,5.849569,0.00215653953966071
ANKRD9,4.0892878,9.217749862803155e-08,MT-CYB,2.8087711,6.579808135733387e-11,RPL36,2.1300414,2.5645438789757854e-05,PDLIM1,4.643961,2.4237897612051045e-05,HCST,4.1925883,0.002134951042648034
ZFAND5,3.0444705,2.0543435283024845e-07,TMSB10,2.4266305,2.0568271590744877e-11,RPS27A,1.8423898,2.4731303760371536e-05,RPS7,2.276644,1.609446869811495e-05,MT-CO2,1.5371071,0.001436991037875819
CPEB4,2.9735618,2.438489983259702e-07,SEPP1,5.0636125,6.615790363894744e-10,TPM1,2.918866,3.976665353140611e-05,RPS6,2.3163106,2.2249383792672342e-05,RPS29,2.437982,0.001978623765618829
