"","ligands_human"
"1","LOC101059948"
"2","COL6A6"
"3","COL6A6"
"4","COL6A6"
"5","COL6A6"
"6","COL6A6"
"7","COL6A6"
"8","COL6A6"
"9","COL6A6"
"10","COL6A6"
"11","COL6A6"
"12","COL6A6"
"13","COL6A6"
"14","COL6A6"
"15","COL6A6"
"16","COL6A6"
"17","COL6A6"
"18","COL6A6"
"19","COL6A6"
"20","COL6A6"
"21","COL6A6"
"22","COL6A6"
"23","COL6A6"
"24","COL6A6"
"25","COL6A6"
"26","COL6A6"
"27","COL6A6"
"28","COL6A6"
"29","COL6A6"
"30","COL6A6"
"31","COL6A6"
"32","COL6A6"
"33","COL6A6"
"34","COL6A5"
"35","COL6A5"
"36","COL6A5"
"37","COL6A5"
"38","COL6A5"
"39","COL6A5"
"40","COL6A5"
"41","COL6A5"
"42","COL6A5"
"43","COL6A5"
"44","ISM1"
"45","LAMA5_LAMB1_LAMC1"
"46","CLCF1_CRLF1"
"47","CLCF1_CRLF1"
"48","CLCF1_CRLF1"
"49","F8_F9"
"50","CGA_TSHB"
"51","CGA_FSHB"
"52","CGA_LHB"
"53","LTA_LTB"
"54","IGHG1_IGLC1"
"55","IGHG1_IGLC1"
"56","APP_BACE1_PSEN1"
"57","APP_BACE1"
"58","ITGAL_ITGB2"
"59","S100A8_S100A9"
"60","INHA_INHBA"
"61","INHA_INHBB"
"62","LAMA1_LAMB1_LAMC1"
"63","LAMA1_LAMB1_LAMC1"
"64","LAMA1_LAMB1_LAMC1"
"65","LAMA1_LAMB1_LAMC1"
"66","LAMA1_LAMB1_LAMC1"
"67","LAMA4_LAMB1_LAMC1"
"68","INHBA_INHBB"
"69","INHBA_INHBB"
"70","INHBA_INHBB"
"71","INHBA_INHBB"
"72","INHBA_INHBB"
"73","INHBA_INHBB"
"74","CSF1_IL34"
"75","IL12A_IL12B"
"76","EBI3_IL12A"
"77","IL12A_IL27"
"78","IL12B_IL23A"
"79","LAMA3_LAMB3_LAMC2"
"80","LAMA3_LAMB3_LAMC2"
"81","LAMA3_LAMB3_LAMC2"
"82","EBI3_IL27"
"83","IL17A_IL17F"
"84","IFNL4"
"85","IFNL4"
"86","CCL24"
"87","CCL24"
"88","CCL24"
"89","CCL24"
"90","CCL24"
"91","CCL24"
"92","CCL24"
"93","CCL24"
"94","CCL24"
"95","CCL24"
"96","CCL24"
"97","CCL24"
"98","CCL24"
"99","CCL24"
"100","CCL24"
"101","CCL24"
"102","CCL24"
"103","CCL24"
"104","CCL24"
"105","LGALS9"
"106","LGALS9"
"107","LGALS9"
"108","LGALS9"
"109","LGALS9"
"110","LGALS9"
"111","LGALS9"
"112","LGALS9"
"113","LGALS9"
"114","LGALS8"
"115","LGALS8"
"116","CORT"
"117","CORT"
"118","CORT"
"119","CORT"
"120","CORT"
"121","CORT"
"122","CORT"
"123","CORT"
"124","CORT"
"125","CORT"
"126","CORT"
"127","AGRP"
"128","AGRP"
"129","AGRP"
"130","AGRP"
"131","AGRP"
"132","AGRP"
"133","AGRP"
"134","LEFTY2"
"135","LEFTY2"
"136","LEFTY2"
"137","LEFTY2"
"138","DLL1"
"139","DLL1"
"140","DLL1"
"141","DLL1"
"142","DLL1"
"143","CCL21"
"144","CCL21"
"145","CCL21"
"146","CCL21"
"147","CCL21"
"148","CCL21"
"149","CCL21"
"150","CCL21"
"151","CCL21"
"152","CCL21"
"153","CCL21"
"154","CCL21"
"155","CCL21"
"156","CCL21"
"157","CCL21"
"158","CCL21"
"159","CCL21"
"160","CCL21"
"161","CCL21"
"162","CCL21"
"163","CCL21"
"164","CCL21"
"165","CCL21"
"166","CCL21"
"167","FCN1"
"168","CCN1"
"169","CCN1"
"170","CCN1"
"171","CCN1"
"172","CCN1"
"173","CCN1"
"174","CCN1"
"175","CCN1"
"176","CCN1"
"177","CCN1"
"178","CCN1"
"179","CCN1"
"180","CCN1"
"181","CCL22"
"182","CCL22"
"183","CCL22"
"184","CCL22"
"185","CCL22"
"186","CCL22"
"187","CCL22"
"188","CCL22"
"189","CCL22"
"190","CCL22"
"191","CCL22"
"192","CCL22"
"193","CCL22"
"194","CCL22"
"195","CCL22"
"196","CCL22"
"197","CCL22"
"198","CCL22"
"199","CCL22"
"200","CCL22"
"201","CCL22"
"202","CCL22"
"203","NTN3"
"204","NTN3"
"205","WNT10B"
"206","WNT10B"
"207","WNT10B"
"208","WNT10B"
"209","WNT10B"
"210","WNT10B"
"211","WNT10B"
"212","WNT10B"
"213","WNT10B"
"214","WNT10B"
"215","WNT10B"
"216","WNT10B"
"217","WNT10B"
"218","WNT10B"
"219","WNT10B"
"220","WNT10B"
"221","WNT10B"
"222","WNT10B"
"223","WNT10B"
"224","WNT10B"
"225","WNT10B"
"226","WNT10B"
"227","WNT10B"
"228","WNT10B"
"229","WNT10B"
"230","WNT10B"
"231","WNT10B"
"232","WNT10B"
"233","WNT10B"
"234","WNT10B"
"235","WNT10B"
"236","WNT10B"
"237","WNT7A"
"238","WNT7A"
"239","WNT7A"
"240","WNT7A"
"241","WNT7A"
"242","WNT7A"
"243","WNT7A"
"244","WNT7A"
"245","WNT7A"
"246","WNT7A"
"247","WNT7A"
"248","WNT7A"
"249","WNT7A"
"250","WNT7A"
"251","WNT7A"
"252","WNT7A"
"253","WNT7A"
"254","WNT7A"
"255","WNT7A"
"256","WNT7A"
"257","WNT7A"
