,gene,tag,cluster,z_score
0,REL,***,Megakaryocyte,-0.06417467
1,KLF13,***,Megakaryocyte,-0.2949897
2,IRF9,***,Megakaryocyte,0.060718354
3,NRF1,***,Megakaryocyte,-0.39398643
4,NFIA,**,Megakaryocyte,-0.12156491
5,CREB3,**,Megakaryocyte,0.24471216
6,HIC1,**,Megakaryocyte,0.100211255
7,ELK4,**,Megakaryocyte,-0.31270942
8,SRF,**,Megakaryocyte,-0.55004966
9,ESR2,**,Megakaryocyte,-0.09145859
10,KLF5,**,Megakaryocyte,-0.18195519
11,CREB3L1,**,Megakaryocyte,-0.28663996
12,USF2,**,Megakaryocyte,0.35638142
13,CEBPD,**,Megakaryocyte,-0.13930574
14,KLF1,**,Megakaryocyte,-0.3991145
15,SP1,**,Megakaryocyte,-0.5181166
16,VDR,**,Megakaryocyte,0.4532177
17,PITX1,*,Megakaryocyte,0.4477293
18,STAT2,*,Megakaryocyte,0.43304628
19,HOXA10,*,Megakaryocyte,0.28448635
20,TBP,*,Megakaryocyte,-0.21243437
21,BACH2,*,Megakaryocyte,-0.030817823
22,FOXO3,*,Megakaryocyte,0.08975991
23,SOX9,*,Megakaryocyte,-0.57021296
24,MYNN,*,Megakaryocyte,-0.3243053
25,IRF2,*,Megakaryocyte,-0.39695966
26,SNAI1,*,Megakaryocyte,-0.45110202
27,DNMT1,*,Megakaryocyte,0.46793386
28,ZHX1,*,Megakaryocyte,-0.4597697
29,HIF1A,*,Megakaryocyte,-0.21945372
30,SMAD1,*,Megakaryocyte,-0.06493107
31,TFDP1,*,Megakaryocyte,-0.07234802
32,ZHX2,*,Megakaryocyte,-0.043062
33,IRF1,*,Megakaryocyte,0.13463816
34,MXI1,*,Megakaryocyte,-0.5133417
35,PAX8,*,Megakaryocyte,-0.73016495
36,TWIST1,*,Megakaryocyte,-1.0549854
37,ERG,*,Megakaryocyte,-0.6305542
38,SOX2,*,Megakaryocyte,-1.0816966
39,DUX4,*,Megakaryocyte,-0.8613086
40,HNF1A,*,Megakaryocyte,-0.40235934
41,SOX11,*,Megakaryocyte,-0.7886557
42,HOXA9,*,Megakaryocyte,-0.04593992
43,PDX1,*,Megakaryocyte,-0.7716498
44,NCOA3,*,Megakaryocyte,-0.7220625
45,GATA4,*,Megakaryocyte,-0.5775098
46,BATF,*,Megakaryocyte,0.064138606
47,TFCP2,**,Megakaryocyte,-0.38926995
