"","TF","Receptor","celltype","Target_Gene","TF_Score"
"1","AHR","HSP90AA1","Neural","ASAP1",0.299936
"2","AHR","HSP90AA1","Neural","FOS",0.299936
"3","AHR","PRKCA","Neural","ASAP1",0.299936
"4","AHR","PRKCA","Neural","FOS",0.299936
"5","ARNT","ILK","Fibroblast","CYP1B1",0.3970888
"6","ARNT","ILK","Fibroblast","VEGFA",0.3970888
"7","ARNT","ILK","Fibroblast","LDHA",0.3970888
"8","ARNT","NOX1","Fibroblast","CYP1B1",0.3970888
"9","ARNT","NOX1","Fibroblast","VEGFA",0.3970888
"10","ARNT","NOX1","Fibroblast","LDHA",0.3970888
"11","ARNT","HSP90AB1","Fibroblast","CYP1B1",0.3970888
"12","ARNT","HSP90AB1","Fibroblast","VEGFA",0.3970888
"13","ARNT","HSP90AB1","Fibroblast","LDHA",0.3970888
"14","ARNT","NLRC4","Fibroblast","CYP1B1",0.3970888
"15","ARNT","NLRC4","Fibroblast","VEGFA",0.3970888
"16","ARNT","NLRC4","Fibroblast","LDHA",0.3970888
"17","ARNT","IKBKE","Fibroblast","CYP1B1",0.3970888
"18","ARNT","IKBKE","Fibroblast","VEGFA",0.3970888
"19","ARNT","IKBKE","Fibroblast","LDHA",0.3970888
"20","ARNT","LYN","Fibroblast","CYP1B1",0.3970888
"21","ARNT","LYN","Fibroblast","VEGFA",0.3970888
"22","ARNT","LYN","Fibroblast","LDHA",0.3970888
"23","ARNT","MAPK3","Fibroblast","CYP1B1",0.3970888
"24","ARNT","MAPK3","Fibroblast","VEGFA",0.3970888
"25","ARNT","MAPK3","Fibroblast","LDHA",0.3970888
"26","ARNT","ITGB1","Fibroblast","CYP1B1",0.3970888
"27","ARNT","ITGB1","Fibroblast","VEGFA",0.3970888
"28","ARNT","ITGB1","Fibroblast","LDHA",0.3970888
"29","ARNT","MTOR","Fibroblast","CYP1B1",0.3970888
"30","ARNT","MTOR","Fibroblast","VEGFA",0.3970888
"31","ARNT","MTOR","Fibroblast","LDHA",0.3970888
"32","ARNT","ATM","Fibroblast","CYP1B1",0.3970888
"33","ARNT","ATM","Fibroblast","VEGFA",0.3970888
"34","ARNT","ATM","Fibroblast","LDHA",0.3970888
"35","ARNT","MAPK8","Fibroblast","CYP1B1",0.3970888
"36","ARNT","MAPK8","Fibroblast","VEGFA",0.3970888
"37","ARNT","MAPK8","Fibroblast","LDHA",0.3970888
"38","ARNT","TBK1","Fibroblast","CYP1B1",0.3970888
"39","ARNT","TBK1","Fibroblast","VEGFA",0.3970888
"40","ARNT","TBK1","Fibroblast","LDHA",0.3970888
"41","ARNT","IRAK1","Fibroblast","CYP1B1",0.3970888
"42","ARNT","IRAK1","Fibroblast","VEGFA",0.3970888
"43","ARNT","IRAK1","Fibroblast","LDHA",0.3970888
"44","ARNT","CASP3","Fibroblast","CYP1B1",0.3970888
