source,target,gene_A,gene_B,type_gene_A,type_gene_B,MeanLR
Megakaryocyte,Megakaryocyte,ABL1,GATA1,Receptor,Transcription Factor,0.39587516
Megakaryocyte,Megakaryocyte,ACVR1,GATA1,Receptor,Transcription Factor,0.39587516
Megakaryocyte,Megakaryocyte,AKT2,GATA1,Receptor,Transcription Factor,0.39587516
Megakaryocyte,Megakaryocyte,AKT3,GATA1,Receptor,Transcription Factor,0.39587516
Megakaryocyte,Megakaryocyte,ALK,GATA1,Receptor,Transcription Factor,0.39587516
Megakaryocyte,Megakaryocyte,ATM,GATA1,Receptor,Transcription Factor,0.39587516
Megakaryocyte,Megakaryocyte,AURKA,GATA1,Receptor,Transcription Factor,0.39587516
Megakaryocyte,Megakaryocyte,BCL2,GATA1,Receptor,Transcription Factor,0.39587516
Megakaryocyte,Megakaryocyte,BCL2L1,GATA1,Receptor,Transcription Factor,0.39587516
Megakaryocyte,Megakaryocyte,BCR,GATA1,Receptor,Transcription Factor,0.39587516
Megakaryocyte,Megakaryocyte,BIRC2,GATA1,Receptor,Transcription Factor,0.39587516
Megakaryocyte,Megakaryocyte,BIRC3,GATA1,Receptor,Transcription Factor,0.39587516
Megakaryocyte,Megakaryocyte,BMPR1B,GATA1,Receptor,Transcription Factor,0.39587516
Megakaryocyte,Megakaryocyte,CAMK2A,GATA1,Receptor,Transcription Factor,0.39587516
Megakaryocyte,Megakaryocyte,CAMK2B,GATA1,Receptor,Transcription Factor,0.39587516
Megakaryocyte,Megakaryocyte,CAMK2D,GATA1,Receptor,Transcription Factor,0.39587516
Megakaryocyte,Megakaryocyte,CAMK2G,GATA1,Receptor,Transcription Factor,0.39587516
Megakaryocyte,Megakaryocyte,CAMKK1,GATA1,Receptor,Transcription Factor,0.39587516
Megakaryocyte,Megakaryocyte,CAPN1,GATA1,Receptor,Transcription Factor,0.39587516
Megakaryocyte,Megakaryocyte,CASP2,GATA1,Receptor,Transcription Factor,0.39587516
Megakaryocyte,Megakaryocyte,CASP3,GATA1,Receptor,Transcription Factor,0.39587516
Megakaryocyte,Megakaryocyte,CD40,GATA1,Receptor,Transcription Factor,0.39587516
Megakaryocyte,Megakaryocyte,CDK1,GATA1,Receptor,Transcription Factor,0.39587516
Megakaryocyte,Megakaryocyte,CDK2,GATA1,Receptor,Transcription Factor,0.39587516
Megakaryocyte,Megakaryocyte,CDK4,GATA1,Receptor,Transcription Factor,0.39587516
Megakaryocyte,Megakaryocyte,CDK5,GATA1,Receptor,Transcription Factor,0.39587516
Megakaryocyte,Megakaryocyte,CDK9,GATA1,Receptor,Transcription Factor,0.39587516
Megakaryocyte,Megakaryocyte,CHEK1,GATA1,Receptor,Transcription Factor,0.39587516
Megakaryocyte,Megakaryocyte,CHEK2,GATA1,Receptor,Transcription Factor,0.39587516
Megakaryocyte,Megakaryocyte,CHUK,GATA1,Receptor,Transcription Factor,0.39587516
Megakaryocyte,Megakaryocyte,CSF1R,GATA1,Receptor,Transcription Factor,0.39587516
Megakaryocyte,Megakaryocyte,CSK,GATA1,Receptor,Transcription Factor,0.39587516
Megakaryocyte,Megakaryocyte,CSNK1A1,GATA1,Receptor,Transcription Factor,0.39587516
Megakaryocyte,Megakaryocyte,CSNK2A2,GATA1,Receptor,Transcription Factor,0.39587516
Megakaryocyte,Megakaryocyte,CSNK2B,GATA1,Receptor,Transcription Factor,0.39587516
Megakaryocyte,Megakaryocyte,CTLA4,GATA1,Receptor,Transcription Factor,0.39587516
Megakaryocyte,Megakaryocyte,DAPK1,GATA1,Receptor,Transcription Factor,0.39587516
Megakaryocyte,Megakaryocyte,DAPK2,GATA1,Receptor,Transcription Factor,0.39587516
Megakaryocyte,Megakaryocyte,DAPK3,GATA1,Receptor,Transcription Factor,0.39587516
Megakaryocyte,Megakaryocyte,EGFR,GATA1,Receptor,Transcription Factor,0.39587516
Megakaryocyte,Megakaryocyte,EIF2AK2,GATA1,Receptor,Transcription Factor,0.39587516
Megakaryocyte,Megakaryocyte,EPHA2,GATA1,Receptor,Transcription Factor,0.39587516
Megakaryocyte,Megakaryocyte,EPHB1,GATA1,Receptor,Transcription Factor,0.39587516
