source,target,gene_A,gene_B,type_gene_A,type_gene_B,MeanLR
Megakaryocyte,Megakaryocyte,PRKCA,BATF,Receptor,Transcription Factor,0.304121795600249
Megakaryocyte,Megakaryocyte,ATM,HOXA9,Receptor,Transcription Factor,0.126962287245898
Megakaryocyte,Megakaryocyte,PRMT5,HOXA9,Receptor,Transcription Factor,0.126962287245898
Megakaryocyte,Megakaryocyte,ABL1,MYB,Receptor,Transcription Factor,0.299743775826145
Megakaryocyte,Megakaryocyte,ACVR1,MYB,Receptor,Transcription Factor,0.299743775826145
Megakaryocyte,Megakaryocyte,ATM,MYB,Receptor,Transcription Factor,0.299743775826145
Megakaryocyte,Megakaryocyte,AURKA,MYB,Receptor,Transcription Factor,0.299743775826145
Megakaryocyte,Megakaryocyte,BIRC2,MYB,Receptor,Transcription Factor,0.299743775826145
Megakaryocyte,Megakaryocyte,BIRC3,MYB,Receptor,Transcription Factor,0.299743775826145
Megakaryocyte,Megakaryocyte,BMPR1B,MYB,Receptor,Transcription Factor,0.299743775826145
Megakaryocyte,Megakaryocyte,BTK,MYB,Receptor,Transcription Factor,0.299743775826145
Megakaryocyte,Megakaryocyte,CAMK2A,MYB,Receptor,Transcription Factor,0.299743775826145
Megakaryocyte,Megakaryocyte,CAMK2B,MYB,Receptor,Transcription Factor,0.299743775826145
Megakaryocyte,Megakaryocyte,CAMKK1,MYB,Receptor,Transcription Factor,0.299743775826145
Megakaryocyte,Megakaryocyte,CASP1,MYB,Receptor,Transcription Factor,0.299743775826145
Megakaryocyte,Megakaryocyte,CASP3,MYB,Receptor,Transcription Factor,0.299743775826145
Megakaryocyte,Megakaryocyte,CDK1,MYB,Receptor,Transcription Factor,0.299743775826145
Megakaryocyte,Megakaryocyte,CDK2,MYB,Receptor,Transcription Factor,0.299743775826145
Megakaryocyte,Megakaryocyte,CDK4,MYB,Receptor,Transcription Factor,0.299743775826145
Megakaryocyte,Megakaryocyte,CDK5,MYB,Receptor,Transcription Factor,0.299743775826145
Megakaryocyte,Megakaryocyte,CHUK,MYB,Receptor,Transcription Factor,0.299743775826145
Megakaryocyte,Megakaryocyte,CSF1R,MYB,Receptor,Transcription Factor,0.299743775826145
Megakaryocyte,Megakaryocyte,CSNK1A1,MYB,Receptor,Transcription Factor,0.299743775826145
Megakaryocyte,Megakaryocyte,CSNK1G2,MYB,Receptor,Transcription Factor,0.299743775826145
Megakaryocyte,Megakaryocyte,CSNK2A2,MYB,Receptor,Transcription Factor,0.299743775826145
Megakaryocyte,Megakaryocyte,EGFR,MYB,Receptor,Transcription Factor,0.299743775826145
Megakaryocyte,Megakaryocyte,EIF2AK2,MYB,Receptor,Transcription Factor,0.299743775826145
Megakaryocyte,Megakaryocyte,FGR,MYB,Receptor,Transcription Factor,0.299743775826145
Megakaryocyte,Megakaryocyte,FZD1,MYB,Receptor,Transcription Factor,0.299743775826145
Megakaryocyte,Megakaryocyte,FZD2,MYB,Receptor,Transcription Factor,0.299743775826145
Megakaryocyte,Megakaryocyte,FZD4,MYB,Receptor,Transcription Factor,0.299743775826145
Megakaryocyte,Megakaryocyte,FZD5,MYB,Receptor,Transcription Factor,0.299743775826145
Megakaryocyte,Megakaryocyte,GSK3A,MYB,Receptor,Transcription Factor,0.299743775826145
Megakaryocyte,Megakaryocyte,GSK3B,MYB,Receptor,Transcription Factor,0.299743775826145
Megakaryocyte,Megakaryocyte,HIPK2,MYB,Receptor,Transcription Factor,0.299743775826145
Megakaryocyte,Megakaryocyte,HSP90AA1,MYB,Receptor,Transcription Factor,0.299743775826145
Megakaryocyte,Megakaryocyte,HSP90AB1,MYB,Receptor,Transcription Factor,0.299743775826145
Megakaryocyte,Megakaryocyte,IGF1R,MYB,Receptor,Transcription Factor,0.299743775826145
Megakaryocyte,Megakaryocyte,IKBKB,MYB,Receptor,Transcription Factor,0.299743775826145
Megakaryocyte,Megakaryocyte,IKBKE,MYB,Receptor,Transcription Factor,0.299743775826145
Megakaryocyte,Megakaryocyte,IL1R1,MYB,Receptor,Transcription Factor,0.299743775826145
Megakaryocyte,Megakaryocyte,IL2RB,MYB,Receptor,Transcription Factor,0.299743775826145
Megakaryocyte,Megakaryocyte,ILK,MYB,Receptor,Transcription Factor,0.299743775826145
Megakaryocyte,Megakaryocyte,INPP5D,MYB,Receptor,Transcription Factor,0.299743775826145
Megakaryocyte,Megakaryocyte,INSR,MYB,Receptor,Transcription Factor,0.299743775826145
Megakaryocyte,Megakaryocyte,IRAK1,MYB,Receptor,Transcription Factor,0.299743775826145
Megakaryocyte,Megakaryocyte,IRAK2,MYB,Receptor,Transcription Factor,0.299743775826145
Megakaryocyte,Megakaryocyte,IRAK3,MYB,Receptor,Transcription Factor,0.299743775826145
Megakaryocyte,Megakaryocyte,ITGB1,MYB,Receptor,Transcription Factor,0.299743775826145
Megakaryocyte,Megakaryocyte,JAK1,MYB,Receptor,Transcription Factor,0.299743775826145
Megakaryocyte,Megakaryocyte,JAK2,MYB,Receptor,Transcription Factor,0.299743775826145
Megakaryocyte,Megakaryocyte,JAK3,MYB,Receptor,Transcription Factor,0.299743775826145
Megakaryocyte,Megakaryocyte,LCK,MYB,Receptor,Transcription Factor,0.299743775826145
Megakaryocyte,Megakaryocyte,LMTK2,MYB,Receptor,Transcription Factor,0.299743775826145
Megakaryocyte,Megakaryocyte,LYN,MYB,Receptor,Transcription Factor,0.299743775826145
Megakaryocyte,Megakaryocyte,MAP2K1,MYB,Receptor,Transcription Factor,0.299743775826145
Megakaryocyte,Megakaryocyte,MAP2K5,MYB,Receptor,Transcription Factor,0.299743775826145
Megakaryocyte,Megakaryocyte,MAP2K6,MYB,Receptor,Transcription Factor,0.299743775826145
Megakaryocyte,Megakaryocyte,MAP2K7,MYB,Receptor,Transcription Factor,0.299743775826145
Megakaryocyte,Megakaryocyte,MAP3K1,MYB,Receptor,Transcription Factor,0.299743775826145
Megakaryocyte,Megakaryocyte,MAP3K14,MYB,Receptor,Transcription Factor,0.299743775826145
Megakaryocyte,Megakaryocyte,MAP3K5,MYB,Receptor,Transcription Factor,0.299743775826145
Megakaryocyte,Megakaryocyte,MAP3K7,MYB,Receptor,Transcription Factor,0.299743775826145
Megakaryocyte,Megakaryocyte,MAP3K8,MYB,Receptor,Transcription Factor,0.299743775826145
Megakaryocyte,Megakaryocyte,MAPK1,MYB,Receptor,Transcription Factor,0.299743775826145
Megakaryocyte,Megakaryocyte,MAPK14,MYB,Receptor,Transcription Factor,0.299743775826145
Megakaryocyte,Megakaryocyte,MAPK3,MYB,Receptor,Transcription Factor,0.299743775826145
Megakaryocyte,Megakaryocyte,MAPK8,MYB,Receptor,Transcription Factor,0.299743775826145
Megakaryocyte,Megakaryocyte,MAPKAPK2,MYB,Receptor,Transcription Factor,0.299743775826145
Megakaryocyte,Megakaryocyte,MTOR,MYB,Receptor,Transcription Factor,0.299743775826145
Megakaryocyte,Megakaryocyte,NCL,MYB,Receptor,Transcription Factor,0.299743775826145
Megakaryocyte,Megakaryocyte,NLK,MYB,Receptor,Transcription Factor,0.299743775826145
Megakaryocyte,Megakaryocyte,NLRC4,MYB,Receptor,Transcription Factor,0.299743775826145
Megakaryocyte,Megakaryocyte,NTRK1,MYB,Receptor,Transcription Factor,0.299743775826145
Megakaryocyte,Megakaryocyte,NTRK2,MYB,Receptor,Transcription Factor,0.299743775826145
Megakaryocyte,Megakaryocyte,NTRK3,MYB,Receptor,Transcription Factor,0.299743775826145
Megakaryocyte,Megakaryocyte,PAK1,MYB,Receptor,Transcription Factor,0.299743775826145
Megakaryocyte,Megakaryocyte,PDK1,MYB,Receptor,Transcription Factor,0.299743775826145
Megakaryocyte,Megakaryocyte,PDPK1,MYB,Receptor,Transcription Factor,0.299743775826145
Megakaryocyte,Megakaryocyte,PIK3CA+PIK3R1,MYB,Receptor,Transcription Factor,0.299743775826145
Megakaryocyte,Megakaryocyte,PIK3CA,MYB,Receptor,Transcription Factor,0.299743775826145
