Neural_n,Neural_l,Neural_p,MSC_n,MSC_l,MSC_p,Fibroblast_n,Fibroblast_l,Fibroblast_p,Megakaryocyte_n,Megakaryocyte_l,Megakaryocyte_p,Myeloid_n,Myeloid_l,Myeloid_p
ZNF274,,3.675780591158436e-24,NFIC,,9.588376084576914e-20,E2F4,2.6531143,0.0028783984277749573,REL,4.407355,1.6939932554978464e-07,RARG,5.963479,2.269372219406526e-07
FOXK1,4.2441497,8.24015347327135e-24,SMAD3,,4.228992202791597e-19,MYC,2.388289,0.2843355531577648,PAX5,,4.358431761330582e-07,GLI1,,3.780699376466262e-07
IRF9,3.4130712,7.569444194211929e-20,SMAD4,,5.458101529583883e-18,SP2,2.292605,0.8173371018033279,DNMT1,2.4110494,1.29845749988893e-06,CEBPE,,1.3936149512320364e-06
NFE2,,5.379379089275557e-19,JUN,,8.184778810897891e-18,SMAD5,2.6675596,1.0,ZBED1,3.441734,1.2118009578787004e-05,RARB,4.63429,2.311125948247975e-06
GATA1,,7.064938340975874e-18,PROX1,,1.0339866575501061e-17,SIX5,1.1534231,1.0,NFATC1,2.7656944,2.032161336927173e-05,DNMT1,1.8434774,0.006419618431969018
FOXO3,3.731027,7.303045039368634e-17,PBX3,,5.21846817351628e-17,ELF5,1.4392455,1.0,SMAD5,4.8198066,0.00011899642170212233,SPI1,2.663852,0.128326383096198
FOXK2,,7.550989414542178e-17,E2F7,5.2506595,8.952712178411081e-17,NR2C2,2.3704123,1.0,PAX6,2.132529,0.00014390708880854228,GFI1,,0.1587444262909076
KLF1,3.3584127,1.351512566869744e-16,NR3C1,,1.99874332435808e-16,ZNF207,1.246653,1.0,NFIA,4.11849,0.00019231442108396667,ELF5,2.015794,0.4446649240050143
ZEB2,,1.568718737656696e-16,ESR1,,3.0082916573726704e-16,IRF3,,1.0,ETS1,2.5961125,0.0003216815967026912,NFAT5,1.279188,0.7906725384571375
STAT2,3.5488644,8.893934894360814e-16,FOSL2,,3.0082916573726704e-16,ZBTB2,-1.220505,1.0,VDR,1.7675033,0.0007627556247385049,SOX4,-0.06526765,0.8328382225616713
IRF2,3.005853,1.5149240924317334e-15,TCF4,,4.705582751233785e-16,DNMT1,0.71936303,1.0,SIX5,1.7572033,0.002853873193797928,PAX2,-0.19061357,0.9719936800737748
STAT4,5.0059834,2.1220938374991195e-15,TEAD1,,1.013166010094259e-15,FOXF2,0.45677182,1.0,CREM,,0.003837580579950279,MYC,1.6580101,1.0
NFE2L1,,1.3939335324701322e-14,SRF,5.895836,1.2136557385166406e-15,ZBTB16,0.56357855,1.0,PITX1,,0.006129317580381692,FOXP3,0.5948118,1.0
IRF1,2.7779653,3.430052798915739e-14,AHR,,1.3685864824980961e-15,E2F2,-1.2336847,1.0,SRF,2.8905556,0.006524631625275593,MYB,4.9880085,1.0
GFI1B,3.9265828,2.1655967881773595e-13,PGR,,1.4532176127256775e-15,PITX1,-0.37735286,1.0,ZFX,1.7681183,0.009931436681626864,KLF2,1.2803547,1.0
HMBOX1,,4.4383374433372246e-13,ETS2,,1.4532176127256775e-15,ZFX,0.6262199,1.0,KLF5,2.397942,0.010817266908918521,NR2C2,2.3467877,1.0
ATF1,3.4170873,1.0610894779303648e-12,STAT3,6.0165668,1.704991013823902e-15,E2F3,-1.3378834,1.0,ZNF207,2.141635,0.011777860113428677,IRF8,0.64582103,1.0
NFE2L2,2.6140609,6.662215034867481e-12,TWIST1,,7.359718384242607e-15,HES1,-0.28889257,1.0,TEAD2,1.5598748,0.01947481638238599,CEBPB,3.768326,1.0
NR5A1,4.9437923,1.5798902834600942e-11,MEF2A,,1.0257834145631742e-14,POU2F1,-0.66359264,1.0,BCL6,,0.036476998426234135,HNF1A,-0.28121585,1.0
EGR2,1.6570281,1.743089446561818e-11,ATF2,4.8912725,3.888088820232973e-14,SNAPC4,-0.5192234,1.0,ESR2,1.7498636,0.04229083248171379,HMGA1,,1.0
SOX6,,1.8960840642340147e-11,CDX2,,5.695036584801398e-14,ZBTB33,0.3307067,1.0,HIC1,0.034192167,0.05726981910151582,KLF10,0.81241477,1.0
IKZF1,,2.0379696184242036e-10,OTX2,,9.32522972060938e-14,NFIA,0.46602818,1.0,BCL11A,1.983444,0.11876946136333183,SMAD5,1.1405213,1.0
ATF7,,2.965464733460656e-10,DUX4,,1.3595053690603762e-13,GLI2,-2.1830363,1.0,SPI1,2.8413603,0.12658443552527673,CDX1,0.42109093,1.0
CREB3,2.4738119,4.2472537901407923e-10,RXRA,,1.9413118926034753e-13,PAX6,0.30980808,1.0,ZKSCAN1,1.8728083,0.26114017642359044,GLI3,2.4980357,1.0
ZNF197,,6.230448407798432e-10,PRDM14,-2.651214,4.564100005268931e-13,ZBED1,0.3215723,1.0,HIVEP2,3.393988,0.2637878058609647,CBX2,-0.17933583,1.0
MTF1,3.5180016,1.455938136702164e-09,HNF1B,,5.289853770572821e-13,ETS2,1.0517343,1.0,NFYB,1.3388548,0.28588396461971705,NR1H4,0.6615094,1.0
E2F5,2.0944052,1.8851720991742465e-09,ETV4,4.7517924,6.129011722902242e-13,TFDP1,0.291074,1.0,MAF,,0.3774684756062805,ZBTB16,0.60408556,1.0
MITF,,1.9096175965481976e-09,STAT1,,7.924216177708674e-13,NFIC,0.2303547,1.0,KLF13,1.6380451,0.5720659605568891,BMAL1,-0.18341285,1.0
