Neural_n,Neural_l,Neural_p,MSC_n,MSC_l,MSC_p,Fibroblast_n,Fibroblast_l,Fibroblast_p,Megakaryocyte_n,Megakaryocyte_l,Megakaryocyte_p,Myeloid_n,Myeloid_l,Myeloid_p
HMGA1,9.731596,3.917129771551765e-34,STAT1,,5.1065359555155765e-18,PITX1,,7.411893653251954e-10,MYC,5.012281,1.3627293810378837e-13,SPI1,5.869692,0.1160757994025675
FOXP3,-0.1238189,4.511710196478627e-32,NFKB1,,3.498032783228684e-17,ZNF382,,4.159685208784211e-09,SMAD5,5.551679,5.8360762390088595e-09,RARG,4.660128,0.16238023637146173
KLF2,-1.8213156,3.8764106137415107e-31,STAT2,,8.010550518274656e-17,GLI2,,1.303779561817328e-06,NFAT5,,2.7172376596948535e-08,RARB,4.22454,0.44922782867513233
SOX4,-0.7938182,1.7059680601283252e-28,STAT3,7.678421,1.6510084447881654e-16,ZBTB16,1.7887774,1.4334719495580369e-06,ZBED1,3.9907477,4.389260904381244e-08,MYB,4.7157717,0.5987576724987498
CDX1,-0.7012562,2.8836025225499404e-27,HIVEP2,7.8240223,3.7961292456394336e-16,PAX6,2.4554806,4.441103070820275e-06,ETS1,2.5573983,1.5294953547599862e-07,CEBPA,,0.9260142338079165
PAX2,,8.892324269122983e-27,NR1H3,,3.0730972805069562e-15,SIX5,1.918081,5.037546880218739e-06,STAT4,,3.5599897476446132e-06,CEBPE,5.266844,1.0
SPDEF,-1.983684,6.264030326011086e-26,FOXP2,,7.52219507769107e-15,PBX3,2.2868109,1.568765375657854e-05,HIVEP2,5.2760644,5.761217450774225e-05,BCL6,,1.0
TAL1,-1.8824184,5.515286460723919e-23,JUN,5.0491166,1.46187584521331e-14,LHX2,,2.111750063865391e-05,TEAD2,2.2000086,9.593767848260488e-05,LYL1,,1.0
SOX2,-2.2710164,1.644377724361733e-22,RELA,,2.8242085103661332e-14,YBX1,,6.267022709646603e-05,ZBTB33,1.722445,0.0007192745714380283,PCGF2,-2.9800632,1.0
GATA3,-1.2489496,2.4478815301832156e-22,NR2F2,,3.512791420376744e-14,SMAD5,3.0603497,0.00010370525280970807,PITX1,,0.0007745525448466655,ZBTB2,,1.0
HSF1,,2.9317249146865833e-22,USF1,3.4910762,5.522549251825175e-14,SP3,3.2833905,0.003580114157229193,STAT5A,1.817909,0.0017657079950544226,BHLHE22,,1.0
GLI3,,3.039304526013602e-22,USF2,3.5618572,6.855068265030694e-14,ZNF165,2.0259337,0.00662998188734275,PAX5,4.344155,0.002830071417369998,RARA,3.0668595,1.0
MITF,,4.0531756839999126e-22,ZHX1,3.98256,1.0354586861777121e-13,VDR,1.3449711,0.008039724867509713,ZNF207,1.8057563,0.002930861661375159,ELF5,2.2205918,1.0
FOXA1,-1.3306592,9.916231690999966e-22,IRF1,6.487551,1.0541363149066425e-13,PRDM1,,0.008471150132805886,ZNF382,,0.0030350777496438333,TBX21,,1.0
IRF8,-3.221641,4.0858763690277895e-21,NR1H2,2.7007682,2.109314956345221e-13,ZNF589,3.7395577,0.01556750385566863,ELF5,2.0278652,0.019499409537343172,NRF1,2.0724633,1.0
PIN1,-1.2710801,6.117172277666311e-20,HIF1A,3.4167721,4.821266839688796e-13,E2F7,1.4828993,0.018571554855539206,RFX5,2.5484734,0.021682195975522553,STAT5B,,1.0
