receptor,tf
ABL1,AIRE
ABL1,ARNTL
ABL1,ATF2
ABL1,CEBPB
ABL1,CREB1
ABL1,CUX1
ABL1,DLX5
ABL1,E2F1
ABL1,E2F2
ABL1,E2F3
ABL1,E2F5
ABL1,E4F1
ABL1,EGR1
ABL1,ELF1
ABL1,ELK1
ABL1,ETV1
ABL1,FOXA1
ABL1,FOXA2
ABL1,FOXG1
ABL1,FOXO1
ABL1,FOXO3
ABL1,FOXO4
ABL1,FOXO6
ABL1,FOXP3
ABL1,GATA1
ABL1,GATA2
ABL1,GATA6
ABL1,GLI1
ABL1,GLI2
ABL1,GLI3
ABL1,GLIS2
ABL1,HAND1
ABL1,HES5
ABL1,HIF1A
ABL1,HIF3A
ABL1,HMGA1
ABL1,HOXA11
ABL1,HOXB6
ABL1,HOXC4
ABL1,HSF1
ABL1,IKZF1
ABL1,IKZF3
ABL1,IRF3
ABL1,IRF5
ABL1,IRF7
ABL1,JUN
ABL1,JUNB
ABL1,KLF1
ABL1,KLF13
ABL1,KMT2A
ABL1,LEF1
ABL1,MAX
ABL1,MAZ
ABL1,MEF2C
ABL1,MEF2D
ABL1,MITF
ABL1,MXD1
ABL1,MYB
ABL1,MYBL2
ABL1,MYC
ABL1,MYOD1
ABL1,MYT1
ABL1,NFAT5
ABL1,NFATC1
ABL1,NFATC2
ABL1,NFATC3
ABL1,NFKB1
ABL1,NFKB2
ABL1,NKX2-1
ABL1,NR1D1
ABL1,NR4A1
ABL1,NR4A2
ABL1,NRF1
ABL1,PA2G4
ABL1,PAX2
ABL1,PAX3
ABL1,PAX8
ABL1,PDX1
ABL1,PITX2
ABL1,POU2F1
ABL1,POU2F2
ABL1,POU3F1
ABL1,POU5F1
ABL1,PURB
ABL1,RBPJ
ABL1,RELA
ABL1,RFX1
ABL1,RUNX2
ABL1,SKI
ABL1,SMAD1
ABL1,SMAD3
ABL1,SMAD4
ABL1,SNAI1
ABL1,SOX2
ABL1,SP1
ABL1,SP3
ABL1,SPI1
ABL1,SRF
ABL1,STAT1
ABL1,STAT5A
ABL1,STAT5B
ABL1,TAL1
ABL1,TBP
ABL1,TBX21
ABL1,TCF3
ABL1,TEAD1
ABL1,TEAD2
ABL1,TEAD3
ABL1,TEAD4
ABL1,TERF1
ABL1,TFCP2
ABL1,TFDP1
ABL1,TP53
ABL1,TP63
ABL1,TP73
ABL1,TSHZ3
ABL1,TWIST1
ABL1,USF1
ABL1,XBP1
ABL1,YBX1
ABL1,YY1
ABL1,ZBTB33
ABL1,ZNF322
ACAT1,SMAD1
ACVR1,ATF2
ACVR1,CEBPA
ACVR1,CEBPB
ACVR1,CEBPD
ACVR1,CREB1
ACVR1,DLX5
ACVR1,FOXA2
ACVR1,FOXG1
ACVR1,FOXO1
ACVR1,FOXO3
ACVR1,FOXO4
ACVR1,FOXO6
ACVR1,GABPA
ACVR1,GATA1
ACVR1,GATA2
ACVR1,HAND1
ACVR1,HES5
ACVR1,HIF3A
ACVR1,IRF5
ACVR1,IRF7
ACVR1,JUN
ACVR1,MITF
ACVR1,MXD1
ACVR1,MYB
ACVR1,MYOD1
ACVR1,MYT1
ACVR1,NFATC2
ACVR1,NFKB1
ACVR1,NKX2-1
ACVR1,NR4A1
ACVR1,NRF1
ACVR1,PAX3
ACVR1,PAX8
ACVR1,PITX2
ACVR1,POU5F1
ACVR1,RELA
ACVR1,RUNX2
ACVR1,SKI
ACVR1,SMAD1
ACVR1,SMAD3
ACVR1,SMAD4
ACVR1,SMAD5
ACVR1,SMAD9
ACVR1,SOX2
ACVR1,SP1
ACVR1,STAT1
ACVR1,TAL1
ACVR1,TEAD1
ACVR1,TEAD2
ACVR1,TEAD3
ACVR1,TEAD4
ACVR1,TERF1
ACVR1,TP73
ACVR1,TWIST1
ACVR1,YBX1
ACVR1,ZNF322
ACVR1B,SMAD3
ACVR1B,SMAD4
ACVR1C,SMAD3
ACVR2B,SMAD3
ACVRL1,SMAD1
ADORA1,TP53
ADORA2A,TP53
ADRA2A,TP53
ADRB2,E2F1
ADRB2,FOXO1
ADRB2,FOXO3
ADRB2,HIF1A
ADRB2,MEF2D
ADRB2,NFATC1
ADRB2,SNAI1
ADRB2,TBP
ADRB2,TP53
AGTR1,E2F1
AGTR1,FOXO1
AGTR1,FOXO3
AGTR1,HIF1A
AGTR1,MEF2D
AGTR1,NFATC1
AGTR1,SNAI1
AGTR1,TBP
AGTR1,TP53
AKT2,AIRE
AKT2,ATF1
AKT2,ATF2
AKT2,ATF4
AKT2,ATF5
AKT2,ATF6
AKT2,CREB1
AKT2,DDIT3
AKT2,DLX5
AKT2,E2F1
AKT2,E2F2
AKT2,E2F3
AKT2,E2F5
AKT2,EGR1
AKT2,EPAS1
AKT2,ERF
AKT2,FOXA2
AKT2,FOXG1
AKT2,FOXM1
AKT2,FOXO1
AKT2,FOXO3
AKT2,FOXO4
AKT2,FOXO6
AKT2,FOXP3
AKT2,GATA1
AKT2,GATA2
AKT2,GATA6
AKT2,HAND1
AKT2,HES5
AKT2,HIF1A
AKT2,JUN
AKT2,LEF1
AKT2,MEF2C
AKT2,MEF2D
AKT2,MITF
AKT2,MXD1
AKT2,MYBL2
AKT2,MYC
AKT2,MYOD1
AKT2,MYT1
AKT2,NEUROD1
AKT2,NFATC2
AKT2,NFATC3
AKT2,NFATC4
AKT2,NFKB1
AKT2,NFKB2
AKT2,NR4A1
AKT2,NRF1
AKT2,OSR1
AKT2,PITX2
AKT2,POU2F1
AKT2,POU5F1
AKT2,RBPJ
AKT2,RELA
AKT2,RUNX1
AKT2,RUNX2
AKT2,SKI
AKT2,SMAD1
AKT2,SMAD3
AKT2,SMAD4
AKT2,SOX2
AKT2,SP1
AKT2,SP3
AKT2,SPI1
AKT2,SPIB
AKT2,SREBF1
AKT2,SRF
AKT2,STAT1
AKT2,TAL1
AKT2,TBP
AKT2,TCF3
AKT2,TEAD1
AKT2,TEAD2
AKT2,TEAD3
AKT2,TEAD4
AKT2,TERF1
AKT2,TFCP2
AKT2,TFDP1
AKT2,TFEB
AKT2,TP53
AKT2,TP73
AKT2,TSC22D1
AKT2,TWIST1
AKT2,YBX1
AKT2,YY1
AKT2,ZNF322
AKT3,AIRE
AKT3,ATF1
AKT3,ATF2
AKT3,CREB1
AKT3,DLX5
AKT3,E2F1
AKT3,E2F2
AKT3,E2F3
AKT3,E2F5
AKT3,EGR1
AKT3,ERF
AKT3,FOXA2
AKT3,FOXG1
AKT3,FOXM1
AKT3,FOXO1
AKT3,FOXO3
AKT3,FOXO4
AKT3,FOXO6
AKT3,GATA1
AKT3,GATA2
AKT3,HAND1
AKT3,HES5
AKT3,HIF1A
AKT3,IRF3
AKT3,JUN
AKT3,MEF2C
AKT3,MITF
AKT3,MXD1
AKT3,MYBL2
AKT3,MYC
AKT3,MYOD1
AKT3,MYT1
AKT3,NFATC2
AKT3,NFATC4
AKT3,NFKB1
AKT3,NFKB2
AKT3,NR4A1
AKT3,NRF1
AKT3,PITX2
AKT3,POU5F1
AKT3,RELA
AKT3,RUNX1
AKT3,RUNX2
AKT3,SKI
AKT3,SMAD3
AKT3,SMAD4
AKT3,SOX2
AKT3,SP1
AKT3,SP3
AKT3,SPI1
AKT3,SREBF1
AKT3,STAT1
AKT3,TAL1
AKT3,TBP
AKT3,TBX3
AKT3,TERF1
AKT3,TFCP2
AKT3,TFDP1
AKT3,TP53
AKT3,TP73
AKT3,TWIST1
AKT3,YBX1
AKT3,YY1
AKT3,ZNF322
ALK,CREB1
ALK,DLX5
ALK,ELF1
ALK,ELK1
ALK,FOXA2
ALK,FOXG1
ALK,FOXO1
ALK,FOXO3
ALK,FOXO4
ALK,FOXO6
ALK,GATA1
ALK,GATA2
ALK,HAND1
ALK,HES5
ALK,HMGA1
ALK,IKZF3
ALK,IRF3
ALK,JUN
ALK,MITF
ALK,MXD1
ALK,MYC
ALK,MYT1
ALK,NFATC2
ALK,NR4A1
ALK,NRF1
ALK,PITX2
ALK,POU5F1
ALK,RELA
ALK,RUNX2
ALK,SKI
ALK,SMAD1
ALK,SMAD3
ALK,SOX2
ALK,SP1
ALK,STAT1
ALK,STAT5A
ALK,STAT5B
ALK,TAL1
ALK,TERF1
ALK,TFCP2
ALK,TP53
ALK,TWIST1
ALK,YBX1
ALK,ZNF322
APP,CREB1
APP,ELF1
APP,FOXO3
APP,HMGA1
APP,IRF3
APP,MYC
APP,POU2F1
APP,RELA
APP,SMAD1
