"","receptor","tf"
"1","ABL1","AIRE"
"5","ABL1","ARNTL"
"6","ABL1","ATF2"
"8","ABL1","CEBPB"
"12","ABL1","CREB1"
"20","ABL1","CUX1"
"21","ABL1","DLX5"
"23","ABL1","E2F1"
"46","ABL1","E2F2"
"47","ABL1","E2F3"
"50","ABL1","E2F5"
"51","ABL1","E4F1"
"52","ABL1","EGR1"
"53","ABL1","ELF1"
"57","ABL1","ELK1"
"64","ABL1","ETV1"
"68","ABL1","FOXA1"
"69","ABL1","FOXA2"
"71","ABL1","FOXG1"
"73","ABL1","FOXO1"
"76","ABL1","FOXO3"
"90","ABL1","FOXO4"
"92","ABL1","FOXO6"
"94","ABL1","FOXP3"
"95","ABL1","GATA1"
"97","ABL1","GATA2"
"99","ABL1","GATA6"
"100","ABL1","GLI1"
"102","ABL1","GLI2"
"103","ABL1","GLI3"
"104","ABL1","GLIS2"
"105","ABL1","HAND1"
"107","ABL1","HES5"
"109","ABL1","HIF1A"
"110","ABL1","HIF3A"
"111","ABL1","HMGA1"
"116","ABL1","HOXA11"
"120","ABL1","HOXB6"
"121","ABL1","HOXC4"
"125","ABL1","HSF1"
"129","ABL1","IKZF1"
"130","ABL1","IKZF3"
"136","ABL1","IRF3"
"146","ABL1","IRF5"
"148","ABL1","IRF7"
"150","ABL1","JUN"
"166","ABL1","JUNB"
"167","ABL1","KLF1"
"171","ABL1","KLF13"
"172","ABL1","KMT2A"
"173","ABL1","LEF1"
"174","ABL1","MAX"
"176","ABL1","MAZ"
"180","ABL1","MEF2C"
"184","ABL1","MEF2D"
"187","ABL1","MITF"
"189","ABL1","MXD1"
"191","ABL1","MYB"
"193","ABL1","MYBL2"
"197","ABL1","MYC"
"207","ABL1","MYOD1"
"213","ABL1","MYT1"
"215","ABL1","NFAT5"
"216","ABL1","NFATC1"
"217","ABL1","NFATC2"
"223","ABL1","NFATC3"
"224","ABL1","NFKB1"
"231","ABL1","NFKB2"
"237","ABL1","NKX2-1"
"238","ABL1","NR1D1"
"239","ABL1","NR4A1"
"241","ABL1","NR4A2"
"245","ABL1","NRF1"
"247","ABL1","PA2G4"
"248","ABL1","PAX2"
"250","ABL1","PAX3"
"251","ABL1","PAX8"
"252","ABL1","PDX1"
"256","ABL1","PITX2"
"258","ABL1","POU2F1"
"263","ABL1","POU2F2"
"264","ABL1","POU3F1"
"265","ABL1","POU5F1"
"272","ABL1","PURB"
"273","ABL1","RBPJ"
"275","ABL1","RELA"
"284","ABL1","RFX1"
"285","ABL1","RUNX2"
"290","ABL1","SKI"
"292","ABL1","SMAD1"
"298","ABL1","SMAD3"
"320","ABL1","SMAD4"
"324","ABL1","SNAI1"
"327","ABL1","SOX2"
"329","ABL1","SP1"
"344","ABL1","SP3"
"345","ABL1","SPI1"
"346","ABL1","SRF"
"350","ABL1","STAT1"
"354","ABL1","STAT5A"
"355","ABL1","STAT5B"
"356","ABL1","TAL1"
"358","ABL1","TBP"
"361","ABL1","TBX21"
"362","ABL1","TCF3"
"363","ABL1","TEAD1"
"365","ABL1","TEAD2"
"367","ABL1","TEAD3"
"369","ABL1","TEAD4"
"371","ABL1","TERF1"
"377","ABL1","TFCP2"
"382","ABL1","TFDP1"
"383","ABL1","TP53"
"419","ABL1","TP63"
"423","ABL1","TP73"
"427","ABL1","TSHZ3"
"428","ABL1","TWIST1"
"430","ABL1","USF1"
"434","ABL1","XBP1"
"436","ABL1","YBX1"
"438","ABL1","YY1"
"440","ABL1","ZBTB33"
"441","ABL1","ZNF322"
"443","ACAT1","SMAD1"
"444","ACVR1","ATF2"
"445","ACVR1","CEBPA"
"446","ACVR1","CEBPB"
"447","ACVR1","CEBPD"
"448","ACVR1","CREB1"
"449","ACVR1","DLX5"
"450","ACVR1","FOXA2"
"451","ACVR1","FOXG1"
"452","ACVR1","FOXO1"
"453","ACVR1","FOXO3"
"454","ACVR1","FOXO4"
"455","ACVR1","FOXO6"
"456","ACVR1","GABPA"
"457","ACVR1","GATA1"
"458","ACVR1","GATA2"
"459","ACVR1","HAND1"
"460","ACVR1","HES5"
"461","ACVR1","HIF3A"
"462","ACVR1","IRF5"
"463","ACVR1","IRF7"
"464","ACVR1","JUN"
"467","ACVR1","MITF"
"468","ACVR1","MXD1"
"469","ACVR1","MYB"
"470","ACVR1","MYOD1"
"472","ACVR1","MYT1"
"473","ACVR1","NFATC2"
"474","ACVR1","NFKB1"
"476","ACVR1","NKX2-1"
"477","ACVR1","NR4A1"
"478","ACVR1","NRF1"
"479","ACVR1","PAX3"
"480","ACVR1","PAX8"
"481","ACVR1","PITX2"
"482","ACVR1","POU5F1"
"483","ACVR1","RELA"
"485","ACVR1","RUNX2"
"488","ACVR1","SKI"
"489","ACVR1","SMAD1"
"491","ACVR1","SMAD3"
"495","ACVR1","SMAD4"
"498","ACVR1","SMAD5"
"499","ACVR1","SMAD9"
"500","ACVR1","SOX2"
"501","ACVR1","SP1"
"502","ACVR1","STAT1"
"503","ACVR1","TAL1"
"504","ACVR1","TEAD1"
"506","ACVR1","TEAD2"
"508","ACVR1","TEAD3"
"510","ACVR1","TEAD4"
"512","ACVR1","TERF1"
"513","ACVR1","TP73"
"514","ACVR1","TWIST1"
"515","ACVR1","YBX1"
"516","ACVR1","ZNF322"
"517","ACVR1B","SMAD3"
"518","ACVR1B","SMAD4"
"519","ACVR1C","SMAD3"
"520","ACVR2B","SMAD3"
"521","ACVRL1","SMAD1"
"522","ADORA1","TP53"
"523","ADORA2A","TP53"
"524","ADRA2A","TP53"
"525","ADRB2","E2F1"
"526","ADRB2","FOXO1"
"527","ADRB2","FOXO3"
"528","ADRB2","HIF1A"
"529","ADRB2","MEF2D"
"530","ADRB2","NFATC1"
"531","ADRB2","SNAI1"
"532","ADRB2","TBP"
"533","ADRB2","TP53"
"537","AGTR1","E2F1"
"538","AGTR1","FOXO1"
"539","AGTR1","FOXO3"
"540","AGTR1","HIF1A"
"541","AGTR1","MEF2D"
"542","AGTR1","NFATC1"
"543","AGTR1","SNAI1"
"544","AGTR1","TBP"
"545","AGTR1","TP53"
"547","AKT2","AIRE"
"548","AKT2","ATF1"
"549","AKT2","ATF2"
"550","AKT2","ATF4"
"553","AKT2","ATF5"
"554","AKT2","ATF6"
"555","AKT2","CREB1"
"563","AKT2","DDIT3"
"564","AKT2","DLX5"
"570","AKT2","E2F1"
"578","AKT2","E2F2"
"580","AKT2","E2F3"
"584","AKT2","E2F5"
"586","AKT2","EGR1"
"587","AKT2","EPAS1"
"588","AKT2","ERF"
"589","AKT2","FOXA2"
"595","AKT2","FOXG1"
"601","AKT2","FOXM1"
"603","AKT2","FOXO1"
"611","AKT2","FOXO3"
"619","AKT2","FOXO4"
"626","AKT2","FOXO6"
"632","AKT2","FOXP3"
"633","AKT2","GATA1"
"639","AKT2","GATA2"
"645","AKT2","GATA6"
"646","AKT2","HAND1"
"652","AKT2","HES5"
"658","AKT2","HIF1A"
"662","AKT2","JUN"
"665","AKT2","LEF1"
"666","AKT2","MEF2C"
"668","AKT2","MEF2D"
"669","AKT2","MITF"
"675","AKT2","MXD1"
"682","AKT2","MYBL2"
"686","AKT2","MYC"
"688","AKT2","MYOD1"
"694","AKT2","MYT1"
"700","AKT2","NEUROD1"
"701","AKT2","NFATC2"
"707","AKT2","NFATC3"
"708","AKT2","NFATC4"
"709","AKT2","NFKB1"
"713","AKT2","NFKB2"
"714","AKT2","NR4A1"
"720","AKT2","NRF1"
"726","AKT2","OSR1"
"727","AKT2","PITX2"
"734","AKT2","POU2F1"
"735","AKT2","POU5F1"
"744","AKT2","RBPJ"
"745","AKT2","RELA"
"749","AKT2","RUNX1"
"750","AKT2","RUNX2"
"757","AKT2","SKI"
"763","AKT2","SMAD1"
"764","AKT2","SMAD3"
"772","AKT2","SMAD4"
"774","AKT2","SOX2"
"780","AKT2","SP1"
"792","AKT2","SP3"
"793","AKT2","SPI1"
"794","AKT2","SPIB"
"795","AKT2","SREBF1"
"796","AKT2","SRF"
