receptor,tf
Abl1,Aire
Abl1,Arntl
Abl1,Atf2
Abl1,Cebpb
Abl1,Creb1
Abl1,Cux1
Abl1,Dlx5
Abl1,E2f1
Abl1,E2f2
Abl1,E2f3
Abl1,E4f1
Abl1,Elf1
Abl1,Elk1
Abl1,Etv1
Abl1,Fos
Abl1,Foxa1
Abl1,Foxa2
Abl1,Foxg1
Abl1,Foxo1
Abl1,Foxo3
Abl1,Foxo4
Abl1,Foxo6
Abl1,Foxp3
Abl1,Gata1
Abl1,Gata2
Abl1,Gata6
Abl1,Gli1
Abl1,Gli2
Abl1,Gli3
Abl1,Glis2
Abl1,Hand1
Abl1,Hes5
Abl1,Hif1a
Abl1,Hif3a
Abl1,Hmga1
Abl1,Hoxa11
Abl1,Hoxb6
Abl1,Hoxc4
Abl1,Hsf1
Abl1,Ikzf1
Abl1,Ikzf3
Abl1,Irf3
Abl1,Irf5
Abl1,Irf7
Abl1,Jun
Abl1,Junb
Abl1,Klf1
Abl1,Klf13
Abl1,Lef1
Abl1,Max
Abl1,Maz
Abl1,Mef2c
Abl1,Mef2d
Abl1,Mitf
Abl1,Mxd1
Abl1,Myb
Abl1,Mybl2
Abl1,Myc
Abl1,Myod1
Abl1,Myt1
Abl1,Nfat5
Abl1,Nfatc1
Abl1,Nfatc2
Abl1,Nfatc3
Abl1,Nfkb1
Abl1,Nfkb2
Abl1,Nkx2-1
Abl1,Nr1d1
Abl1,Nr4a1
Abl1,Nr4a2
Abl1,Nrf1
Abl1,Pa2g4
Abl1,Pax2
Abl1,Pax3
Abl1,Pax8
Abl1,Pdx1
Abl1,Pou2f1
Abl1,Pou2f2
Abl1,Pou3f1
Abl1,Pou5f1
Abl1,Purb
Abl1,Rbpj
Abl1,Rela
Abl1,Rfx1
Abl1,Runx2
Abl1,Ski
Abl1,Smad1
Abl1,Smad3
Abl1,Smad4
Abl1,Snai1
Abl1,Sox2
Abl1,Sp1
Abl1,Sp3
Abl1,Spi1
Abl1,Srf
Abl1,Stat1
Abl1,Stat5a
Abl1,Stat5b
Abl1,Tal1
Abl1,Tbp
Abl1,Tbx21
Abl1,Tcf3
Abl1,Tead1
Abl1,Tead2
Abl1,Tead3
Abl1,Tead4
Abl1,Terf1
Abl1,Tfcp2
Abl1,Tfdp1
Abl1,Tshz3
Abl1,Twist1
Abl1,Usf1
Abl1,Xbp1
Abl1,Yy1
Abl1,Zbtb33
Acat1,Smad1
Acvr1,Creb1
Acvr1,Dlx5
Acvr1,Foxa2
Acvr1,Foxg1
Acvr1,Foxo1
Acvr1,Foxo3
Acvr1,Foxo4
Acvr1,Foxo6
Acvr1,Gabpa
Acvr1,Gata1
Acvr1,Gata2
Acvr1,Hand1
Acvr1,Hes5
Acvr1,Hif3a
Acvr1,Irf5
Acvr1,Irf7
Acvr1,Jun
Acvr1,Mitf
Acvr1,Mxd1
Acvr1,Myb
Acvr1,Myt1
Acvr1,Nfatc2
Acvr1,Nfkb1
Acvr1,Nr4a1
Acvr1,Nrf1
Acvr1,Pou5f1
Acvr1,Rela
Acvr1,Runx2
Acvr1,Ski
Acvr1,Smad1
Acvr1,Smad3
Acvr1,Smad4
Acvr1,Smad5
Acvr1,Sox2
Acvr1,Sp1
Acvr1,Stat1
Acvr1,Tal1
Acvr1,Terf1
Acvr1,Twist1
Acvr1b,Smad3
Acvr1b,Smad4
Acvr1c,Smad3
Acvr2b,Smad3
Acvrl1,Smad1
Adrb2,E2f1
Adrb2,Foxo1
Adrb2,Foxo3
Adrb2,Hif1a
Adrb2,Mef2d
Adrb2,Nfatc1
Adrb2,Snai1
Adrb2,Tbp
Agtr1a,E2f1
Agtr1a,Foxo1
Agtr1a,Foxo3
Agtr1a,Hif1a
Agtr1a,Mef2d
Agtr1a,Nfatc1
Agtr1a,Snai1
Agtr1a,Tbp
Akt2,Aire
Akt2,Atf2
Akt2,Atf4
Akt2,Atf5
Akt2,Atf6
Akt2,Creb1
Akt2,Ddit3
Akt2,Dlx5
Akt2,E2f1
Akt2,E2f2
Akt2,E2f3
Akt2,Epas1
Akt2,Foxa2
Akt2,Foxg1
Akt2,Foxm1
Akt2,Foxo1
Akt2,Foxo3
Akt2,Foxo4
Akt2,Foxo6
Akt2,Foxp3
Akt2,Gata1
Akt2,Gata2
Akt2,Gata6
Akt2,Hand1
Akt2,Hes5
Akt2,Hif1a
Akt2,Jun
Akt2,Lef1
Akt2,Mef2c
Akt2,Mef2d
Akt2,Mitf
Akt2,Mxd1
Akt2,Mybl2
Akt2,Myc
Akt2,Myod1
Akt2,Myt1
Akt2,Neurod1
Akt2,Nfatc2
Akt2,Nfatc3
Akt2,Nfkb1
Akt2,Nfkb2
Akt2,Nr4a1
Akt2,Nrf1
Akt2,Osr1
Akt2,Pou2f1
Akt2,Pou5f1
Akt2,Rbpj
Akt2,Rela
Akt2,Runx2
Akt2,Ski
Akt2,Smad1
Akt2,Smad3
Akt2,Smad4
Akt2,Sox2
Akt2,Sp1
Akt2,Sp3
Akt2,Spi1
Akt2,Spib
Akt2,Srf
Akt2,Stat1
Akt2,Tal1
Akt2,Tbp
Akt2,Tcf3
Akt2,Tead1
Akt2,Tead2
Akt2,Tead3
Akt2,Tead4
Akt2,Terf1
Akt2,Tfdp1
Akt2,Tsc22d1
Akt2,Twist1
Akt2,Yy1
Akt3,Aire
Akt3,Atf2
Akt3,Creb1
Akt3,Dlx5
Akt3,E2f1
Akt3,E2f2
Akt3,E2f3
Akt3,Foxa2
Akt3,Foxg1
Akt3,Foxm1
Akt3,Foxo1
Akt3,Foxo3
Akt3,Foxo4
Akt3,Foxo6
Akt3,Gata1
Akt3,Gata2
Akt3,Hand1
Akt3,Hes5
Akt3,Hif1a
Akt3,Irf3
Akt3,Jun
Akt3,Mef2c
Akt3,Mitf
Akt3,Mxd1
Akt3,Mybl2
Akt3,Myc
Akt3,Myod1
Akt3,Myt1
Akt3,Nfatc2
Akt3,Nfkb1
Akt3,Nfkb2
Akt3,Nr4a1
Akt3,Nrf1
Akt3,Pou5f1
Akt3,Rela
Akt3,Runx2
Akt3,Ski
Akt3,Smad3
Akt3,Smad4
Akt3,Sox2
Akt3,Sp1
Akt3,Sp3
Akt3,Spi1
Akt3,Stat1
Akt3,Tal1
Akt3,Tbp
Akt3,Tbx3
Akt3,Terf1
Akt3,Tfdp1
Akt3,Twist1
Akt3,Yy1
Alk,Creb1
Alk,Dlx5
Alk,Elf1
Alk,Elk1
Alk,Foxa2
Alk,Foxg1
Alk,Foxo1
Alk,Foxo3
Alk,Foxo4
Alk,Foxo6
Alk,Gata1
Alk,Gata2
Alk,Hand1
Alk,Hes5
Alk,Hmga1
Alk,Ikzf3
Alk,Irf3
Alk,Jun
Alk,Mitf
Alk,Mxd1
Alk,Myc
Alk,Myt1
Alk,Nfatc2
Alk,Nr4a1
Alk,Nrf1
Alk,Pou5f1
Alk,Rela
Alk,Runx2
Alk,Ski
Alk,Smad1
Alk,Smad3
Alk,Sox2
Alk,Sp1
Alk,Stat1
Alk,Stat5a
Alk,Stat5b
Alk,Tal1
Alk,Terf1
Alk,Tfcp2
Alk,Twist1
App,Creb1
App,Elf1
App,Foxo3
App,Hmga1
App,Irf3
App,Myc
App,Pou2f1
App,Rela
App,Smad1
App,Smad3
App,Sp1
App,Tfcp2
Arrb2,Jun
Arrb2,Nfkb1
Arrb2,Rbpj
Arrb2,Rela
Arrb2,Smad3
Atm,Aire
Atm,Arnt
Atm,Arntl
Atm,Ascl1
Atm,Atf1
Atm,Atf2
Atm,Atf4
Atm,Atf5
Atm,Atoh1
Atm,Cebpb
Atm,Cebpd
Atm,Creb1
Atm,Creb3
Atm,Crem
Atm,Cux1
Atm,Cux2
Atm,Ddit3
Atm,Dlx5
Atm,E2f1
Atm,E2f2
Atm,E2f3
Atm,E4f1
Atm,Egr1
Atm,Elf1
Atm,Elk1
Atm,Epas1
Atm,Etv1
Atm,Fos
Atm,Fosb
Atm,Foxa2
Atm,Foxg1
Atm,Foxl2
Atm,Foxm1
Atm,Foxo1
Atm,Foxo3
Atm,Foxo4
Atm,Foxo6
Atm,Foxp3
Atm,Gata1
Atm,Gata2
Atm,Gata6
Atm,Gcm1
Atm,Gfi1
Atm,Gli1
Atm,Gli2
Atm,Gli3
Atm,Glis2
Atm,Glis3
Atm,Hand1
Atm,Hes5
Atm,Hes6
Atm,Hic1
Atm,Hic2
Atm,Hif1a
Atm,Hmga1
Atm,Hnf1a
