Fibroblast,MSC,Megakaryocyte,Myeloid,Neural
ns,ns,ns,**,***
ns,***,***,**,ns
ns,***,ns,*,ns
**,**,ns,***,ns
**,***,ns,***,ns
ns,ns,**,ns,ns
**,ns,**,***,***
ns,***,ns,**,***
*,***,ns,***,ns
ns,ns,***,ns,ns
ns,*,ns,ns,**
***,ns,*,***,***
*,ns,ns,***,ns
ns,ns,*,**,ns
ns,***,ns,ns,ns
ns,***,**,**,ns
ns,**,***,ns,ns
*,ns,ns,***,***
ns,***,ns,ns,***
ns,***,ns,ns,***
***,***,***,ns,ns
*,***,***,ns,ns
**,ns,ns,***,***
ns,ns,ns,***,ns
ns,***,ns,**,ns
ns,***,ns,***,ns
***,***,ns,ns,***
*,ns,ns,***,ns
ns,ns,*,ns,ns
ns,ns,***,ns,ns
**,***,*,***,ns
ns,ns,ns,*,ns
ns,***,ns,***,ns
ns,***,ns,***,ns
**,ns,ns,ns,ns
ns,**,ns,*,***
ns,***,***,***,ns
ns,***,***,ns,ns
ns,***,***,**,ns
***,ns,ns,***,ns
ns,***,ns,*,***
ns,**,ns,***,ns
ns,***,ns,**,***
ns,**,ns,ns,ns
**,***,*,***,ns
***,ns,***,ns,***
ns,**,ns,ns,ns
*,***,*,*,ns
ns,***,ns,**,ns
ns,ns,ns,**,ns
ns,***,ns,**,ns
ns,***,ns,**,***
ns,***,ns,ns,ns
**,ns,ns,***,***
ns,***,**,**,ns
*,***,**,***,ns
*,***,***,ns,***
*,***,**,*,ns
ns,ns,***,***,ns
ns,***,***,***,*
*,***,ns,***,ns
ns,***,*,*,***
ns,ns,*,ns,***
ns,***,ns,***,ns
***,*,**,***,***
ns,***,ns,ns,ns
ns,***,ns,***,ns
ns,***,ns,***,*
***,***,***,***,***
ns,***,**,ns,ns
ns,***,ns,ns,ns
*,ns,ns,***,***
***,*,***,*,***
**,ns,**,***,***
ns,***,ns,ns,ns
ns,***,ns,**,ns
ns,***,*,**,ns
*,ns,*,***,***
ns,***,ns,*,ns
ns,***,***,***,ns
ns,***,**,***,ns
*,ns,ns,ns,ns
ns,***,ns,ns,ns
***,***,ns,***,***
**,***,**,***,ns
*,***,***,***,ns
ns,***,***,ns,ns
ns,***,ns,ns,ns
***,ns,ns,***,***
ns,***,ns,***,***
ns,*,ns,ns,ns
ns,***,***,***,ns
ns,***,ns,***,ns
ns,***,*,ns,ns
*,ns,**,***,***
ns,ns,***,***,***
**,***,ns,***,ns
**,ns,**,ns,ns
**,ns,***,***,***
ns,ns,ns,***,ns
ns,**,ns,ns,ns
ns,***,ns,ns,***
***,***,**,***,ns
*,***,ns,***,ns
ns,*,ns,***,**
ns,***,**,ns,ns
ns,***,***,ns,ns
ns,**,ns,ns,ns
ns,ns,***,***,ns
ns,***,ns,ns,ns
***,ns,ns,***,***
***,ns,ns,***,***
***,ns,**,***,***
ns,***,ns,ns,ns
ns,ns,*,ns,ns
**,***,ns,**,***
ns,***,**,***,ns
ns,***,ns,**,ns
ns,***,ns,***,ns
ns,***,ns,*,***
ns,**,**,***,***
ns,***,**,*,ns
**,***,***,***,ns
ns,***,ns,ns,ns
