source,target,gene_A,gene_B,type_gene_A_py,type_gene_B_py,MeanLR_py,type_gene_A_r,type_gene_B_r,MeanLR_r
Fibroblast,Fibroblast,INSR,TFDP1,Receptor,Transcription Factor,0.1121317073702812,Receptor,Transcription Factor,0.112131717653289
Fibroblast,Fibroblast,INSR,CREM,Receptor,Transcription Factor,-0.2709766626358032,Receptor,Transcription Factor,-0.270976660519179
Fibroblast,Fibroblast,ITGB1,CREM,Receptor,Transcription Factor,-0.2709766626358032,Receptor,Transcription Factor,-0.270976660519179
Fibroblast,Fibroblast,MYLK,CREM,Receptor,Transcription Factor,-0.2709766626358032,Receptor,Transcription Factor,-0.270976660519179
Fibroblast,Fibroblast,ITGB1,ARNT,Receptor,Transcription Factor,-0.0794276669621467,Receptor,Transcription Factor,-0.0794276926429442
Fibroblast,Fibroblast,CXCR4,STAT5B,Receptor,Transcription Factor,-0.7573807239532471,Receptor,Transcription Factor,-0.757380707322184
Fibroblast,Fibroblast,FGFR1,STAT5B,Receptor,Transcription Factor,-0.7573807239532471,Receptor,Transcription Factor,-0.757380707322184
Fibroblast,Fibroblast,INSR,STAT5B,Receptor,Transcription Factor,-0.7573807239532471,Receptor,Transcription Factor,-0.757380707322184
Fibroblast,Fibroblast,INSR,FOXA2,Receptor,Transcription Factor,-0.2102249264717102,Receptor,Transcription Factor,-0.210224924318294
Fibroblast,Fibroblast,ITGB1,FOXA2,Receptor,Transcription Factor,-0.2102249264717102,Receptor,Transcription Factor,-0.210224924318294
Fibroblast,Fibroblast,DIP2A,XBP1,Receptor,Transcription Factor,-0.381978690624237,Receptor,Transcription Factor,-0.38197868437461
Fibroblast,Fibroblast,INSR,XBP1,Receptor,Transcription Factor,-0.381978690624237,Receptor,Transcription Factor,-0.38197868437461
Fibroblast,Fibroblast,INSR,POU5F1,Receptor,Transcription Factor,-0.2605296075344085,Receptor,Transcription Factor,-0.260529629205742
Fibroblast,Fibroblast,ITGB1,POU5F1,Receptor,Transcription Factor,-0.2605296075344085,Receptor,Transcription Factor,-0.260529629205742
Fibroblast,Fibroblast,DIP2A,MYOD1,Receptor,Transcription Factor,-0.3373999297618866,Receptor,Transcription Factor,-0.337399966335851
Fibroblast,Fibroblast,INSR,MYOD1,Receptor,Transcription Factor,-0.3373999297618866,Receptor,Transcription Factor,-0.337399966335851
Fibroblast,Fibroblast,DIP2A,RUNX2,Receptor,Transcription Factor,-0.2466190159320831,Receptor,Transcription Factor,-0.246619004524834
Fibroblast,Fibroblast,INSR,RUNX2,Receptor,Transcription Factor,-0.2466190159320831,Receptor,Transcription Factor,-0.246619004524834
Fibroblast,Fibroblast,ITGB1,RUNX2,Receptor,Transcription Factor,-0.2466190159320831,Receptor,Transcription Factor,-0.246619004524834
Fibroblast,Fibroblast,ITGB1,EGR1,Receptor,Transcription Factor,-0.6004867553710938,Receptor,Transcription Factor,-0.600486717038984
Fibroblast,Fibroblast,DIP2A,TEAD4,Receptor,Transcription Factor,-0.2570194602012634,Receptor,Transcription Factor,-0.257019454100398
Fibroblast,Fibroblast,INSR,TEAD4,Receptor,Transcription Factor,-0.2570194602012634,Receptor,Transcription Factor,-0.257019454100398
Fibroblast,Fibroblast,ITGB1,TEAD4,Receptor,Transcription Factor,-0.2570194602012634,Receptor,Transcription Factor,-0.257019454100398
Fibroblast,Fibroblast,DIP2A,TEAD1,Receptor,Transcription Factor,-0.2538185715675354,Receptor,Transcription Factor,-0.25381855656261
Fibroblast,Fibroblast,INSR,TEAD1,Receptor,Transcription Factor,-0.2538185715675354,Receptor,Transcription Factor,-0.25381855656261
Fibroblast,Fibroblast,ITGB1,TEAD1,Receptor,Transcription Factor,-0.2538185715675354,Receptor,Transcription Factor,-0.25381855656261
Fibroblast,Fibroblast,INSR,SOX2,Receptor,Transcription Factor,-0.4384025633335113,Receptor,Transcription Factor,-0.438402583450695
Fibroblast,Fibroblast,ITGB1,SOX2,Receptor,Transcription Factor,-0.4384025633335113,Receptor,Transcription Factor,-0.438402583450695
Fibroblast,Fibroblast,INSR,NR4A1,Receptor,Transcription Factor,-0.5857762694358826,Receptor,Transcription Factor,-0.585776276841925
Fibroblast,Fibroblast,ITGB1,NR4A1,Receptor,Transcription Factor,-0.5857762694358826,Receptor,Transcription Factor,-0.585776276841925
Fibroblast,Fibroblast,ITGB1,SRF,Receptor,Transcription Factor,-0.1891244798898697,Receptor,Transcription Factor,-0.189124467364756
Fibroblast,Fibroblast,INSR,SP3,Receptor,Transcription Factor,-0.3901917338371277,Receptor,Transcription Factor,-0.390191728229727
Fibroblast,Fibroblast,ITGB1,SP3,Receptor,Transcription Factor,-0.3901917338371277,Receptor,Transcription Factor,-0.390191728229727
Fibroblast,Fibroblast,ITGB1,MAX,Receptor,Transcription Factor,-0.3345505893230438,Receptor,Transcription Factor,-0.334550624856117
Fibroblast,Fibroblast,FGFR1,SMAD1,Receptor,Transcription Factor,-0.5004812479019165,Receptor,Transcription Factor,-0.500481256619133
Fibroblast,Fibroblast,INSR,SMAD1,Receptor,Transcription Factor,-0.5004812479019165,Receptor,Transcription Factor,-0.500481256619133
Fibroblast,Fibroblast,ITGB1,SMAD1,Receptor,Transcription Factor,-0.5004812479019165,Receptor,Transcription Factor,-0.500481256619133
Fibroblast,Fibroblast,TNFRSF14,SMAD1,Receptor,Transcription Factor,-0.5004812479019165,Receptor,Transcription Factor,-0.500481256619133
Fibroblast,Fibroblast,ITGB1,SNAI1,Receptor,Transcription Factor,0.1318803429603576,Receptor,Transcription Factor,0.131880344912617
Fibroblast,Fibroblast,ITGB1,HIF1A,Receptor,Transcription Factor,-0.652160108089447,Receptor,Transcription Factor,-0.652160142908205
Fibroblast,Fibroblast,ITGB1,ZC3H8,Receptor,Transcription Factor,0.0179606508463621,Receptor,Transcription Factor,0.0179606768816877
Fibroblast,Fibroblast,USF2,CALR,Transcription_Factor,Ligand,-0.5739314556121826,Transcription Factor,Ligand,-0.573931487873226
Fibroblast,Fibroblast,USF2,LTBP3,Transcription_Factor,Ligand,-0.5739314556121826,Transcription Factor,Ligand,-0.573931487873226
Fibroblast,Fibroblast,USF2,TGFB1,Transcription_Factor,Ligand,-0.5739314556121826,Transcription Factor,Ligand,-0.573931487873226
Fibroblast,Fibroblast,MAFG,ANGPT1,Transcription_Factor,Ligand,-0.4323597252368927,Transcription Factor,Ligand,-0.432359714544538
Fibroblast,Fibroblast,SREBF2,VEGFA,Transcription_Factor,Ligand,-0.3112131655216217,Transcription Factor,Ligand,-0.311213167762467
Fibroblast,Fibroblast,MYBL2,LAMB1,Transcription_Factor,Ligand,-0.4473282098770141,Transcription Factor,Ligand,-0.447328192537858
Fibroblast,Fibroblast,MEIS1,ANGPT1,Transcription_Factor,Ligand,-0.3775844275951385,Transcription Factor,Ligand,-0.377584411234454
Fibroblast,Fibroblast,GATA6,LAMB1,Transcription_Factor,Ligand,-0.2582375109195709,Transcription Factor,Ligand,-0.258237480422899
Fibroblast,Fibroblast,GATA6,LGALS3,Transcription_Factor,Ligand,-0.2582375109195709,Transcription Factor,Ligand,-0.258237480422899
Fibroblast,Fibroblast,GATA6,VWF,Transcription_Factor,Ligand,-0.2582375109195709,Transcription Factor,Ligand,-0.258237480422899
Fibroblast,Fibroblast,CEBPG,ETV5,Transcription_Factor,Ligand,-0.2488006055355072,Transcription Factor,Ligand,-0.248800614636079
Fibroblast,Fibroblast,CEBPG,LAMB1,Transcription_Factor,Ligand,-0.2488006055355072,Transcription Factor,Ligand,-0.248800614636079
Fibroblast,Fibroblast,HNF1B,LAMB1,Transcription_Factor,Ligand,-0.2505480051040649,Transcription Factor,Ligand,-0.250548009797441
Fibroblast,Fibroblast,NCOA2,ANGPT1,Transcription_Factor,Ligand,-0.3163821697235107,Transcription Factor,Ligand,-0.316382203901653
Fibroblast,Fibroblast,PGR,ANGPT1,Transcription_Factor,Ligand,-0.1847530752420425,Transcription Factor,Ligand,-0.184753066909936
Fibroblast,Fibroblast,PGR,VEGFA,Transcription_Factor,Ligand,-0.1847530752420425,Transcription Factor,Ligand,-0.184753066909936
Fibroblast,Fibroblast,RUNX1,ANGPT1,Transcription_Factor,Ligand,-0.5572454929351807,Transcription Factor,Ligand,-0.55724549477743
Fibroblast,Fibroblast,RUNX1,CLEC2D,Transcription_Factor,Ligand,-0.5572454929351807,Transcription Factor,Ligand,-0.55724549477743
Fibroblast,Fibroblast,RUNX1,ETV5,Transcription_Factor,Ligand,-0.5572454929351807,Transcription Factor,Ligand,-0.55724549477743
Fibroblast,Fibroblast,RUNX1,LAMB1,Transcription_Factor,Ligand,-0.5572454929351807,Transcription Factor,Ligand,-0.55724549477743
Fibroblast,Fibroblast,RUNX1,LGALS3,Transcription_Factor,Ligand,-0.5572454929351807,Transcription Factor,Ligand,-0.55724549477743
Fibroblast,Fibroblast,RUNX1,MYL9,Transcription_Factor,Ligand,-0.5572454929351807,Transcription Factor,Ligand,-0.55724549477743
Fibroblast,Fibroblast,RUNX1,VEGFA,Transcription_Factor,Ligand,-0.5572454929351807,Transcription Factor,Ligand,-0.55724549477743
Fibroblast,Fibroblast,NANOG,ANGPT1,Transcription_Factor,Ligand,-0.4549182057380676,Transcription Factor,Ligand,-0.454918189144857
Fibroblast,Fibroblast,NANOG,ETV5,Transcription_Factor,Ligand,-0.4549182057380676,Transcription Factor,Ligand,-0.454918189144857
