source,target,gene_A,gene_B,type_gene_A_py,type_gene_B_py,MeanLR_py,Unnamed: 0,type_gene_A_r,type_gene_B_r,MeanLR_r
Fibroblast,Fibroblast,INSR,TFDP1,Receptor,Transcription Factor,0.1121317073702812,448,Receptor,Transcription Factor,0.112131717653289
Fibroblast,Fibroblast,ITGB1,SNAI1,Receptor,Transcription Factor,0.1318803429603576,402,Receptor,Transcription Factor,0.131880344912617
Fibroblast,Fibroblast,ITGB1,ZC3H8,Receptor,Transcription Factor,0.0179606508463621,467,Receptor,Transcription Factor,0.0179606768816877
Fibroblast,Fibroblast,TWIST2,POSTN,Transcription_Factor,Ligand,0.0528098791837692,1464,Transcription Factor,Ligand,0.052809866311196
MSC,MSC,KLF3,PDGFC,Transcription_Factor,Ligand,1.0168192386627195,1045,Transcription Factor,Ligand,1.01681920980482
MSC,MSC,PKNOX1,VCL,Transcription_Factor,Ligand,0.1668722927570343,1047,Transcription Factor,Ligand,0.166872296040284
Megakaryocyte,Megakaryocyte,INSR,NRF1,Receptor,Transcription Factor,0.3354484140872955,511,Receptor,Transcription Factor,0.33544838335038
Megakaryocyte,Megakaryocyte,ITGB1,NRF1,Receptor,Transcription Factor,0.3354484140872955,512,Receptor,Transcription Factor,0.33544838335038
Megakaryocyte,Megakaryocyte,ITGB1,CREB3,Receptor,Transcription Factor,0.1913500428199768,479,Receptor,Transcription Factor,0.191350059196869
Megakaryocyte,Megakaryocyte,ITGB1,SRF,Receptor,Transcription Factor,0.6638748049736023,549,Receptor,Transcription Factor,0.663874826123318
Megakaryocyte,Megakaryocyte,ITGB1,CEBPD,Receptor,Transcription Factor,0.0896114259958267,476,Receptor,Transcription Factor,0.0896114190764143
Megakaryocyte,Megakaryocyte,INSR,TBP,Receptor,Transcription Factor,0.1693693101406097,561,Receptor,Transcription Factor,0.169369329299287
Megakaryocyte,Megakaryocyte,MYLK,TBP,Receptor,Transcription Factor,0.1693693101406097,562,Receptor,Transcription Factor,0.169369329299287
Megakaryocyte,Megakaryocyte,ITGB1,ZHX1,Receptor,Transcription Factor,0.0157849621027708,570,Receptor,Transcription Factor,0.0157849720505998
