source,target,gene_A,gene_B,type_gene_A_py,type_gene_B_py,MeanLR_py,Unnamed: 0,type_gene_A_r,type_gene_B_r,MeanLR_r
Fibroblast,Fibroblast,ITGB1,CREM,Receptor,Transcription Factor,0.212893933057785,313,Receptor,Transcription Factor,0.2128939307338
Fibroblast,Fibroblast,MYLK,CREM,Receptor,Transcription Factor,0.212893933057785,314,Receptor,Transcription Factor,0.2128939307338
Fibroblast,Fibroblast,ITGB1,ARNT,Receptor,Transcription Factor,0.1173468381166458,309,Receptor,Transcription Factor,0.117346835530225
Fibroblast,Fibroblast,PDGFRB,MYOD1,Receptor,Transcription Factor,0.063088446855545,380,Receptor,Transcription Factor,0.0630884422477221
Fibroblast,Fibroblast,ITGB1,RUNX2,Receptor,Transcription Factor,0.2504244148731231,411,Receptor,Transcription Factor,0.250424434492815
Fibroblast,Fibroblast,MET,RUNX2,Receptor,Transcription Factor,0.2504244148731231,412,Receptor,Transcription Factor,0.250424434492815
Fibroblast,Fibroblast,PDGFRB,RUNX2,Receptor,Transcription Factor,0.2504244148731231,414,Receptor,Transcription Factor,0.250424434492815
Fibroblast,Fibroblast,ITGB1,TEAD4,Receptor,Transcription Factor,0.2112389951944351,502,Receptor,Transcription Factor,0.211239002801953
Fibroblast,Fibroblast,PDGFRB,TEAD4,Receptor,Transcription Factor,0.2112389951944351,503,Receptor,Transcription Factor,0.211239002801953
Fibroblast,Fibroblast,ITGB1,TEAD1,Receptor,Transcription Factor,0.2148351371288299,496,Receptor,Transcription Factor,0.21483514473726
Fibroblast,Fibroblast,PDGFRB,TEAD1,Receptor,Transcription Factor,0.2148351371288299,497,Receptor,Transcription Factor,0.21483514473726
Fibroblast,Fibroblast,AXL,HNF1A,Receptor,Transcription Factor,0.0264905020594596,361,Receptor,Transcription Factor,0.0264905000496702
Fibroblast,Fibroblast,MET,HNF1A,Receptor,Transcription Factor,0.0264905020594596,362,Receptor,Transcription Factor,0.0264905000496702
Fibroblast,Fibroblast,ITGB1,SRF,Receptor,Transcription Factor,0.2343723177909851,473,Receptor,Transcription Factor,0.234372324649371
Fibroblast,Fibroblast,ITGB1,SP3,Receptor,Transcription Factor,0.5012659430503845,470,Receptor,Transcription Factor,0.50126592672831
Fibroblast,Fibroblast,ITGB1,MAX,Receptor,Transcription Factor,0.1921480149030685,370,Receptor,Transcription Factor,0.192147997972093
Fibroblast,Fibroblast,FGFR1,SMAD1,Receptor,Transcription Factor,0.2768834829330444,421,Receptor,Transcription Factor,0.276883499241465
Fibroblast,Fibroblast,ITGB1,SMAD1,Receptor,Transcription Factor,0.2768834829330444,423,Receptor,Transcription Factor,0.276883499241465
Fibroblast,Fibroblast,PDGFRB,SMAD1,Receptor,Transcription Factor,0.2768834829330444,425,Receptor,Transcription Factor,0.276883499241465
Fibroblast,Fibroblast,TNFRSF14,SMAD1,Receptor,Transcription Factor,0.2768834829330444,428,Receptor,Transcription Factor,0.276883499241465
Fibroblast,Fibroblast,ITGB1,SNAI1,Receptor,Transcription Factor,0.6002340912818909,456,Receptor,Transcription Factor,0.60023411364095
Fibroblast,Fibroblast,MET,SNAI1,Receptor,Transcription Factor,0.6002340912818909,457,Receptor,Transcription Factor,0.60023411364095
Fibroblast,Fibroblast,ITGB1,HIF1A,Receptor,Transcription Factor,0.3252794146537781,356,Receptor,Transcription Factor,0.325279434219183
Fibroblast,Fibroblast,ITGB1,ZC3H8,Receptor,Transcription Factor,0.3925460278987884,524,Receptor,Transcription Factor,0.392546033004998
Fibroblast,Fibroblast,FOSL1,ALCAM,Transcription_Factor,Ligand,0.1246789172291755,953,Transcription Factor,Ligand,0.124678916317615
Fibroblast,Fibroblast,SREBF2,VEGFA,Transcription_Factor,Ligand,0.1336675882339477,1198,Transcription Factor,Ligand,0.133667581195036
Fibroblast,Fibroblast,GATA6,DKK1,Transcription_Factor,Ligand,0.0219488013535738,989,Transcription Factor,Ligand,0.0219487997109777
Fibroblast,Fibroblast,GATA6,LAMC1,Transcription_Factor,Ligand,0.0219488013535738,990,Transcription Factor,Ligand,0.0219487997109777
Fibroblast,Fibroblast,GATA6,WNT5B,Transcription_Factor,Ligand,0.0219488013535738,992,Transcription Factor,Ligand,0.0219487997109777
