source_py,target_py,gene_A,gene_B,type_gene_A_py,type_gene_B_py,MeanLR_py,source_r,target_r,type_gene_A_r,type_gene_B_r,MeanLR_r
Fibroblast,Fibroblast,INSR,TAL1,Receptor,Transcription Factor,-0.7351583242416382,Neural,Neural,Receptor,Transcription Factor,0.077806304341641
Fibroblast,Fibroblast,INSR,TAL1,Receptor,Transcription Factor,-0.7351583242416382,Megakaryocyte,Megakaryocyte,Receptor,Transcription Factor,0.209744789348168
Fibroblast,Fibroblast,ITGB1,TAL1,Receptor,Transcription Factor,-0.7351583242416382,Neural,Neural,Receptor,Transcription Factor,0.077806304341641
Fibroblast,Fibroblast,ITGB1,TAL1,Receptor,Transcription Factor,-0.7351583242416382,Megakaryocyte,Megakaryocyte,Receptor,Transcription Factor,0.209744789348168
Fibroblast,Fibroblast,TAL1,CALR,Transcription_Factor,Ligand,-0.7351583242416382,Neural,Neural,Transcription Factor,Ligand,0.077806304341641
Fibroblast,Fibroblast,TAL1,CALR,Transcription_Factor,Ligand,-0.7351583242416382,Megakaryocyte,Megakaryocyte,Transcription Factor,Ligand,0.209744789348168
Fibroblast,Fibroblast,TAL1,DLK1,Transcription_Factor,Ligand,-0.7351583242416382,Megakaryocyte,Megakaryocyte,Transcription Factor,Ligand,0.209744789348168
Fibroblast,Fibroblast,TAL1,VCAM1,Transcription_Factor,Ligand,-0.7351583242416382,Megakaryocyte,Megakaryocyte,Transcription Factor,Ligand,0.209744789348168
Fibroblast,Fibroblast,TAL1,VWF,Transcription_Factor,Ligand,-0.7351583242416382,Megakaryocyte,Megakaryocyte,Transcription Factor,Ligand,0.209744789348168
Fibroblast,Fibroblast,TFAP2C,ANGPT1,Transcription_Factor,Ligand,-0.7235671281814575,Fibroblast,Fibroblast,Transcription Factor,Ligand,-0.723567091164512
Fibroblast,Fibroblast,TFAP2C,BDNF,Transcription_Factor,Ligand,-0.7235671281814575,Fibroblast,Fibroblast,Transcription Factor,Ligand,-0.723567091164512
Fibroblast,Fibroblast,TFAP2C,CALR,Transcription_Factor,Ligand,-0.7235671281814575,Fibroblast,Fibroblast,Transcription Factor,Ligand,-0.723567091164512
Fibroblast,Fibroblast,TFAP2C,CLEC11A,Transcription_Factor,Ligand,-0.7235671281814575,Fibroblast,Fibroblast,Transcription Factor,Ligand,-0.723567091164512
Fibroblast,Fibroblast,TFAP2C,CLEC2D,Transcription_Factor,Ligand,-0.7235671281814575,Fibroblast,Fibroblast,Transcription Factor,Ligand,-0.723567091164512
Fibroblast,Fibroblast,TFAP2C,DLK1,Transcription_Factor,Ligand,-0.7235671281814575,Fibroblast,Fibroblast,Transcription Factor,Ligand,-0.723567091164512
Fibroblast,Fibroblast,TFAP2C,ETV5,Transcription_Factor,Ligand,-0.7235671281814575,Fibroblast,Fibroblast,Transcription Factor,Ligand,-0.723567091164512
Fibroblast,Fibroblast,TFAP2C,FAM3C,Transcription_Factor,Ligand,-0.7235671281814575,Fibroblast,Fibroblast,Transcription Factor,Ligand,-0.723567091164512
Fibroblast,Fibroblast,TFAP2C,GAL,Transcription_Factor,Ligand,-0.7235671281814575,Fibroblast,Fibroblast,Transcription Factor,Ligand,-0.723567091164512
Fibroblast,Fibroblast,TFAP2C,HSPA8,Transcription_Factor,Ligand,-0.7235671281814575,Fibroblast,Fibroblast,Transcription Factor,Ligand,-0.723567091164512
Fibroblast,Fibroblast,TFAP2C,LAMB1,Transcription_Factor,Ligand,-0.7235671281814575,Fibroblast,Fibroblast,Transcription Factor,Ligand,-0.723567091164512
Fibroblast,Fibroblast,TFAP2C,LAMB2,Transcription_Factor,Ligand,-0.7235671281814575,Fibroblast,Fibroblast,Transcription Factor,Ligand,-0.723567091164512
Fibroblast,Fibroblast,TFAP2C,LGALS1,Transcription_Factor,Ligand,-0.7235671281814575,Fibroblast,Fibroblast,Transcription Factor,Ligand,-0.723567091164512
Fibroblast,Fibroblast,TFAP2C,LGALS3,Transcription_Factor,Ligand,-0.7235671281814575,Fibroblast,Fibroblast,Transcription Factor,Ligand,-0.723567091164512
Fibroblast,Fibroblast,TFAP2C,LGALS3BP,Transcription_Factor,Ligand,-0.7235671281814575,Fibroblast,Fibroblast,Transcription Factor,Ligand,-0.723567091164512
Fibroblast,Fibroblast,TFAP2C,LGALS9,Transcription_Factor,Ligand,-0.7235671281814575,Fibroblast,Fibroblast,Transcription Factor,Ligand,-0.723567091164512
Fibroblast,Fibroblast,TFAP2C,LTBP3,Transcription_Factor,Ligand,-0.7235671281814575,Fibroblast,Fibroblast,Transcription Factor,Ligand,-0.723567091164512
Fibroblast,Fibroblast,TFAP2C,MFGE8,Transcription_Factor,Ligand,-0.7235671281814575,Fibroblast,Fibroblast,Transcription Factor,Ligand,-0.723567091164512
Fibroblast,Fibroblast,TFAP2C,MIF,Transcription_Factor,Ligand,-0.7235671281814575,Fibroblast,Fibroblast,Transcription Factor,Ligand,-0.723567091164512
Fibroblast,Fibroblast,TFAP2C,POSTN,Transcription_Factor,Ligand,-0.7235671281814575,Fibroblast,Fibroblast,Transcription Factor,Ligand,-0.723567091164512
Fibroblast,Fibroblast,TFAP2C,RARRES1,Transcription_Factor,Ligand,-0.7235671281814575,Fibroblast,Fibroblast,Transcription Factor,Ligand,-0.723567091164512
Fibroblast,Fibroblast,TFAP2C,VEGFA,Transcription_Factor,Ligand,-0.7235671281814575,Fibroblast,Fibroblast,Transcription Factor,Ligand,-0.723567091164512
Fibroblast,Fibroblast,TFAP2C,VWF,Transcription_Factor,Ligand,-0.7235671281814575,Fibroblast,Fibroblast,Transcription Factor,Ligand,-0.723567091164512
MSC,MSC,ITGB1,SRF,Receptor,Transcription Factor,1.2202036380767822,Neural,Neural,Receptor,Transcription Factor,-0.571307832255861
MSC,MSC,ITGB1,SRF,Receptor,Transcription Factor,1.2202036380767822,Fibroblast,Fibroblast,Receptor,Transcription Factor,-0.189124467364756
MSC,MSC,ITGB1,SRF,Receptor,Transcription Factor,1.2202036380767822,Megakaryocyte,Megakaryocyte,Receptor,Transcription Factor,0.663874826123318
MSC,MSC,BMPR2,SP1,Receptor,Transcription Factor,0.9723134636878968,Neural,Neural,Receptor,Transcription Factor,-0.104134406561178
MSC,MSC,BMPR2,SP1,Receptor,Transcription Factor,0.9723134636878968,Megakaryocyte,Megakaryocyte,Receptor,Transcription Factor,-0.058954852822733
MSC,MSC,ERBB2,SP1,Receptor,Transcription Factor,0.9723134636878968,Neural,Neural,Receptor,Transcription Factor,-0.104134406561178
MSC,MSC,ERBB2,SP1,Receptor,Transcription Factor,0.9723134636878968,Megakaryocyte,Megakaryocyte,Receptor,Transcription Factor,-0.058954852822733
MSC,MSC,FGFR1,SP1,Receptor,Transcription Factor,0.9723134636878968,Neural,Neural,Receptor,Transcription Factor,-0.104134406561178
MSC,MSC,FGFR1,SP1,Receptor,Transcription Factor,0.9723134636878968,Megakaryocyte,Megakaryocyte,Receptor,Transcription Factor,-0.058954852822733
MSC,MSC,INSR,SP1,Receptor,Transcription Factor,0.9723134636878968,Neural,Neural,Receptor,Transcription Factor,-0.104134406561178
MSC,MSC,INSR,SP1,Receptor,Transcription Factor,0.9723134636878968,Megakaryocyte,Megakaryocyte,Receptor,Transcription Factor,-0.058954852822733
MSC,MSC,ITGB1,SP1,Receptor,Transcription Factor,0.9723134636878968,Neural,Neural,Receptor,Transcription Factor,-0.104134406561178
MSC,MSC,ITGB1,SP1,Receptor,Transcription Factor,0.9723134636878968,Megakaryocyte,Megakaryocyte,Receptor,Transcription Factor,-0.058954852822733
MSC,MSC,LPP,SP1,Receptor,Transcription Factor,0.9723134636878968,Neural,Neural,Receptor,Transcription Factor,-0.104134406561178
MSC,MSC,LPP,SP1,Receptor,Transcription Factor,0.9723134636878968,Megakaryocyte,Megakaryocyte,Receptor,Transcription Factor,-0.058954852822733
MSC,MSC,NTRK2,SP1,Receptor,Transcription Factor,0.9723134636878968,Neural,Neural,Receptor,Transcription Factor,-0.104134406561178
MSC,MSC,NTRK2,SP1,Receptor,Transcription Factor,0.9723134636878968,Megakaryocyte,Megakaryocyte,Receptor,Transcription Factor,-0.058954852822733
MSC,MSC,PDGFRB,SP1,Receptor,Transcription Factor,0.9723134636878968,Neural,Neural,Receptor,Transcription Factor,-0.104134406561178
MSC,MSC,PDGFRB,SP1,Receptor,Transcription Factor,0.9723134636878968,Megakaryocyte,Megakaryocyte,Receptor,Transcription Factor,-0.058954852822733
MSC,MSC,TGFBR2,SP1,Receptor,Transcription Factor,0.9723134636878968,Neural,Neural,Receptor,Transcription Factor,-0.104134406561178
MSC,MSC,TGFBR2,SP1,Receptor,Transcription Factor,0.9723134636878968,Megakaryocyte,Megakaryocyte,Receptor,Transcription Factor,-0.058954852822733
MSC,MSC,ITGB1,ZHX1,Receptor,Transcription Factor,0.7907685041427612,Megakaryocyte,Megakaryocyte,Receptor,Transcription Factor,0.0157849720505998
MSC,MSC,FZD5,SNAI1,Receptor,Transcription Factor,0.6337460875511169,Fibroblast,Fibroblast,Receptor,Transcription Factor,0.131880344912617
MSC,MSC,ITGB1,SNAI1,Receptor,Transcription Factor,0.6337460875511169,Fibroblast,Fibroblast,Receptor,Transcription Factor,0.131880344912617
MSC,MSC,INSR,SP3,Receptor,Transcription Factor,0.6670423150062561,Fibroblast,Fibroblast,Receptor,Transcription Factor,-0.390191728229727
MSC,MSC,ITGB1,SP3,Receptor,Transcription Factor,0.6670423150062561,Fibroblast,Fibroblast,Receptor,Transcription Factor,-0.390191728229727
MSC,MSC,TGFBR2,SP3,Receptor,Transcription Factor,0.6670423150062561,Fibroblast,Fibroblast,Receptor,Transcription Factor,-0.390191728229727
MSC,MSC,SRF,MYL9,Transcription_Factor,Ligand,1.2202036380767822,Neural,Neural,Transcription Factor,Ligand,-0.571307832255861
MSC,MSC,SRF,MYL9,Transcription_Factor,Ligand,1.2202036380767822,Fibroblast,Fibroblast,Transcription Factor,Ligand,-0.189124467364756
MSC,MSC,SRF,MYL9,Transcription_Factor,Ligand,1.2202036380767822,Megakaryocyte,Megakaryocyte,Transcription Factor,Ligand,0.663874826123318
MSC,MSC,SRF,TLN1,Transcription_Factor,Ligand,1.2202036380767822,Neural,Neural,Transcription Factor,Ligand,-0.571307832255861
MSC,MSC,SRF,TLN1,Transcription_Factor,Ligand,1.2202036380767822,Megakaryocyte,Megakaryocyte,Transcription Factor,Ligand,0.663874826123318
MSC,MSC,SRF,VCL,Transcription_Factor,Ligand,1.2202036380767822,Neural,Neural,Transcription Factor,Ligand,-0.571307832255861
MSC,MSC,SRF,VCL,Transcription_Factor,Ligand,1.2202036380767822,Megakaryocyte,Megakaryocyte,Transcription Factor,Ligand,0.663874826123318
MSC,MSC,SP1,APOE,Transcription_Factor,Ligand,0.9723134636878968,Neural,Neural,Transcription Factor,Ligand,-0.104134406561178
MSC,MSC,SP1,APOE,Transcription_Factor,Ligand,0.9723134636878968,Megakaryocyte,Megakaryocyte,Transcription Factor,Ligand,-0.058954852822733
MSC,MSC,SP1,LTBP3,Transcription_Factor,Ligand,0.9723134636878968,Neural,Neural,Transcription Factor,Ligand,-0.104134406561178
MSC,MSC,SP1,MIF,Transcription_Factor,Ligand,0.9723134636878968,Neural,Neural,Transcription Factor,Ligand,-0.104134406561178
MSC,MSC,SP1,MIF,Transcription_Factor,Ligand,0.9723134636878968,Megakaryocyte,Megakaryocyte,Transcription Factor,Ligand,-0.058954852822733
MSC,MSC,SP1,PDGFC,Transcription_Factor,Ligand,0.9723134636878968,Megakaryocyte,Megakaryocyte,Transcription Factor,Ligand,-0.058954852822733
MSC,MSC,SP1,SPARC,Transcription_Factor,Ligand,0.9723134636878968,Megakaryocyte,Megakaryocyte,Transcription Factor,Ligand,-0.058954852822733
MSC,MSC,SP1,TF,Transcription_Factor,Ligand,0.9723134636878968,Neural,Neural,Transcription Factor,Ligand,-0.104134406561178
MSC,MSC,SP1,TGFB1,Transcription_Factor,Ligand,0.9723134636878968,Megakaryocyte,Megakaryocyte,Transcription Factor,Ligand,-0.058954852822733
MSC,MSC,SP1,VEGFB,Transcription_Factor,Ligand,0.9723134636878968,Megakaryocyte,Megakaryocyte,Transcription Factor,Ligand,-0.058954852822733
MSC,MSC,ZHX1,VCL,Transcription_Factor,Ligand,0.7907685041427612,Megakaryocyte,Megakaryocyte,Transcription Factor,Ligand,0.0157849720505998
MSC,MSC,SP3,TGFB1,Transcription_Factor,Ligand,0.6670423150062561,Fibroblast,Fibroblast,Transcription Factor,Ligand,-0.390191728229727
MSC,MSC,SP3,TNC,Transcription_Factor,Ligand,0.6670423150062561,Fibroblast,Fibroblast,Transcription Factor,Ligand,-0.390191728229727
MSC,MSC,SP3,VEGFA,Transcription_Factor,Ligand,0.6670423150062561,Fibroblast,Fibroblast,Transcription Factor,Ligand,-0.390191728229727
Megakaryocyte,Megakaryocyte,TNFRSF14,SMAD5,Receptor,Transcription Factor,0.9929921627044678,Neural,Neural,Receptor,Transcription Factor,-0.388902183133723
Megakaryocyte,Megakaryocyte,ITGB1,SRF,Receptor,Transcription Factor,0.6638748049736023,Neural,Neural,Receptor,Transcription Factor,-0.571307832255861
Megakaryocyte,Megakaryocyte,ITGB1,SRF,Receptor,Transcription Factor,0.6638748049736023,Fibroblast,Fibroblast,Receptor,Transcription Factor,-0.189124467364756
Megakaryocyte,Megakaryocyte,ITGB1,SRF,Receptor,Transcription Factor,0.6638748049736023,Megakaryocyte,Megakaryocyte,Receptor,Transcription Factor,0.663874826123318
Megakaryocyte,Megakaryocyte,DIP2A,TEAD2,Receptor,Transcription Factor,0.7210466861724854,Neural,Neural,Receptor,Transcription Factor,-0.287343829049584
Megakaryocyte,Megakaryocyte,INSR,TEAD2,Receptor,Transcription Factor,0.7210466861724854,Neural,Neural,Receptor,Transcription Factor,-0.287343829049584
Megakaryocyte,Megakaryocyte,ITGB1,TEAD2,Receptor,Transcription Factor,0.7210466861724854,Neural,Neural,Receptor,Transcription Factor,-0.287343829049584
Megakaryocyte,Megakaryocyte,ITGB1,TCF7L2,Receptor,Transcription Factor,-0.6574234366416931,Fibroblast,Fibroblast,Receptor,Transcription Factor,-0.458562925166013
Megakaryocyte,Megakaryocyte,ITGB1,PDX1,Receptor,Transcription Factor,-0.7225472927093506,Neural,Neural,Receptor,Transcription Factor,-0.117647894538581
Megakaryocyte,Megakaryocyte,ITGB1,PDX1,Receptor,Transcription Factor,-0.7225472927093506,Megakaryocyte,Megakaryocyte,Receptor,Transcription Factor,-0.722547302240708
Megakaryocyte,Megakaryocyte,INSR,POU5F1,Receptor,Transcription Factor,-0.693924069404602,Neural,Neural,Receptor,Transcription Factor,-0.155059886554782
Megakaryocyte,Megakaryocyte,INSR,POU5F1,Receptor,Transcription Factor,-0.693924069404602,Fibroblast,Fibroblast,Receptor,Transcription Factor,-0.260529629205742
Megakaryocyte,Megakaryocyte,ITGB1,POU5F1,Receptor,Transcription Factor,-0.693924069404602,Neural,Neural,Receptor,Transcription Factor,-0.155059886554782
Megakaryocyte,Megakaryocyte,ITGB1,POU5F1,Receptor,Transcription Factor,-0.693924069404602,Fibroblast,Fibroblast,Receptor,Transcription Factor,-0.260529629205742
Megakaryocyte,Megakaryocyte,INSR,SOX2,Receptor,Transcription Factor,-0.7619516253471375,Neural,Neural,Receptor,Transcription Factor,0.0170912675741666
Megakaryocyte,Megakaryocyte,INSR,SOX2,Receptor,Transcription Factor,-0.7619516253471375,Fibroblast,Fibroblast,Receptor,Transcription Factor,-0.438402583450695
Megakaryocyte,Megakaryocyte,INSR,SOX2,Receptor,Transcription Factor,-0.7619516253471375,Megakaryocyte,Megakaryocyte,Receptor,Transcription Factor,-0.761951621075478
Megakaryocyte,Megakaryocyte,ITGB1,SOX2,Receptor,Transcription Factor,-0.7619516253471375,Neural,Neural,Receptor,Transcription Factor,0.0170912675741666
Megakaryocyte,Megakaryocyte,ITGB1,SOX2,Receptor,Transcription Factor,-0.7619516253471375,Fibroblast,Fibroblast,Receptor,Transcription Factor,-0.438402583450695
Megakaryocyte,Megakaryocyte,ITGB1,SOX2,Receptor,Transcription Factor,-0.7619516253471375,Megakaryocyte,Megakaryocyte,Receptor,Transcription Factor,-0.761951621075478
Megakaryocyte,Megakaryocyte,DIP2A,PAX8,Receptor,Transcription Factor,-0.7750712633132935,Neural,Neural,Receptor,Transcription Factor,0.0234740398469225
Megakaryocyte,Megakaryocyte,DIP2A,PAX8,Receptor,Transcription Factor,-0.7750712633132935,Megakaryocyte,Megakaryocyte,Receptor,Transcription Factor,-0.775071266326837
Megakaryocyte,Megakaryocyte,INSR,PAX8,Receptor,Transcription Factor,-0.7750712633132935,Neural,Neural,Receptor,Transcription Factor,0.0234740398469225
Megakaryocyte,Megakaryocyte,INSR,PAX8,Receptor,Transcription Factor,-0.7750712633132935,Megakaryocyte,Megakaryocyte,Receptor,Transcription Factor,-0.775071266326837
Megakaryocyte,Megakaryocyte,DIP2A,RUNX2,Receptor,Transcription Factor,-0.8117421269416809,Fibroblast,Fibroblast,Receptor,Transcription Factor,-0.246619004524834
Megakaryocyte,Megakaryocyte,INSR,RUNX2,Receptor,Transcription Factor,-0.8117421269416809,Fibroblast,Fibroblast,Receptor,Transcription Factor,-0.246619004524834
Megakaryocyte,Megakaryocyte,ITGB1,RUNX2,Receptor,Transcription Factor,-0.8117421269416809,Fibroblast,Fibroblast,Receptor,Transcription Factor,-0.246619004524834
Megakaryocyte,Megakaryocyte,INSR,TWIST1,Receptor,Transcription Factor,-0.8214194774627686,Neural,Neural,Receptor,Transcription Factor,-0.234244645745581
Megakaryocyte,Megakaryocyte,INSR,TWIST1,Receptor,Transcription Factor,-0.8214194774627686,Fibroblast,Fibroblast,Receptor,Transcription Factor,-0.192665872027695
Megakaryocyte,Megakaryocyte,ITGB1,TWIST1,Receptor,Transcription Factor,-0.8214194774627686,Neural,Neural,Receptor,Transcription Factor,-0.234244645745581
Megakaryocyte,Megakaryocyte,ITGB1,TWIST1,Receptor,Transcription Factor,-0.8214194774627686,Fibroblast,Fibroblast,Receptor,Transcription Factor,-0.192665872027695
