cluster_py,gene,scores,logfoldchanges,pvals,pvals_adj,tag,gene_r,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster_r
Neural,FOXK1,10.624381,4.2441497,2.2953073741702922e-26,8.24015347327135e-24,***,FOXK1,2.31793530720199e-26,4.46947452424626,0.982,0.74,8.32138775285514e-24,Neural
Neural,IRF9,9.736422,3.4130712,2.1084802769392562e-22,7.569444194211929e-20,***,IRF9,2.12755213826385e-22,4.32175044595404,0.964,0.802,7.63791217636721e-20,Neural
Neural,FOXO3,9.011408,3.731027,2.034274384225246e-19,7.303045039368634e-17,***,FOXO3,2.0513276818225501e-19,2.77147007420326,0.964,0.725,7.364266377742951e-17,Neural
Neural,KLF1,8.943667,3.3584127,3.764658960639956e-19,1.351512566869744e-16,***,KLF1,3.7959853720124e-19,2.36424310951651,0.982,0.817,1.36275874855245e-16,Neural
Neural,STAT2,8.73312,3.5488644,2.4774191906297534e-18,8.893934894360814e-16,***,STAT2,2.4975585581979197e-18,6.51768045719846,0.991,0.954,8.96623522393055e-16,Neural
Neural,IRF2,8.672702,3.005853,4.2198442686120715e-18,1.5149240924317334e-15,***,IRF2,4.2539157134827194e-18,2.73369133042664,0.991,0.771,1.5271557411403001e-15,Neural
Neural,STAT4,8.634254,5.0059834,5.911124895540723e-18,2.12209383749912e-15,***,STAT4,5.95864478478673e-18,5.25654466920713,0.839,0.504,2.13915347773844e-15,Neural
Neural,IRF1,8.310195,2.7779653,9.554464620935204e-17,3.4300527989157393e-14,***,IRF1,9.62845365757736e-17,3.22435260173709,0.982,0.779,3.4566148630702704e-14,Neural
Neural,GFI1B,8.088663,3.9265828,6.032303031134706e-16,2.1655967881773597e-13,***,GFI1B,6.07780092793534e-16,2.32589976343672,0.92,0.588,2.18193053312879e-13,Neural
Neural,ATF1,7.892763,3.4170873,2.9556809970205147e-15,1.0610894779303648e-12,***,ATF1,2.9774475251181804e-15,1.62289686953164,0.955,0.58,1.06890366151743e-12,Neural
Neural,NFE2L2,7.6602464,2.6140609,1.8557702046984627e-14,6.6622150348674806e-12,***,NFE2L2,1.8690447926921802e-14,1.67211858958542,0.946,0.748,6.70987080576494e-12,Neural
Neural,NR5A1,7.548565,4.9437923,4.400808589025332e-14,1.5798902834600942e-11,***,NR5A1,4.43184220716642e-14,7.74385061567565,0.616,0.29,1.5910313523727498e-11,Neural
Neural,CREB3,7.1073318,2.4738119,1.1830790501784936e-12,4.247253790140792e-10,***,CREB3,1.1909488456581e-12,2.72332665862394,0.929,0.733,4.27550635591257e-10,Neural
Neural,MTF1,6.9352326,3.5180016,4.055537985242797e-12,1.455938136702164e-09,***,MTF1,4.0818838252593895e-12,1.00045429791276,0.652,0.336,1.46539629326812e-09,Neural
Neural,MTF1,6.9352326,3.5180016,4.055537985242797e-12,1.455938136702164e-09,***,MTF11,5.41641782202503e-06,0.82518985027772,0.265,0.536,0.0019444939981069,MSC
Neural,E2F5,6.8986154,2.0944052,5.251175763716564e-12,1.885172099174246e-09,***,E2F5,5.2851149273742995e-12,1.65811425249001,0.955,0.71,1.89735625892737e-09,Neural
Neural,ZNF644,6.7338395,3.8439748,1.6524319189738098e-11,5.9322305891159795e-09,***,ZNF644,1.6628658044733497e-11,1.98374780975343,0.821,0.496,5.969688238059321e-09,Neural
