source,target,gene_A,gene_B,type_gene_A,type_gene_B,MeanLR
Fibroblast,Fibroblast,E2F4,ANP32B,Transcription_Factor,Ligand,2.141465902328491
Fibroblast,Fibroblast,E2F4,CALR,Transcription_Factor,Ligand,2.141465902328491
Fibroblast,Fibroblast,E2F4,IFNAR2,Transcription_Factor,Ligand,2.141465902328491
Fibroblast,Fibroblast,E2F4,LGALS1,Transcription_Factor,Ligand,2.141465902328491
Fibroblast,Fibroblast,E2F4,SOCS2,Transcription_Factor,Ligand,2.141465902328491
Fibroblast,Fibroblast,E2F4,TFRC,Transcription_Factor,Ligand,2.141465902328491
Fibroblast,Fibroblast,BMPR1B,E2F4,Receptor,Transcription Factor,2.141465902328491
Fibroblast,Fibroblast,CDK1,E2F4,Receptor,Transcription Factor,2.141465902328491
Fibroblast,Fibroblast,CDK2,E2F4,Receptor,Transcription Factor,2.141465902328491
Fibroblast,Fibroblast,CDK4,E2F4,Receptor,Transcription Factor,2.141465902328491
Fibroblast,Fibroblast,CDK6,E2F4,Receptor,Transcription Factor,2.141465902328491
Fibroblast,Fibroblast,CHUK,E2F4,Receptor,Transcription Factor,2.141465902328491
Fibroblast,Fibroblast,CSNK1A1,E2F4,Receptor,Transcription Factor,2.141465902328491
Fibroblast,Fibroblast,CSNK2A2,E2F4,Receptor,Transcription Factor,2.141465902328491
Fibroblast,Fibroblast,DYRK1A,E2F4,Receptor,Transcription Factor,2.141465902328491
Fibroblast,Fibroblast,EGFR,E2F4,Receptor,Transcription Factor,2.141465902328491
Fibroblast,Fibroblast,GSK3A,E2F4,Receptor,Transcription Factor,2.141465902328491
Fibroblast,Fibroblast,GSK3B,E2F4,Receptor,Transcription Factor,2.141465902328491
Fibroblast,Fibroblast,HDAC3,E2F4,Receptor,Transcription Factor,2.141465902328491
Fibroblast,Fibroblast,JAK2,E2F4,Receptor,Transcription Factor,2.141465902328491
Fibroblast,Fibroblast,MAPK1,E2F4,Receptor,Transcription Factor,2.141465902328491
Fibroblast,Fibroblast,MAPK11,E2F4,Receptor,Transcription Factor,2.141465902328491
Fibroblast,Fibroblast,MAPK12,E2F4,Receptor,Transcription Factor,2.141465902328491
Fibroblast,Fibroblast,MAPK14,E2F4,Receptor,Transcription Factor,2.141465902328491
Fibroblast,Fibroblast,MAPK3,E2F4,Receptor,Transcription Factor,2.141465902328491
Fibroblast,Fibroblast,MAPK9,E2F4,Receptor,Transcription Factor,2.141465902328491
Fibroblast,Fibroblast,PRKACA,E2F4,Receptor,Transcription Factor,2.141465902328491
Fibroblast,Fibroblast,PRKACB,E2F4,Receptor,Transcription Factor,2.141465902328491
Fibroblast,Fibroblast,PRKCA,E2F4,Receptor,Transcription Factor,2.141465902328491
Fibroblast,Fibroblast,PRKCB,E2F4,Receptor,Transcription Factor,2.141465902328491
